il,year,crop,urun_tr,ekilen_alan_da,hasat_alan_da,verim_kg_da,uretim_ton
Edirne,2004,aycicegi_yaglik,Ayçiçeği (Yağlık),1008630.0,1008630.0,171.0,172346.0
Edirne,2005,aycicegi_yaglik,Ayçiçeği (Yağlık),1044910.0,1044910.0,179.0,187410.0
Edirne,2006,aycicegi_yaglik,Ayçiçeği (Yağlık),1066434.0,1066434.0,202.0,215510.0
Edirne,2007,aycicegi_yaglik,Ayçiçeği (Yağlık),1024779.0,1024779.0,164.0,168031.0
Edirne,2008,aycicegi_yaglik,Ayçiçeği (Yağlık),1081901.0,1081901.0,167.0,181149.0
Edirne,2009,aycicegi_yaglik,Ayçiçeği (Yağlık),1093371.0,1093371.0,181.0,198437.0
Edirne,2010,aycicegi_yaglik,Ayçiçeği (Yağlık),1153124.0,1153124.0,289.0,332894.0
Edirne,2011,aycicegi_yaglik,Ayçiçeği (Yağlık),1120561.0,1120561.0,215.0,240417.0
Edirne,2012,aycicegi_yaglik,Ayçiçeği (Yağlık),896054.0,896054.0,197.0,176862.0
Edirne,2013,aycicegi_yaglik,Ayçiçeği (Yağlık),775385.0,775385.0,227.0,175857.0
Edirne,2014,aycicegi_yaglik,Ayçiçeği (Yağlık),903930.0,891735.0,290.0,258568.0
Edirne,2015,aycicegi_yaglik,Ayçiçeği (Yağlık),984061.0,984061.0,230.0,226573.0
Edirne,2016,aycicegi_yaglik,Ayçiçeği (Yağlık),988286.0,988286.0,225.0,222064.0
Edirne,2017,aycicegi_yaglik,Ayçiçeği (Yağlık),1008114.0,1008114.0,243.0,244655.0
Edirne,2018,aycicegi_yaglik,Ayçiçeği (Yağlık),954502.0,954502.0,248.0,237136.0
Edirne,2019,aycicegi_yaglik,Ayçiçeği (Yağlık),950498.0,950498.0,263.0,249569.0
Edirne,2020,aycicegi_yaglik,Ayçiçeği (Yağlık),909155.0,909155.0,264.0,240434.0
Edirne,2021,aycicegi_yaglik,Ayçiçeği (Yağlık),1073508.0,1073508.0,266.0,285286.0
Edirne,2022,aycicegi_yaglik,Ayçiçeği (Yağlık),1260318.0,1260318.0,259.0,325812.0
Edirne,2023,aycicegi_yaglik,Ayçiçeği (Yağlık),1294200.0,1294200.0,199.0,257651.0
Edirne,2024,aycicegi_yaglik,Ayçiçeği (Yağlık),1266060.0,1266060.0,137.0,173878.0
Edirne,2025,aycicegi_yaglik,Ayçiçeği (Yağlık),1238368.0,1238368.0,140.0,173258.0
Kırklareli,2004,aycicegi_yaglik,Ayçiçeği (Yağlık),662880.0,662880.0,165.0,109519.0
Kırklareli,2005,aycicegi_yaglik,Ayçiçeği (Yağlık),652470.0,652470.0,164.0,106835.0
Kırklareli,2006,aycicegi_yaglik,Ayçiçeği (Yağlık),680293.0,680293.0,184.0,125097.0
Kırklareli,2007,aycicegi_yaglik,Ayçiçeği (Yağlık),655199.0,655199.0,181.0,118465.0
Kırklareli,2008,aycicegi_yaglik,Ayçiçeği (Yağlık),671777.0,671777.0,174.0,116610.0
Kırklareli,2009,aycicegi_yaglik,Ayçiçeği (Yağlık),676204.0,676204.0,179.0,121017.0
Kırklareli,2010,aycicegi_yaglik,Ayçiçeği (Yağlık),775759.0,775759.0,180.0,139407.0
Kırklareli,2011,aycicegi_yaglik,Ayçiçeği (Yağlık),737233.0,737233.0,178.0,130889.0
Kırklareli,2012,aycicegi_yaglik,Ayçiçeği (Yağlık),454116.0,454116.0,228.0,103314.0
Kırklareli,2013,aycicegi_yaglik,Ayçiçeği (Yağlık),593194.0,593030.0,247.0,146682.0
Kırklareli,2014,aycicegi_yaglik,Ayçiçeği (Yağlık),641145.0,641145.0,258.0,165206.0
Kırklareli,2015,aycicegi_yaglik,Ayçiçeği (Yağlık),733520.0,733520.0,258.0,188998.0
Kırklareli,2016,aycicegi_yaglik,Ayçiçeği (Yağlık),782569.0,782569.0,218.0,170278.0
Kırklareli,2017,aycicegi_yaglik,Ayçiçeği (Yağlık),780591.0,780591.0,248.0,193784.0
Kırklareli,2018,aycicegi_yaglik,Ayçiçeği (Yağlık),750021.0,750021.0,258.0,193169.0
Kırklareli,2019,aycicegi_yaglik,Ayçiçeği (Yağlık),740511.0,740511.0,285.0,210930.0
Kırklareli,2020,aycicegi_yaglik,Ayçiçeği (Yağlık),778064.0,778064.0,291.0,226320.0
Kırklareli,2021,aycicegi_yaglik,Ayçiçeği (Yağlık),911619.0,911619.0,248.0,226163.0
Kırklareli,2022,aycicegi_yaglik,Ayçiçeği (Yağlık),969540.0,969540.0,235.0,227791.0
Kırklareli,2023,aycicegi_yaglik,Ayçiçeği (Yağlık),977300.0,977300.0,195.0,190308.0
Kırklareli,2024,aycicegi_yaglik,Ayçiçeği (Yağlık),970409.0,950409.0,194.0,184459.0
Kırklareli,2025,aycicegi_yaglik,Ayçiçeği (Yağlık),990839.0,990839.0,113.0,111602.0
Tekirdağ,2004,aycicegi_yaglik,Ayçiçeği (Yağlık),1366770.0,1366770.0,184.0,251003.0
Tekirdağ,2005,aycicegi_yaglik,Ayçiçeği (Yağlık),1378210.0,1375280.0,193.0,265542.0
Tekirdağ,2006,aycicegi_yaglik,Ayçiçeği (Yağlık),1412198.0,1412198.0,215.0,303318.0
Tekirdağ,2007,aycicegi_yaglik,Ayçiçeği (Yağlık),1325601.0,1325601.0,121.0,161023.0
Tekirdağ,2008,aycicegi_yaglik,Ayçiçeği (Yağlık),1332332.0,1332332.0,188.0,249919.0
