year,crop,yield_kg_dekar,source
2017,Sunflower,168,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2018,Sunflower,182,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2019,Sunflower,175,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2020,Sunflower,158,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2021,Sunflower,195,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2022,Sunflower,200,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2023,Sunflower,190,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2024,Sunflower,178,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2017,Wheat,310,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2018,Wheat,330,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2019,Wheat,315,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2020,Wheat,298,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2021,Wheat,350,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2022,Wheat,342,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2023,Wheat,335,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
2024,Wheat,318,TÜİK Bitkisel Üretim İstatistikleri (yaklaşık)
