date,t2m_mean,t2m_min,t2m_max,d2m_mean,tp_sum,ssr_sum,e_sum,clay_0-5cm,clay_5-15cm,clay_15-30cm,sand_0-5cm,sand_5-15cm,sand_15-30cm,phh2o_0-5cm,phh2o_5-15cm,phh2o_15-30cm,NDVI,EVI,NDWI,NDVI_int,EVI_int,NDWI_int
2023-01-01,5.1911,0.8262,12.4962,2.9756,0.1062,8.863099e+07,-0.0058,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.393,0.1987,-0.4319
2023-01-02,4.3853,-0.3486,10.6726,2.0346,0.0678,8.976272e+07,-0.0055,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.393,0.1987,-0.4319
2023-01-03,4.3701,0.2669,9.8782,3.4687,0.8761,8.061133e+07,-0.0042,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.393,0.1987,-0.4319
2023-01-04,6.9459,2.4263,12.6964,5.0769,1.2259,7.707769e+07,-0.0056,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.393,0.1987,-0.4319
2023-01-05,7.3193,2.4957,12.1678,5.0653,0.0754,8.844361e+07,-0.0056,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.393,0.1987,-0.4319
2023-01-06,7.9313,3.6457,13.751,4.4327,0.126,9.243598e+07,-0.008,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.393,0.1987,-0.4319
2023-01-07,5.9904,1.3754,12.3888,2.921,0.0391,1.0499923e+08,-0.0073,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,0.393,0.1987,-0.4319,0.393,0.1987,-0.4319
2023-01-08,6.0316,2.6815,11.318,4.0013,0.1241,8.893601e+07,-0.0061,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.396428,0.201712,-0.43466
2023-01-09,5.6205,2.2724,10.7996,3.1744,0.0188,1.0505182e+08,-0.0062,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.399856,0.204724,-0.43742000000000003
2023-01-10,9.4779,6.041,11.5395,6.1638,78.9049,3.815656e+07,-0.0149,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.40328400000000003,0.207736,-0.44018
2023-01-11,9.3519,7.6156,11.9154,7.4136,25.5813,4.774507e+07,-0.0083,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.406712,0.210748,-0.44294
2023-01-12,8.1124,5.4881,10.583,6.0909,31.6898,4.1076628e+07,-0.0063,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.41014,0.21376,-0.4457
2023-01-13,6.3171,5.1858,7.3406,4.5127,30.7463,2.6518792e+07,-0.0085,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.413568,0.216772,-0.44846
2023-01-14,6.5163,4.6054,9.11,3.7543,5.547,4.1327676e+07,-0.0056,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.41699600000000003,0.219784,-0.45122
2023-01-15,6.512,4.6466,8.415,3.8492,10.8719,3.5328656e+07,-0.0071,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.420424,0.222796,-0.45398
2023-01-16,6.9076,2.5103,11.1102,3.5013,0.7621,7.5724184e+07,-0.0071,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.423852,0.225808,-0.45674000000000003
2023-01-17,12.3833,8.6359,15.7655,8.9886,16.5679,8.066492e+07,-0.0118,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.42728,0.22882,-0.4595
2023-01-18,15.0614,13.7153,17.8058,8.3523,4.1086,9.359292e+07,-0.0159,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.43070800000000004,0.231832,-0.46226
2023-01-19,14.5813,11.5586,18.0284,8.1192,0.2365,1.0754342e+08,-0.0154,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.434136,0.234844,-0.46502
2023-01-20,11.4366,8.1299,15.8315,6.9456,15.0689,8.611193e+07,-0.0131,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.437564,0.237856,-0.46778000000000003
2023-01-21,10.7404,6.3288,15.4487,6.0316,3.3311,1.0062305e+08,-0.0117,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.440992,0.240868,-0.47054
2023-01-22,11.1614,7.8243,16.0591,6.7917,14.244,9.718749e+07,-0.0128,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.44442000000000004,0.24388,-0.4733
2023-01-23,8.0128,5.6813,10.7175,4.4227,0.7773,1.060195e+08,-0.0104,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.447848,0.246892,-0.47606000000000004
2023-01-24,5.3514,3.4817,7.244,0.8803,0.3434,7.3198024e+07,-0.0077,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.451276,0.24990400000000002,-0.47882
2023-01-25,3.6343,1.423,6.2856,-1.2525,0.1766,9.938292e+07,-0.0088,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.454704,0.25291600000000003,-0.48158
2023-01-26,6.5867,2.8614,9.7733,2.8752,0.3574,6.1609304e+07,-0.0059,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.458132,0.255928,-0.48434
2023-01-27,8.461,6.0145,10.8115,6.0424,96.4476,4.6315384e+07,-0.0113,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.46156,0.25894,-0.48710000000000003
2023-01-28,4.4822,0.9798,6.3535,0.4418,12.2105,3.675323e+07,-0.0088,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.464988,0.261952,-0.48986
2023-01-29,2.2166,-0.9151,5.6757,-3.41,1.5008,8.811726e+07,-0.0084,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.468416,0.26496400000000003,-0.49262
2023-01-30,2.0144,-0.6614,5.6271,-1.4843,15.5617,1.0604478e+08,-0.0095,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.47184400000000004,0.267976,-0.49538000000000004
2023-01-31,0.5255,-1.9142,4.9963,-2.092,9.339,6.5291104e+07,-0.0064,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.47527200000000003,0.270988,-0.49814
2023-02-01,2.5863,-2.3519,7.5641,-2.9739,1.8503,1.2235058e+08,-0.0094,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,0.4787,0.274,-0.5009,0.4787,0.274,-0.5009
2023-02-02,5.4742,-0.0305,11.2456,-1.1487,5.9039,1.1509697e+08,-0.011,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.4763,0.27447,-0.50013
2023-02-03,2.9971,-1.7706,8.054,-1.369,8.2423,1.1810244e+08,-0.011,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.4739,0.27494,-0.49936
2023-02-04,3.533,-1.8919,8.3124,0.0408,11.4446,6.852842e+07,-0.0089,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.47150000000000003,0.27541000000000004,-0.49859000000000003
2023-02-05,-0.1606,-2.8962,1.736,-6.5023,16.3346,7.619439e+07,-0.0091,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.4691,0.27588,-0.49782000000000004
2023-02-06,-1.0219,-3.0313,1.3857,-8.0273,41.3866,5.9146464e+07,-0.0115,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.4667,0.27635,-0.49705
2023-02-07,-0.9891,-2.8993,2.3502,-9.1956,2.366,1.186263e+08,-0.0131,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.4643,0.27682,-0.49628
2023-02-08,-0.6341,-3.1139,3.1871,-7.1565,1.2989,1.27113944e+08,-0.0106,30.97,32.16,36.33,34.99,34.03,31.13,7.11,7.2,7.19,,,,0.4619,0.27729000000000004,-0.49551
