feat_a,feat_b,abs_r
NDVI_greenup_mean,OSAVI_greenup_mean,0.981
NDVI_greenup_median,NDRE_greenup_median,0.98
NDVI_greenup_median,OSAVI_greenup_median,0.985
NDVI_greenup_p90,OSAVI_greenup_p90,0.985
EVI_greenup_mean,EVI2_greenup_mean,0.993
EVI_greenup_median,EVI2_greenup_median,0.994
EVI_greenup_median,OSAVI_greenup_median,0.982
EVI_greenup_stdDev,EVI_greenup_range,0.992
EVI_greenup_stdDev,EVI2_greenup_stdDev,0.992
EVI_greenup_stdDev,EVI2_greenup_range,0.983
EVI_greenup_p10,EVI2_greenup_p10,0.987
EVI_greenup_p90,EVI2_greenup_p90,0.992
EVI_greenup_cv,EVI2_greenup_cv,0.99
EVI_greenup_range,EVI2_greenup_stdDev,0.987
EVI_greenup_range,EVI2_greenup_range,0.992
EVI2_greenup_mean,OSAVI_greenup_mean,0.988
EVI2_greenup_median,OSAVI_greenup_median,0.987
EVI2_greenup_stdDev,EVI2_greenup_range,0.993
EVI2_greenup_p90,OSAVI_greenup_p90,0.988
CIre_greenup_stdDev,CIre_greenup_cv,0.986
NDWI_greenup_stdDev,NDWI_greenup_range,0.987
OSAVI_greenup_stdDev,OSAVI_greenup_range,0.985
NDVI_peak_mean,EVI_peak_mean,0.991
NDVI_peak_mean,EVI2_peak_mean,0.992
NDVI_peak_mean,NDRE_peak_mean,0.991
NDVI_peak_mean,GNDVI_peak_mean,0.989
NDVI_peak_mean,OSAVI_peak_mean,0.998
NDVI_peak_median,EVI_peak_median,0.995
NDVI_peak_median,EVI2_peak_median,0.994
NDVI_peak_median,NDRE_peak_median,0.996
NDVI_peak_median,GNDVI_peak_median,0.993
NDVI_peak_median,OSAVI_peak_median,0.999
NDVI_peak_stdDev,NDVI_peak_range,0.98
NDVI_peak_stdDev,EVI_peak_stdDev,0.987
NDVI_peak_stdDev,EVI2_peak_stdDev,0.988
NDVI_peak_stdDev,NDRE_peak_stdDev,0.992
NDVI_peak_stdDev,NDRE_peak_range,0.985
NDVI_peak_stdDev,OSAVI_peak_stdDev,0.997
NDVI_peak_stdDev,OSAVI_peak_range,0.985
NDVI_peak_p90,EVI_peak_p90,0.983
NDVI_peak_p90,EVI2_peak_p90,0.984
NDVI_peak_p90,NDRE_peak_p90,0.985
NDVI_peak_p90,NDWI_peak_p90,0.984
NDVI_peak_p90,GNDVI_peak_p90,0.983
NDVI_peak_p90,OSAVI_peak_p90,0.997
NDVI_peak_range,NDRE_peak_range,0.986
NDVI_peak_range,OSAVI_peak_range,0.995
EVI_peak_mean,EVI2_peak_mean,0.999
EVI_peak_mean,NDRE_peak_mean,0.989
EVI_peak_mean,GNDVI_peak_mean,0.985
EVI_peak_mean,OSAVI_peak_mean,0.996
EVI_peak_median,EVI2_peak_median,0.999
EVI_peak_median,NDRE_peak_median,0.994
EVI_peak_median,GNDVI_peak_median,0.992
EVI_peak_median,OSAVI_peak_median,0.998
EVI_peak_stdDev,EVI_peak_range,0.989
EVI_peak_stdDev,EVI2_peak_stdDev,0.998
EVI_peak_stdDev,EVI2_peak_range,0.989
EVI_peak_stdDev,NDRE_peak_stdDev,0.985
EVI_peak_stdDev,OSAVI_peak_stdDev,0.994
EVI_peak_p10,EVI2_peak_p10,0.99
EVI_peak_p90,EVI_peak_range,0.986
EVI_peak_p90,EVI2_peak_p90,0.998
EVI_peak_p90,EVI2_peak_range,0.982
EVI_peak_p90,NDRE_peak_p90,0.983
EVI_peak_p90,OSAVI_peak_p90,0.993
EVI_peak_cv,EVI2_peak_cv,0.993
EVI_peak_cv,OSAVI_peak_cv,0.992
EVI_peak_range,EVI2_peak_stdDev,0.988
EVI_peak_range,EVI2_peak_p90,0.986
EVI_peak_range,EVI2_peak_range,0.998
EVI_peak_range,NDRE_peak_range,0.983
EVI_peak_range,OSAVI_peak_stdDev,0.983
EVI_peak_range,OSAVI_peak_range,0.992
EVI2_peak_mean,NDRE_peak_mean,0.99
EVI2_peak_mean,GNDVI_peak_mean,0.988
EVI2_peak_mean,OSAVI_peak_mean,0.997
EVI2_peak_median,NDRE_peak_median,0.994
EVI2_peak_median,GNDVI_peak_median,0.994
EVI2_peak_median,OSAVI_peak_median,0.998
EVI2_peak_stdDev,EVI2_peak_range,0.99
EVI2_peak_stdDev,NDRE_peak_stdDev,0.987
EVI2_peak_stdDev,OSAVI_peak_stdDev,0.996
EVI2_peak_stdDev,OSAVI_peak_range,0.98
EVI2_peak_p90,EVI2_peak_range,0.986
EVI2_peak_p90,NDRE_peak_p90,0.986
EVI2_peak_p90,NDWI_peak_p90,0.981
EVI2_peak_p90,GNDVI_peak_p90,0.984
EVI2_peak_p90,OSAVI_peak_p90,0.994
EVI2_peak_cv,OSAVI_peak_cv,0.989
EVI2_peak_range,NDRE_peak_range,0.985
EVI2_peak_range,OSAVI_peak_stdDev,0.986
EVI2_peak_range,OSAVI_peak_range,0.993
NDRE_peak_mean,GNDVI_peak_mean,0.99
NDRE_peak_mean,OSAVI_peak_mean,0.991
NDRE_peak_median,CIre_peak_median,0.982
NDRE_peak_median,GNDVI_peak_median,0.995
NDRE_peak_median,OSAVI_peak_median,0.996
NDRE_peak_stdDev,NDRE_peak_range,0.988
NDRE_peak_stdDev,GNDVI_peak_stdDev,0.984
NDRE_peak_stdDev,OSAVI_peak_stdDev,0.992
NDRE_peak_p90,NDRE_peak_range,0.983
NDRE_peak_p90,NDWI_peak_p90,0.988
NDRE_peak_p90,GNDVI_peak_p90,0.996
NDRE_peak_p90,OSAVI_peak_p90,0.988
NDRE_peak_range,GNDVI_peak_range,0.986
NDRE_peak_range,OSAVI_peak_stdDev,0.983
NDRE_peak_range,OSAVI_peak_range,0.99
CIre_peak_p90,CIre_peak_range,0.999
NDWI_peak_stdDev,NDWI_peak_range,0.989
NDWI_peak_p90,GNDVI_peak_p90,0.985
NDWI_peak_p90,OSAVI_peak_p90,0.986
GNDVI_peak_mean,OSAVI_peak_mean,0.991
GNDVI_peak_median,OSAVI_peak_median,0.995
GNDVI_peak_stdDev,GNDVI_peak_range,0.989
GNDVI_peak_stdDev,OSAVI_peak_stdDev,0.982
GNDVI_peak_p90,OSAVI_peak_p90,0.987
OSAVI_peak_stdDev,OSAVI_peak_range,0.985
NDVI_grainfill_mean,OSAVI_grainfill_mean,0.987
NDVI_grainfill_median,OSAVI_grainfill_median,0.986
NDVI_grainfill_stdDev,NDVI_grainfill_range,0.988
NDVI_grainfill_p90,OSAVI_grainfill_p90,0.988
EVI_grainfill_mean,EVI2_grainfill_mean,0.989
EVI_grainfill_mean,OSAVI_grainfill_mean,0.987
EVI_grainfill_median,EVI2_grainfill_median,0.989
EVI_grainfill_median,OSAVI_grainfill_median,0.985
EVI_grainfill_stdDev,EVI_grainfill_range,0.994
EVI_grainfill_stdDev,EVI2_grainfill_stdDev,0.992
EVI_grainfill_stdDev,EVI2_grainfill_range,0.984
EVI_grainfill_p90,EVI2_grainfill_p90,0.991
EVI_grainfill_cv,EVI2_grainfill_cv,0.987
EVI_grainfill_range,EVI2_grainfill_stdDev,0.988
EVI_grainfill_range,EVI2_grainfill_range,0.991
EVI2_grainfill_mean,OSAVI_grainfill_mean,0.992
EVI2_grainfill_median,OSAVI_grainfill_median,0.99
EVI2_grainfill_stdDev,EVI2_grainfill_range,0.994
EVI2_grainfill_p90,OSAVI_grainfill_p90,0.991
NDRE_grainfill_mean,OSAVI_grainfill_mean,0.981
NDRE_grainfill_median,OSAVI_grainfill_median,0.988
NDRE_grainfill_stdDev,NDRE_grainfill_range,0.988
CIre_grainfill_stdDev,CIre_grainfill_cv,0.989
NDWI_grainfill_stdDev,NDWI_grainfill_range,0.992
OSAVI_grainfill_stdDev,OSAVI_grainfill_range,0.993
NDVI_harvest_mean,NDRE_harvest_mean,0.995
NDVI_harvest_mean,CIre_harvest_mean,0.983
NDVI_harvest_mean,OSAVI_harvest_mean,0.991
NDVI_harvest_median,NDRE_harvest_median,0.996
NDVI_harvest_median,CIre_harvest_median,0.984
NDVI_harvest_median,OSAVI_harvest_median,0.99
NDVI_harvest_stdDev,EVI_harvest_stdDev,0.99
NDVI_harvest_stdDev,EVI2_harvest_stdDev,0.99
NDVI_harvest_stdDev,NDRE_harvest_stdDev,0.992
NDVI_harvest_stdDev,OSAVI_harvest_stdDev,0.997
NDVI_harvest_p10,NDRE_harvest_p10,0.983
NDVI_harvest_p90,NDVI_harvest_range,0.987
NDVI_harvest_p90,EVI_harvest_p90,0.98
NDVI_harvest_p90,NDRE_harvest_p90,0.994
NDVI_harvest_p90,NDRE_harvest_range,0.986
NDVI_harvest_p90,GNDVI_harvest_p90,0.987
NDVI_harvest_p90,OSAVI_harvest_p90,0.995
NDVI_harvest_cv,OSAVI_harvest_cv,0.989
NDVI_harvest_range,EVI_harvest_p90,0.981
NDVI_harvest_range,EVI_harvest_range,0.982
NDVI_harvest_range,EVI2_harvest_p90,0.981
NDVI_harvest_range,EVI2_harvest_range,0.982
NDVI_harvest_range,NDRE_harvest_range,0.994
NDVI_harvest_range,OSAVI_harvest_p90,0.99
NDVI_harvest_range,OSAVI_harvest_range,0.996
EVI_harvest_mean,EVI2_harvest_mean,0.998
EVI_harvest_mean,OSAVI_harvest_mean,0.993
EVI_harvest_median,EVI2_harvest_median,0.995
EVI_harvest_median,OSAVI_harvest_median,0.993
EVI_harvest_stdDev,EVI2_harvest_stdDev,0.999
EVI_harvest_stdDev,NDRE_harvest_stdDev,0.981
EVI_harvest_stdDev,NDWI_harvest_stdDev,0.983
EVI_harvest_stdDev,OSAVI_harvest_stdDev,0.997
EVI_harvest_p10,EVI2_harvest_p10,0.991
EVI_harvest_p90,EVI_harvest_range,0.99
EVI_harvest_p90,EVI2_harvest_p90,0.999
EVI_harvest_p90,EVI2_harvest_range,0.989
EVI_harvest_p90,NDRE_harvest_range,0.983
EVI_harvest_p90,CIre_harvest_range,0.983
EVI_harvest_p90,OSAVI_harvest_p90,0.993
EVI_harvest_p90,OSAVI_harvest_range,0.986
EVI_harvest_cv,EVI2_harvest_cv,0.999
EVI_harvest_cv,OSAVI_harvest_cv,0.993
EVI_harvest_range,EVI2_harvest_p90,0.989
EVI_harvest_range,EVI2_harvest_range,0.999
EVI_harvest_range,NDRE_harvest_range,0.982
EVI_harvest_range,NDWI_harvest_p90,0.981
EVI_harvest_range,OSAVI_harvest_range,0.994
EVI2_harvest_mean,OSAVI_harvest_mean,0.991
EVI2_harvest_median,OSAVI_harvest_median,0.991
EVI2_harvest_stdDev,NDWI_harvest_stdDev,0.983
EVI2_harvest_stdDev,OSAVI_harvest_stdDev,0.997
EVI2_harvest_p90,EVI2_harvest_range,0.989
EVI2_harvest_p90,NDRE_harvest_range,0.982
EVI2_harvest_p90,CIre_harvest_range,0.981
EVI2_harvest_p90,OSAVI_harvest_p90,0.993
EVI2_harvest_p90,OSAVI_harvest_range,0.986
EVI2_harvest_cv,OSAVI_harvest_cv,0.992
EVI2_harvest_range,NDWI_harvest_p90,0.983
EVI2_harvest_range,OSAVI_harvest_range,0.994
NDRE_harvest_median,OSAVI_harvest_median,0.985
NDRE_harvest_stdDev,OSAVI_harvest_stdDev,0.987
NDRE_harvest_p90,NDRE_harvest_range,0.982
NDRE_harvest_p90,CIre_harvest_p90,0.983
NDRE_harvest_p90,GNDVI_harvest_p90,0.987
NDRE_harvest_p90,OSAVI_harvest_p90,0.988
NDRE_harvest_range,CIre_harvest_range,0.98
NDRE_harvest_range,OSAVI_harvest_p90,0.989
NDRE_harvest_range,OSAVI_harvest_range,0.991
CIre_harvest_p90,CIre_harvest_range,0.997
NDWI_harvest_p90,NDWI_harvest_range,0.985
NDWI_harvest_p90,OSAVI_harvest_range,0.981
GNDVI_harvest_p90,OSAVI_harvest_p90,0.983
OSAVI_harvest_p90,OSAVI_harvest_range,0.987
