district,year,index,clamp_in_pipeline,cropland_px,oob_px,oob_frac,extreme_px,px_min,px_max
Demirköy,2020,NDVI,N,761,0,0.0,0,0.147,0.911
Demirköy,2020,EVI,Y,761,0,0.0,0,0.116,0.869
Demirköy,2020,EVI2,Y,761,0,0.0,0,0.115,0.808
Demirköy,2020,NDRE,N,761,0,0.0,0,0.091,0.745
Demirköy,2020,CIre,N,761,0,0.0,0,0.154,5.367
Demirköy,2020,NDWI,N,761,0,0.0,0,-0.165,0.585
Demirköy,2020,GNDVI,N,761,0,0.0,0,0.206,0.838
Demirköy,2020,OSAVI,N,761,0,0.0,0,0.117,0.709
Kofçaz,2020,NDVI,N,11888,0,0.0,0,0.129,0.9
Kofçaz,2020,EVI,Y,11888,0,0.0,0,0.091,0.797
Kofçaz,2020,EVI2,Y,11888,0,0.0,0,0.085,0.735
Kofçaz,2020,NDRE,N,11888,0,0.0,0,0.082,0.729
Kofçaz,2020,CIre,N,11888,0,0.0,0,0.128,5.086
Kofçaz,2020,NDWI,N,11888,0,0.0,0,-0.294,0.537
Kofçaz,2020,GNDVI,N,11888,0,0.0,0,0.223,0.825
Kofçaz,2020,OSAVI,N,11888,0,0.0,0,0.098,0.682
Pehlivanköy,2020,NDVI,N,9478,0,0.0,0,0.123,0.926
Pehlivanköy,2020,EVI,Y,9478,0,0.0,0,0.059,0.892
Pehlivanköy,2020,EVI2,Y,9478,0,0.0,0,0.054,0.833
Pehlivanköy,2020,NDRE,N,9478,0,0.0,0,0.067,0.776
Pehlivanköy,2020,CIre,N,9478,0,0.0,0,0.084,6.61
Pehlivanköy,2020,NDWI,N,9478,0,0.0,0,-0.287,0.599
Pehlivanköy,2020,GNDVI,N,9478,0,0.0,0,0.186,0.85
Pehlivanköy,2020,OSAVI,N,9478,0,0.0,0,0.08,0.711
Hayrabolu,2020,NDVI,N,113232,0,0.0,0,-0.391,0.946
Hayrabolu,2020,EVI,Y,113232,0,0.0,0,-0.059,0.991
Hayrabolu,2020,EVI2,Y,113232,0,0.0,0,-0.05,0.916
Hayrabolu,2020,NDRE,N,113232,0,0.0,0,-0.255,0.807
Hayrabolu,2020,CIre,N,113232,0,0.0,0,-0.362,7.86
Hayrabolu,2020,NDWI,N,113232,0,0.0,0,-0.416,0.639
Hayrabolu,2020,GNDVI,N,113232,0,0.0,0,-0.608,0.879
Hayrabolu,2020,OSAVI,N,113232,0,0.0,0,-0.095,0.751
