year,crop,ndvi_max,ndvi_mean,ndvi_integral,ndvi_flowering,ndvi_grain_fill,greenness_days,gdd_cum_season,tp_season_sum,ndwi_min_flowering,t2m_max_flowering_mean,season_start,season_end,n_days_in_window,il,yield_kg_da,has_features
2018,bugday,0.5986,0.3999494704861111,115.18544750000001,0.5411522580645162,0.3797924999999999,0,3476.12365,8707.530300000002,-0.5855,20.945335483870966,2017-10-01,2018-07-15,288,Edirne,346.0,True
2018,bugday,0.5986,0.3999494704861111,115.18544750000001,0.5411522580645162,0.3797924999999999,0,3476.12365,8707.530300000002,-0.5855,20.945335483870966,2017-10-01,2018-07-15,288,Kırklareli,390.0,True
2018,bugday,0.5986,0.3999494704861111,115.18544750000001,0.5411522580645162,0.3797924999999999,0,3476.12365,8707.530300000002,-0.5855,20.945335483870966,2017-10-01,2018-07-15,288,Tekirdağ,340.0,True
2019,bugday,0.55845,0.37800693287037035,108.86599666666666,0.4762603225806452,0.4742161666666666,0,3327.3249499999997,8615.8137,-0.56635,21.49527741935484,2018-10-01,2019-07-15,288,Edirne,381.0,True
2019,bugday,0.55845,0.37800693287037035,108.86599666666666,0.4762603225806452,0.4742161666666666,0,3327.3249499999997,8615.8137,-0.56635,21.49527741935484,2018-10-01,2019-07-15,288,Kırklareli,393.0,True
2019,bugday,0.55845,0.37800693287037035,108.86599666666666,0.4762603225806452,0.4742161666666666,0,3327.3249499999997,8615.8137,-0.56635,21.49527741935484,2018-10-01,2019-07-15,288,Tekirdağ,451.0,True
2020,bugday,0.6363,0.45197638408304497,130.621175,0.5947429838709678,0.4377020833333333,14,3561.78505,7365.508599999999,-0.6104499999999999,20.31154516129033,2019-10-01,2020-07-15,289,Edirne,358.0,True
2020,bugday,0.6363,0.45197638408304497,130.621175,0.5947429838709678,0.4377020833333333,14,3561.78505,7365.508599999999,-0.6104499999999999,20.31154516129033,2019-10-01,2020-07-15,289,Kırklareli,390.0,True
2020,bugday,0.6363,0.45197638408304497,130.621175,0.5947429838709678,0.4377020833333333,14,3561.78505,7365.508599999999,-0.6104499999999999,20.31154516129033,2019-10-01,2020-07-15,289,Tekirdağ,392.0,True
2021,bugday,0.56525,0.36996729166666664,106.55058,0.43553258064516126,0.5009475,0,3505.36555,9293.769900000001,-0.55385,20.958477419354836,2020-10-01,2021-07-15,288,Edirne,474.0,True
2021,bugday,0.56525,0.36996729166666664,106.55058,0.43553258064516126,0.5009475,0,3505.36555,9293.769900000001,-0.55385,20.958477419354836,2020-10-01,2021-07-15,288,Kırklareli,460.0,True
2021,bugday,0.56525,0.36996729166666664,106.55058,0.43553258064516126,0.5009475,0,3505.36555,9293.769900000001,-0.55385,20.958477419354836,2020-10-01,2021-07-15,288,Tekirdağ,534.0,True
2022,bugday,0.61895,0.4330785416666667,124.72662000000001,0.5530727419354838,0.4787333333333333,13,3250.67515,8540.011999999999,-0.5999,20.459238709677418,2021-10-01,2022-07-15,288,Edirne,407.0,True
2022,bugday,0.61895,0.4330785416666667,124.72662000000001,0.5530727419354838,0.4787333333333333,13,3250.67515,8540.011999999999,-0.5999,20.459238709677418,2021-10-01,2022-07-15,288,Kırklareli,400.0,True
2022,bugday,0.61895,0.4330785416666667,124.72662000000001,0.5530727419354838,0.4787333333333333,13,3250.67515,8540.011999999999,-0.5999,20.459238709677418,2021-10-01,2022-07-15,288,Tekirdağ,421.0,True
2023,bugday,0.5642,0.4102229340277777,118.14420499999999,0.5524559677419354,0.5290999999999999,0,3544.8848500000004,6579.7575,-0.5709500000000001,17.298625806451614,2022-10-01,2023-07-15,288,Edirne,536.0,True
2023,bugday,0.5642,0.4102229340277777,118.14420499999999,0.5524559677419354,0.5290999999999999,0,3544.8848500000004,6579.7575,-0.5709500000000001,17.298625806451614,2022-10-01,2023-07-15,288,Kırklareli,378.0,True
2023,bugday,0.5642,0.4102229340277777,118.14420499999999,0.5524559677419354,0.5290999999999999,0,3544.8848500000004,6579.7575,-0.5709500000000001,17.298625806451614,2022-10-01,2023-07-15,288,Tekirdağ,351.0,True
2024,bugday,0.6728000000000001,0.44510749134948085,128.63606499999997,0.6338770161290322,0.39282000000000006,39,3905.7679000000007,8240.4041,-0.6374500000000001,18.411187096774196,2023-10-01,2024-07-15,289,Edirne,388.0,True
2024,bugday,0.6728000000000001,0.44510749134948085,128.63606499999997,0.6338770161290322,0.39282000000000006,39,3905.7679000000007,8240.4041,-0.6374500000000001,18.411187096774196,2023-10-01,2024-07-15,289,Kırklareli,395.0,True
2024,bugday,0.6728000000000001,0.44510749134948085,128.63606499999997,0.6338770161290322,0.39282000000000006,39,3905.7679000000007,8240.4041,-0.6374500000000001,18.411187096774196,2023-10-01,2024-07-15,289,Tekirdağ,419.0,True
