date,t2m_mean,t2m_min,t2m_max,d2m_mean,tp_sum,ssr_sum,e_sum,clay_0-5cm,clay_5-15cm,clay_15-30cm,sand_0-5cm,sand_5-15cm,sand_15-30cm,phh2o_0-5cm,phh2o_5-15cm,phh2o_15-30cm,NDVI,EVI,NDWI,NDVI_int,EVI_int,NDWI_int
2017-01-01,-2.3486,-5.9452,2.0752,-5.2419,18.0898,3.435201e+07,-0.0031,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-02,-1.5396,-6.36,2.5816,-2.9757,0.2453,3.543651e+07,0.0003,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-03,3.0813,0.4204,6.9043,1.6316,0.0236,4.9924496e+07,0.0031,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-04,3.7177,-3.0752,7.9349,1.853,1.6537,5.450546e+07,-0.0009,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-05,6.6123,5.2551,9.238,5.7025,168.9354,4.9808196e+07,-0.002,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-06,1.9095,-6.8176,10.046,0.1255,386.6899,1.1188572e+07,-0.0118,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-07,-8.0464,-8.7648,-7.05,-10.7019,198.2978,1.2478332e+07,-0.01,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-08,-9.4772,-12.6673,-6.6213,-12.3384,12.6585,2.8406788e+07,-0.002,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-09,-5.8582,-8.6947,-2.0388,-8.1937,38.2888,2.235798e+07,-0.0057,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-10,1.0815,-1.5421,2.7344,-1.1349,89.6031,1.6335282e+07,-0.0113,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-11,-2.6787,-9.1898,0.8846,-3.9317,99.7752,2.487028e+07,-0.0022,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-12,-2.2295,-6.0695,0.2148,-3.5687,209.171,3.1226498e+07,-0.0017,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-13,-0.3553,-5.8594,3.5108,-3.2216,9.0489,3.969624e+07,-0.0,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-14,5.453,1.8649,8.8091,3.0146,35.7179,3.348822e+07,0.0062,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-15,1.8165,0.7986,3.0836,-0.498,34.8674,2.1805352e+07,-0.005,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-16,3.0616,1.4872,4.2473,2.0078,112.8312,1.5641281e+07,-0.0016,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-17,5.3479,3.9364,6.7744,4.9037,88.2654,3.932626e+07,-0.0013,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
2017-01-18,4.3459,3.0991,5.5859,3.469,178.513,1.918544e+07,-0.0075,28.9,29.98,35.66,30.73,29.95,26.71,6.92,6.98,6.98,,,,0.3527,0.1951,-0.4541
