ilce_id,ilce,il,lat,lon,clay_0-5cm,clay_5-15cm,clay_15-30cm,sand_0-5cm,sand_5-15cm,sand_15-30cm,phh2o_0-5cm,phh2o_5-15cm,phh2o_15-30cm,soc_0-5cm,soc_5-15cm,soc_15-30cm,silt_0-5cm,awc_0-5cm,silt_5-15cm,awc_5-15cm,silt_15-30cm,awc_15-30cm
1307,Enez,Edirne,40.7242,26.09,33.329,33.351,38.243,26.996,27.222,24.352,7.032,7.155,7.184,5.311,2.564,2.992,39.675,0.2658,39.427,0.2653,37.405,0.2774
1385,Havsa,Edirne,41.5466,26.8197,33.488,34.157,37.687,27.257,26.28,23.884,7.045,7.154,7.127,3.516,1.379,1.074,39.255,0.2653,39.563,0.2685,38.429,0.278
1464,Keşan,Edirne,40.8528,26.632,29.647,31.779,36.06,33.088,31.217,29.278,6.819,6.866,6.863,3.974,1.828,2.036,37.265,0.2469,37.004,0.2537,34.662,0.2629
1502,Lalapaşa,Edirne,41.833,26.737,28.276,29.055,33.727,29.772,29.082,26.667,6.957,7.053,7.047,3.505,1.328,1.229,41.952,0.2538,41.863,0.2564,39.606,0.2671
1523,Meriç,Edirne,41.1842,26.4181,26.158,27.108,34.141,36.682,36.318,31.169,7.018,7.067,7.116,3.95,1.514,1.734,37.16,0.2345,36.574,0.2363,34.69,0.2562
1295,Merkez,Edirne,41.6772,26.5557,30.645,31.5,38.466,29.277,29.298,24.846,7.067,7.145,7.192,4.487,1.783,1.328,40.078,0.2575,39.202,0.2583,36.688,0.2764
1988,Süloğlu,Edirne,41.7461,27.0017,27.541,27.945,33.544,31.064,31.69,28.873,6.856,6.947,6.923,3.521,1.408,1.079,41.395,0.2499,40.365,0.2487,37.583,0.2614
1705,Uzunköprü,Edirne,41.2676,26.6905,33.124,33.37,38.386,31.396,30.974,27.694,7.118,7.163,7.168,4.703,1.61,2.268,35.48,0.2546,35.656,0.2559,33.92,0.2692
1412,İpsala,Edirne,40.9221,26.3811,35.545,37.321,39.825,28.786,28.176,25.933,7.04,7.169,7.218,4.548,1.897,3.015,35.669,0.2636,34.503,0.2669,34.242,0.275
1163,Babaeski,Kırklareli,41.4327,27.0945,27.102,29.119,35.461,39.66,38.587,33.531,7.066,7.141,7.154,3.371,1.297,1.119,33.238,0.228,32.294,0.2327,31.008,0.2516
1270,Demirköy,Kırklareli,41.821,27.7619,28.483,27.509,32.44,35.197,35.405,31.871,6.415,6.454,6.458,6.615,2.222,1.682,36.32,0.2405,37.086,0.239,35.689,0.2528
1480,Kofçaz,Kırklareli,41.9633,27.1769,30.979,31.524,33.204,30.296,30.063,29.003,6.343,6.392,6.387,5.901,2.031,1.919,38.725,0.2552,38.413,0.2564,37.793,0.2607
1505,Lüleburgaz,Kırklareli,41.4017,27.3577,30.722,31.937,36.39,35.598,34.657,31.578,7.143,7.232,7.228,3.593,1.394,1.25,33.68,0.2417,33.406,0.2453,32.032,0.2574
1471,Merkez,Kırklareli,41.7333,27.2167,26.84,27.087,33.087,34.109,34.6,31.326,6.847,6.962,6.975,3.301,1.416,1.285,39.051,0.2416,38.313,0.2406,35.587,0.2548
1572,Pehlivanköy,Kırklareli,41.3625,27.0044,28.715,30.398,34.85,32.505,31.277,28.672,6.857,6.927,6.934,4.164,1.55,1.221,38.78,0.2475,38.325,0.2522,36.478,0.2632
1577,Pınarhisar,Kırklareli,41.6217,27.5208,26.447,28.099,32.185,36.521,35.64,33.4,6.88,6.998,7.0,3.584,1.415,1.496,37.032,0.2351,36.261,0.239,34.415,0.2487
1714,Vize,Kırklareli,41.5713,27.7681,28.505,28.728,34.407,32.452,32.225,28.683,6.868,6.996,6.991,4.347,1.664,2.602,39.043,0.2474,39.047,0.2482,36.91,0.2627
2094,Ergene,Tekirdağ,41.2792,27.76,31.47,32.53,35.651,29.488,28.387,26.4,7.105,7.303,7.304,4.284,1.614,1.865,39.042,0.2577,39.083,0.2616,37.949,0.2697
1388,Hayrabolu,Tekirdağ,41.2189,27.1147,32.915,34.471,37.801,31.092,29.941,27.842,7.096,7.153,7.142,3.532,1.565,1.731,35.993,0.2552,35.588,0.2596,34.357,0.2682
2095,Kapaklı,Tekirdağ,41.3289,28.1369,31.016,31.568,35.016,27.57,27.129,25.113,6.379,6.435,6.423,5.844,2.906,2.0,41.414,0.2621,41.303,0.2637,39.871,0.2722
1511,Malkara,Tekirdağ,40.8889,26.8997,28.929,31.388,36.636,29.808,28.115,26.224,6.783,6.874,6.804,4.394,2.332,2.468,41.263,0.2544,40.497,0.2611,37.14,0.2711
1825,Marmaraereğlisi,Tekirdağ,40.9728,27.9656,32.764,32.742,34.422,30.487,29.775,29.133,7.091,7.175,7.186,4.223,1.782,2.336,36.749,0.2565,37.483,0.2583,36.445,0.2616
1673,Merkez,Tekirdağ,40.9833,27.5167,31.051,31.837,36.41,33.124,31.477,29.895,6.974,7.01,7.034,4.035,2.086,2.525,35.825,0.2482,36.686,0.2531,33.695,0.2617
1538,Muratlı,Tekirdağ,41.1733,27.5036,31.309,32.903,36.084,28.17,26.701,25.631,7.036,7.196,7.234,3.932,1.734,1.945,40.521,0.2609,40.396,0.2662,38.285,0.272
1596,Saray,Tekirdağ,41.4419,27.9219,29.653,30.567,33.653,28.015,27.313,25.826,7.057,7.201,7.225,4.163,1.756,1.974,42.332,0.2596,42.12,0.2623,40.521,0.2691
2096,Süleymanpaşa,Tekirdağ,40.9833,27.5167,31.051,31.837,36.41,33.124,31.477,29.895,6.974,7.01,7.034,4.035,2.086,2.525,35.825,0.2482,36.686,0.2531,33.695,0.2617
1250,Çerkezköy,Tekirdağ,41.2858,28.0017,29.903,31.311,36.233,29.125,28.032,25.695,6.996,7.129,7.153,4.593,1.723,2.074,40.972,0.2571,40.657,0.2612,38.072,0.272
1258,Çorlu,Tekirdağ,41.1583,27.8003,29.963,30.958,34.186,27.453,26.185,25.565,7.109,7.291,7.306,4.224,1.669,1.981,42.584,0.2613,42.857,0.2655,40.249,0.2703
1652,Şarköy,Tekirdağ,40.6131,27.1156,27.506,28.571,30.747,37.35,35.561,33.962,6.578,6.669,6.574,4.385,2.198,1.995,35.144,0.2341,35.868,0.2397,35.291,0.2458
