date,T2M_MAX,T2M_MIN,T2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,GWETROOT,WS10M,RH2M
2004-01-01,10.81,5.55,7.69,0.34,4.3,0.81,2.33,92.25
2004-01-02,11.68,6.28,7.7,0.73,3.33,0.81,2.59,93.63
2004-01-03,9.02,5.89,7.17,2.91,3.49,0.81,5.56,93.64
2004-01-04,6.35,2.76,4.66,15.97,1.86,0.83,8.44,92.87
2004-01-05,2.79,-0.39,1.4,6.0,2.17,0.83,4.54,88.62
2004-01-06,-0.68,-4.23,-2.38,3.08,5.66,0.83,5.0,82.69
2004-01-07,-2.04,-4.41,-3.34,1.29,5.56,0.83,4.64,78.51
2004-01-08,0.05,-4.5,-2.88,0.13,6.5,0.83,3.15,81.79
2004-01-09,0.8,-4.74,-2.54,0.0,7.62,0.83,2.27,77.25
2004-01-10,3.56,-3.34,-0.27,0.0,7.06,0.83,2.87,78.98
2004-01-11,5.27,0.12,2.76,1.3,2.19,0.83,7.46,84.3
2004-01-12,5.33,1.62,2.89,0.15,6.17,0.83,3.2,90.66
2004-01-13,5.52,1.4,3.36,0.04,4.48,0.83,3.71,96.68
2004-01-14,8.59,3.41,5.98,0.31,3.46,0.83,4.62,98.3
2004-01-15,11.59,5.43,8.25,1.3,2.69,0.83,4.24,89.72
2004-01-16,11.38,1.03,6.0,1.21,7.43,0.83,5.08,80.08
2004-01-17,9.25,0.4,4.27,0.0,9.13,0.83,3.87,81.92
2004-01-18,12.21,3.14,6.79,0.0,7.59,0.83,4.91,85.85
2004-01-19,12.57,4.36,7.81,0.01,6.56,0.83,4.28,91.55
2004-01-20,13.53,7.28,9.88,2.9,4.75,0.83,6.78,89.1
2004-01-21,10.86,2.35,6.77,24.53,1.45,0.84,5.8,94.83
2004-01-22,2.86,-3.52,-0.02,44.26,1.84,0.87,13.39,93.11
2004-01-23,-3.82,-5.29,-4.64,4.37,3.77,0.86,7.61,93.99
2004-01-24,-2.79,-6.51,-4.72,0.56,3.41,0.86,2.83,91.87
2004-01-25,0.1,-5.49,-2.22,0.07,3.98,0.86,4.32,93.35
2004-01-26,1.07,-4.39,-0.6,1.12,4.17,0.86,4.7,94.03
2004-01-27,2.24,-6.54,-1.38,0.22,6.34,0.86,3.18,93.73
2004-01-28,10.52,2.19,6.45,2.99,4.44,0.89,7.83,93.43
2004-01-29,12.52,8.05,10.5,12.0,2.58,0.89,8.45,86.6
2004-01-30,6.44,1.94,3.69,3.9,3.49,0.9,5.43,85.08
2004-01-31,4.45,-0.43,2.21,0.09,9.55,0.89,7.42,77.91
2004-02-01,5.16,-0.83,1.99,0.04,10.99,0.89,2.57,79.83
2004-02-02,10.61,0.49,4.53,0.0,8.66,0.89,3.25,87.1
2004-02-03,7.21,1.62,4.08,5.09,3.01,0.89,4.37,93.21
2004-02-04,5.1,0.0,2.36,0.16,8.17,0.89,4.17,85.0
2004-02-05,8.85,-0.22,4.49,0.12,7.48,0.89,3.93,89.58
2004-02-06,14.95,4.32,8.82,0.0,10.04,0.89,2.92,83.43
2004-02-07,15.14,4.81,9.41,0.0,12.37,0.89,4.31,87.39
2004-02-08,14.56,6.72,9.68,0.04,8.82,0.88,3.13,83.8
2004-02-09,13.28,3.18,8.19,0.17,7.9,0.88,3.55,86.41
2004-02-10,6.96,-1.18,2.4,0.03,12.35,0.88,4.58,71.46
2004-02-11,4.86,-2.23,1.22,0.07,13.03,0.88,3.88,66.21
2004-02-12,3.08,-3.97,0.13,10.24,4.54,0.88,7.28,86.44
2004-02-13,-4.21,-5.69,-5.26,4.25,4.37,0.88,10.76,81.98
2004-02-14,-3.47,-7.28,-5.17,1.39,7.64,0.88,4.09,77.14
2004-02-15,2.86,-3.85,-1.01,0.84,4.33,0.88,4.59,84.2
2004-02-16,4.42,-2.2,0.88,0.02,10.67,0.88,1.6,74.9
2004-02-17,3.5,-0.53,0.95,0.1,9.55,0.89,3.31,81.4
2004-02-18,4.74,-1.27,1.34,0.0,12.94,0.89,2.58,75.29
2004-02-19,8.56,-0.58,2.81,0.0,13.23,0.89,3.03,81.45
2004-02-20,5.54,-2.45,1.79,4.24,5.49,0.89,4.65,91.59
2004-02-21,-1.75,-4.14,-2.77,0.92,14.03,0.89,6.26,78.38
2004-02-22,3.19,-3.54,-0.5,0.26,6.69,0.89,2.65,80.83
2004-02-23,5.77,-0.22,2.97,1.07,3.98,0.89,3.93,87.65
2004-02-24,9.82,3.86,7.23,2.32,4.96,0.89,4.18,98.89
2004-02-25,12.83,5.97,9.26,0.25,5.36,0.89,5.08,93.61
2004-02-26,13.81,5.66,10.2,0.83,10.26,0.89,4.37,86.37
2004-02-27,16.23,8.7,12.15,5.54,8.03,0.89,7.42,84.33
2004-02-28,16.61,9.43,12.6,0.66,13.67,0.89,5.01,81.99
2004-02-29,15.41,6.52,10.8,0.01,12.77,0.88,5.14,81.88
2004-03-01,14.68,4.79,8.56,0.0,15.81,0.88,2.01,78.86
2004-03-02,12.84,2.37,7.32,0.06,14.24,0.88,2.0,84.22
2004-03-03,6.23,2.88,4.27,1.24,8.07,0.88,4.3,86.25
2004-03-04,3.29,1.23,2.28,17.38,2.33,0.89,5.57,91.52
2004-03-05,2.49,-2.03,0.72,1.63,12.17,0.9,6.06,77.77
2004-03-06,1.83,-2.94,-0.78,1.27,10.94,0.89,3.37,81.33
2004-03-07,4.6,-3.28,0.0,0.0,17.98,0.89,2.52,71.02
2004-03-08,8.69,-1.29,3.38,0.12,18.01,0.89,3.17,73.14
2004-03-09,9.82,2.8,6.67,8.78,2.3,0.89,3.63,87.24
2004-03-10,9.42,2.58,6.31,6.7,6.76,0.9,4.1,87.15
2004-03-11,7.22,0.45,3.41,1.3,7.03,0.9,4.0,84.23
2004-03-12,7.09,1.76,4.06,0.64,7.22,0.9,4.5,85.98
2004-03-13,6.96,2.8,4.26,0.59,9.96,0.9,5.06,87.03
2004-03-14,7.71,0.67,3.89,0.0,16.82,0.89,4.03,78.52
2004-03-15,11.13,0.58,5.27,0.01,16.12,0.89,1.95,80.92
2004-03-16,10.52,2.24,5.71,0.0,16.07,0.89,2.91,85.19
2004-03-17,12.62,2.8,7.44,0.06,15.27,0.89,1.2,80.55
2004-03-18,11.11,5.47,8.13,0.09,8.63,0.89,3.63,87.84
2004-03-19,15.14,5.04,8.95,0.02,18.47,0.88,1.24,80.79
2004-03-20,17.3,5.23,10.57,0.0,18.6,0.88,4.46,80.43
2004-03-21,17.94,7.39,12.11,0.0,17.94,0.88,5.56,82.19
2004-03-22,17.44,9.05,12.48,0.0,17.16,0.87,6.1,82.67
2004-03-23,16.08,8.59,11.61,0.0,13.59,0.87,4.18,84.52
2004-03-24,17.43,8.04,11.75,0.2,13.21,0.86,4.94,75.5
2004-03-25,14.61,8.2,11.06,0.0,18.65,0.86,6.96,74.25
2004-03-26,15.3,8.14,11.55,0.09,6.77,0.86,4.3,84.79
2004-03-27,18.12,10.28,13.68,0.66,12.86,0.85,3.81,78.52
2004-03-28,11.76,6.72,8.59,6.76,5.04,0.85,3.21,89.46
2004-03-29,11.45,5.08,7.76,9.71,12.87,0.88,4.06,82.1
2004-03-30,10.52,3.71,6.62,0.0,18.94,0.87,4.05,76.66
2004-03-31,10.8,2.72,6.47,0.0,19.85,0.87,4.07,80.72
2004-04-01,11.22,4.5,6.97,0.36,12.23,0.86,3.63,81.0
2004-04-02,10.35,2.38,6.09,0.17,16.42,0.86,6.01,76.35
2004-04-03,6.98,0.74,3.44,0.0,23.77,0.86,5.03,67.13
2004-04-04,7.89,-0.29,3.48,0.0,23.06,0.85,3.59,68.37
2004-04-05,14.29,0.44,7.35,0.0,22.93,0.85,2.54,67.31
2004-04-06,16.3,4.9,10.62,0.0,19.59,0.85,4.47,82.53
2004-04-07,16.62,7.74,12.11,0.0,17.71,0.84,5.71,79.95
2004-04-08,18.11,10.13,13.88,0.12,19.29,0.84,6.18,79.67
2004-04-09,19.86,8.99,14.28,0.03,19.52,0.83,2.27,78.45
2004-04-10,21.12,9.8,14.89,0.0,18.57,0.83,4.61,69.66
2004-04-11,20.9,10.57,15.55,0.01,13.43,0.82,3.91,66.79
2004-04-12,19.18,11.0,14.9,0.03,8.2,0.82,3.79,73.62
2004-04-13,20.85,11.85,15.73,1.72,12.11,0.82,2.46,79.99
2004-04-14,15.73,8.43,12.8,4.91,11.28,0.82,2.61,81.68
2004-04-15,10.88,4.71,7.63,1.08,15.37,0.82,6.14,76.26
2004-04-16,13.86,3.88,8.6,0.0,26.04,0.82,3.1,67.31
2004-04-17,14.57,5.87,10.15,0.61,14.14,0.82,1.64,68.83
2004-04-18,15.09,7.46,11.2,0.67,14.63,0.81,3.29,81.17
2004-04-19,11.81,7.17,9.17,0.57,12.11,0.81,4.12,84.6
2004-04-20,15.44,7.19,10.52,0.02,20.88,0.81,2.24,82.41
2004-04-21,10.15,8.24,9.01,4.54,10.29,0.81,5.02,93.17
2004-04-22,14.29,7.26,10.33,0.09,21.12,0.81,5.04,82.74
2004-04-23,16.6,5.88,11.4,0.0,25.18,0.81,2.92,70.22
2004-04-24,16.29,7.9,11.72,0.11,20.58,0.8,2.13,77.81
2004-04-25,13.98,6.92,10.13,0.0,22.64,0.8,3.45,84.0
2004-04-26,13.1,8.62,10.3,0.32,16.96,0.8,4.68,83.64
2004-04-27,12.28,8.31,10.08,2.31,10.52,0.8,7.17,89.05
2004-04-28,13.15,8.04,10.04,7.16,12.61,0.81,3.49,85.3
2004-04-29,17.1,7.27,11.71,0.0,24.35,0.8,1.99,73.26
2004-04-30,17.52,7.62,11.95,0.0,27.34,0.8,2.24,73.12
2004-05-01,15.54,7.64,11.33,0.02,24.6,0.79,3.43,84.96
2004-05-02,14.89,8.99,11.73,0.01,16.61,0.79,3.33,87.13
2004-05-03,16.19,8.62,12.1,0.03,21.09,0.79,2.6,84.98
2004-05-04,20.7,8.56,14.32,0.0,24.02,0.78,1.57,75.78
2004-05-05,19.52,11.47,15.83,2.22,10.58,0.78,4.45,79.84
2004-05-06,21.39,13.51,16.94,1.66,21.55,0.78,5.2,75.17
2004-05-07,21.04,12.76,16.57,0.02,26.5,0.77,6.05,70.3
2004-05-08,21.73,11.04,16.06,0.0,25.99,0.77,2.67,68.6
2004-05-09,24.4,10.37,17.46,0.16,26.62,0.76,2.49,70.22
2004-05-10,18.5,11.95,15.48,7.48,18.97,0.76,2.51,84.81
2004-05-11,18.94,11.72,15.1,1.07,23.21,0.77,2.81,76.69
2004-05-12,21.77,10.6,16.28,0.0,26.42,0.76,2.77,66.35
2004-05-13,21.39,12.02,16.51,0.0,22.88,0.75,2.75,69.55
2004-05-14,17.97,11.15,14.05,2.4,12.22,0.75,2.98,88.69
2004-05-15,16.03,9.91,12.86,0.31,15.56,0.75,4.74,80.95
2004-05-16,16.7,8.39,12.48,0.15,24.22,0.75,2.99,71.69
2004-05-17,15.92,8.72,12.38,0.91,24.6,0.74,3.93,74.94
2004-05-18,16.54,10.23,13.08,0.12,18.54,0.74,4.11,73.87
2004-05-19,18.61,8.97,14.21,0.06,23.08,0.74,2.23,71.23
2004-05-20,22.57,10.32,17.23,0.0,23.36,0.73,2.25,65.88
2004-05-21,23.95,14.19,18.61,0.0,26.6,0.72,1.79,63.22
2004-05-22,24.23,14.3,18.69,0.0,28.51,0.72,2.5,61.94
2004-05-23,24.54,13.23,19.08,0.01,23.37,0.71,2.76,70.98
2004-05-24,19.98,8.28,14.7,4.77,7.21,0.71,3.89,82.78
2004-05-25,16.75,6.73,11.86,0.52,27.6,0.71,3.32,69.43
