r2,rmse_kg_da,mae_kg_da,mape_pct,bias_kg_da,ss_vs_b0,crop,cv,model,n,elapsed_s
-0.248,77.719,61.039,16.989,-6.421,-0.259,bugday,LOYO,pls,589,0.1
-0.092,72.706,57.008,16.045,-1.898,-0.178,bugday,LOYO,elastic_net,589,0.1
-0.169,75.227,59.651,16.432,-8.315,-0.218,bugday,LOYO,random_forest,589,11.5
-0.234,77.292,61.58,17.076,-3.353,-0.252,bugday,LOYO,xgboost,589,3.6
-0.198,76.155,59.75,16.63,-1.585,-0.233,bugday,LOYO,gpr,589,16.3
0.013,69.132,54.376,15.398,1.258,-0.12,bugday,LOILO,pls,589,0.1
0.048,67.888,53.333,15.157,0.619,-0.1,bugday,LOILO,elastic_net,589,0.1
0.362,55.598,43.248,12.334,0.523,0.1,bugday,LOILO,random_forest,589,12.1
0.371,55.203,41.895,11.861,-0.223,0.106,bugday,LOILO,xgboost,589,3.3
0.441,52.009,39.973,11.362,0.968,0.158,bugday,LOILO,gpr,589,19.3
-0.013,70.029,55.386,15.597,-0.502,-0.134,bugday,Spatiotemporal,pls,589,0.1
0.038,68.242,53.654,15.202,-0.153,-0.105,bugday,Spatiotemporal,elastic_net,589,0.1
0.225,61.238,47.665,13.433,-1.361,0.008,bugday,Spatiotemporal,random_forest,589,11.2
0.275,59.243,45.934,12.914,-1.536,0.04,bugday,Spatiotemporal,xgboost,589,4.0
0.321,57.355,43.874,12.387,0.093,0.071,bugday,Spatiotemporal,gpr,589,17.7
-0.073,52.665,41.938,23.587,0.319,-0.053,aycicegi,LOYO,pls,576,0.1
0.002,50.802,40.686,23.278,0.498,-0.016,aycicegi,LOYO,elastic_net,576,0.1
0.051,49.542,39.843,22.357,-0.633,0.009,aycicegi,LOYO,random_forest,576,9.4
-0.076,52.75,42.259,23.166,-3.028,-0.055,aycicegi,LOYO,xgboost,576,2.1
-0.112,53.63,42.857,23.966,0.651,-0.073,aycicegi,LOYO,gpr,576,13.5
0.173,46.239,36.129,20.305,0.165,0.075,aycicegi,LOILO,pls,576,0.2
0.129,47.459,37.563,21.457,0.017,0.051,aycicegi,LOILO,elastic_net,576,0.2
0.439,38.103,29.397,16.344,0.15,0.238,aycicegi,LOILO,random_forest,576,15.2
0.504,35.816,27.086,14.909,0.6,0.284,aycicegi,LOILO,xgboost,576,4.6
0.493,36.218,27.724,15.181,-0.247,0.276,aycicegi,LOILO,gpr,576,20.2
0.099,48.271,38.28,21.598,1.381,0.035,aycicegi,Spatiotemporal,pls,576,0.2
0.077,48.852,39.036,22.336,0.655,0.023,aycicegi,Spatiotemporal,elastic_net,576,0.1
0.32,41.935,32.38,18.183,0.643,0.161,aycicegi,Spatiotemporal,random_forest,576,13.1
0.385,39.877,30.899,17.118,0.539,0.202,aycicegi,Spatiotemporal,xgboost,576,4.3
0.387,39.818,30.706,16.98,0.586,0.204,aycicegi,Spatiotemporal,gpr,576,16.6
