r2,rmse_kg_da,mae_kg_da,mape_pct,bias_kg_da,ss_vs_b0,crop,cv,model,n,elapsed_s
-2.044,122.921,99.487,25.682,9.908,-0.782,bugday,LOYO,pls,213,0.1
-0.966,98.79,78.271,20.136,3.381,-0.432,bugday,LOYO,elastic_net,213,0.0
-0.739,92.923,73.78,19.124,6.635,-0.347,bugday,LOYO,random_forest,213,2.9
-0.637,90.138,71.357,18.466,5.427,-0.307,bugday,LOYO,xgboost,213,1.1
-0.536,87.307,68.205,17.358,0.419,-0.266,bugday,LOYO,gpr,213,0.4
0.076,67.722,51.215,13.279,1.448,0.018,bugday,LOILO,pls,213,0.1
0.066,68.106,52.835,13.75,0.941,0.013,bugday,LOILO,elastic_net,213,0.1
0.416,53.822,40.966,10.876,0.995,0.22,bugday,LOILO,random_forest,213,8.9
0.395,54.8,40.536,10.791,0.098,0.206,bugday,LOILO,xgboost,213,2.6
0.429,53.226,40.666,10.77,1.927,0.228,bugday,LOILO,gpr,213,1.6
-0.048,72.137,53.974,13.891,1.342,-0.046,bugday,Spatiotemporal,pls,213,0.1
-0.058,72.459,56.022,14.487,1.0,-0.051,bugday,Spatiotemporal,elastic_net,213,0.1
0.273,60.084,46.494,12.155,0.769,0.129,bugday,Spatiotemporal,random_forest,213,8.0
0.314,58.369,46.225,12.059,-0.963,0.154,bugday,Spatiotemporal,xgboost,213,3.3
0.25,61.005,46.421,12.084,0.321,0.116,bugday,Spatiotemporal,gpr,213,1.8
-0.122,57.175,47.77,25.241,3.821,-0.048,aycicegi,LOYO,pls,209,0.0
-0.027,54.68,44.71,24.116,4.271,-0.002,aycicegi,LOYO,elastic_net,209,0.0
0.237,47.131,36.478,19.695,3.249,0.136,aycicegi,LOYO,random_forest,209,3.8
-0.112,56.909,45.478,24.925,7.498,-0.043,aycicegi,LOYO,xgboost,209,0.9
0.214,47.851,38.507,20.651,2.091,0.123,aycicegi,LOYO,gpr,209,0.6
0.177,48.968,38.015,19.316,1.589,0.103,aycicegi,LOILO,pls,209,0.2
0.249,46.774,36.958,19.208,1.302,0.143,aycicegi,LOILO,elastic_net,209,0.1
0.406,41.611,31.16,15.84,0.859,0.237,aycicegi,LOILO,random_forest,209,11.0
0.329,44.204,33.73,16.762,-0.2,0.19,aycicegi,LOILO,xgboost,209,2.7
0.45,40.039,30.636,15.608,0.399,0.266,aycicegi,LOILO,gpr,209,1.8
0.255,46.568,36.727,19.127,0.777,0.147,aycicegi,Spatiotemporal,pls,209,0.1
0.271,46.077,36.642,19.39,0.872,0.156,aycicegi,Spatiotemporal,elastic_net,209,0.1
0.338,43.919,33.125,17.639,2.203,0.195,aycicegi,Spatiotemporal,random_forest,209,10.2
0.243,46.971,36.151,18.824,3.034,0.139,aycicegi,Spatiotemporal,xgboost,209,2.9
0.434,40.619,31.743,16.725,1.39,0.256,aycicegi,Spatiotemporal,gpr,209,1.6
