r2,rmse_kg_da,mae_kg_da,mape_pct,bias_kg_da,ss_vs_b0,crop,cv,model,n,elapsed_s
-1.134,102.934,81.268,20.773,6.803,-0.492,bugday,LOYO,pls,213,0.0
-0.724,92.514,72.092,18.452,3.45,-0.341,bugday,LOYO,elastic_net,213,0.0
-0.554,87.837,69.145,17.875,9.617,-0.273,bugday,LOYO,random_forest,213,3.5
-0.311,80.684,63.431,16.364,8.017,-0.17,bugday,LOYO,xgboost,213,0.9
-0.541,87.461,67.897,17.205,3.854,-0.268,bugday,LOYO,gpr,213,0.7
-0.658,90.726,69.632,17.597,-2.373,-0.315,bugday,LOYO,stacking,213,23.2
0.21,62.633,48.265,12.415,1.201,0.092,bugday,LOILO,pls,213,0.2
0.18,63.785,49.899,12.941,1.228,0.075,bugday,LOILO,elastic_net,213,0.1
0.392,54.929,43.225,11.458,2.204,0.204,bugday,LOILO,random_forest,213,11.7
0.427,53.342,39.698,10.561,3.217,0.227,bugday,LOILO,xgboost,213,3.4
0.342,57.169,44.183,11.753,4.034,0.171,bugday,LOILO,gpr,213,2.7
0.079,67.624,50.909,13.002,1.772,0.02,bugday,Spatiotemporal,pls,213,0.1
0.059,68.341,52.609,13.517,1.488,0.009,bugday,Spatiotemporal,elastic_net,213,0.1
0.372,55.829,44.322,11.453,2.465,0.191,bugday,Spatiotemporal,random_forest,213,11.3
0.48,50.829,39.941,10.295,1.127,0.263,bugday,Spatiotemporal,xgboost,213,3.8
0.264,60.455,46.331,11.934,2.855,0.124,bugday,Spatiotemporal,gpr,213,3.0
0.151,49.717,40.964,21.402,4.584,0.089,aycicegi,LOYO,pls,209,0.1
0.186,48.694,40.439,21.564,4.056,0.108,aycicegi,LOYO,elastic_net,209,0.0
0.358,43.259,33.425,17.982,3.606,0.207,aycicegi,LOYO,random_forest,209,3.8
0.194,48.466,38.132,20.511,5.241,0.112,aycicegi,LOYO,xgboost,209,0.8
0.386,42.273,33.68,17.755,2.162,0.225,aycicegi,LOYO,gpr,209,0.6
0.343,43.733,34.814,18.311,0.731,0.199,aycicegi,LOYO,stacking,209,19.4
0.337,43.936,33.863,16.966,1.898,0.195,aycicegi,LOILO,pls,209,0.2
0.392,42.093,32.996,16.965,1.072,0.229,aycicegi,LOILO,elastic_net,209,0.2
0.49,38.543,29.411,14.842,0.54,0.294,aycicegi,LOILO,random_forest,209,11.1
0.521,37.342,28.995,14.207,0.482,0.316,aycicegi,LOILO,xgboost,209,3.1
0.582,34.892,26.942,13.488,0.524,0.361,aycicegi,LOILO,gpr,209,2.2
0.413,41.361,32.474,16.542,0.651,0.242,aycicegi,Spatiotemporal,pls,209,0.1
0.408,41.534,32.966,17.241,0.637,0.239,aycicegi,Spatiotemporal,elastic_net,209,0.1
0.44,40.393,30.251,16.035,2.001,0.26,aycicegi,Spatiotemporal,random_forest,209,10.1
0.355,43.333,33.007,17.065,1.211,0.206,aycicegi,Spatiotemporal,xgboost,209,2.7
0.556,35.947,28.046,14.391,0.502,0.341,aycicegi,Spatiotemporal,gpr,209,1.8
