feature,imp_mean,imp_std
gdd_cum_season,0.27444108986536053,0.0186999955836635
vernalization_days,0.14204231939497858,0.011291837898065761
tp_flowering,0.11167520377926143,0.012937073606327138
ssr_season_sum,0.11005985715374697,0.008895290386033778
tp_season_sum,0.10802982865551299,0.011144608329469669
tp_winter_sum,0.10375113187379262,0.008133629438395712
ssr_flowering_sum,0.09762385453064162,0.005434993213094071
tdiff_mean,0.08043733061446993,0.006481755293663752
tp_grain_fill,0.06544454865787144,0.005980455272176111
gdd_flowering,0.0519876541140916,0.0033208017391221146
t2m_flowering_mean,0.04317121528321759,0.0033114386541589313
heat_stress_days,0.03486356123130019,0.003262369096540889
aridity_index,0.0270731613792758,0.002606235471699605
t2m_flowering_max,0.010432502888955753,0.001809894601387236
