feature,imp_mean,imp_std
tp_grain_fill,0.2974761081687992,0.029886753943586225
ndvi_flowering,0.2342345173488501,0.020407745748210176
ssr_flowering_sum,0.13885636130468232,0.011164763440292269
gdd_cum_season,0.13809839818512826,0.017355646583180413
tp_season_sum,0.11864710296259862,0.00942686812924434
ndvi_max,0.09791065850708769,0.006916924319939321
gdd_flowering,0.060820953129951005,0.004234504726619475
t2m_flowering_mean,0.0536546626183102,0.0049988077581865995
ndvi_grain_fill,0.04166224464546742,0.00360125070111554
ndvi_integral,0.03398738170211555,0.0017465756531882637
tp_winter_sum,0.02905640348855635,0.003116209150191467
tp_flowering,0.02810524472713729,0.003933497038256969
ssr_season_sum,0.023715535514339626,0.002360502210243003
ndvi_spring_slope,0.020303175631465685,0.002182015068594685
ndvi_mean_season,0.01798873879927513,0.0034805673455454386
vernalization_days,0.016270840162376086,0.0018160157818285648
aridity_index,0.01125040815536783,0.0014141658902042185
heat_stress_days,0.008715217317499612,0.000779556788650967
t2m_flowering_max,0.007878208211349425,0.0021800254096473073
tdiff_mean,0.0018878916524865841,0.0003896639277002524
greenness_days,0.00032248630006732616,0.00011107338944954619
