feature,imp_mean,imp_std
ndvi_flowering,0.5865952972036339,0.0531760211657969
gdd_flowering,0.1205471394591529,0.014645227750617737
sand_0-5cm,0.08663763856150684,0.0077756713586260694
soc_0-5cm,0.0472670198268628,0.00942267388593417
clay_0-5cm,0.03886629896928865,0.005835830394184663
tp_season_sum,0.036677012717969346,0.007205553166322477
ssr_season_sum,0.03344763421224339,0.003181461055722621
ndvi_max,0.025128498475079263,0.0033577097265079714
ndvi_mean_season,0.023922107617236444,0.0025289802879074094
ssr_flowering_sum,0.022295221057598614,0.003979962681461808
tp_grain_fill,0.02104650759904626,0.0021359893000342718
ndvi_grain_fill,0.020092002800664886,0.0013567918836787666
ndvi_integral,0.019213495960550653,0.0030342771232439573
gdd_cum_season,0.01818838257534706,0.0021098944262328864
aridity_index,0.015320864570633452,0.0025832816271879264
phh2o_0-5cm,0.014334491699140662,0.002747116285167347
tp_flowering,0.013730353253875427,0.0010173289303897772
ndvi_spring_slope,0.010025887297400327,0.0007767857556723696
heat_stress_days,0.0043193617106720315,0.000599149438675068
tdiff_mean,0.003682156954001903,0.0005258885466289011
t2m_flowering_max,0.003126396159809197,0.0003991187890713105
t2m_flowering_mean,0.002614487819548572,0.0006411067378834661
awc_0-5cm,0.0019746346874729426,0.00039022591835288366
silt_0-5cm,0.0016369588150223935,0.00019972707133693172
greenness_days,1.5176041454711964e-05,8.739126586251683e-06
tp_winter_sum,0.0,0.0
vernalization_days,0.0,0.0
