feature,imp_mean,imp_std
tp_grain_fill,0.25796675667785285,0.024122752100967933
soc_0-5cm,0.2418003322239035,0.019253164494102564
ndvi_flowering,0.20852080475776363,0.01754931816502719
tp_season_sum,0.14968938549823965,0.009687742477643192
ssr_flowering_sum,0.10576452156343555,0.006344421132436683
silt_0-5cm,0.032419772452065364,0.006676238548369131
ndvi_grain_fill,0.029177137493029526,0.003092545167262704
tp_winter_sum,0.0275991866151997,0.002877307129625988
ndvi_max,0.0262117702434591,0.001950641612342681
phh2o_0-5cm,0.022513215099045823,0.0014929915285561992
ssr_season_sum,0.021928313476114382,0.0022370798470830668
ndvi_spring_slope,0.021752915521753236,0.002078322131697578
t2m_flowering_mean,0.014265290430629574,0.0014250902772708009
ndvi_mean_season,0.014133107031647208,0.0019976827448946006
gdd_cum_season,0.013618997019412637,0.0014415240801920178
clay_0-5cm,0.013441374806324635,0.0013580859868602608
t2m_flowering_max,0.012203788836173258,0.0017100343568066435
gdd_flowering,0.011921982346218107,0.0009707130818440855
vernalization_days,0.01066796829632124,0.0014405559723927655
sand_0-5cm,0.007101959236540545,0.0007633596754311325
tp_flowering,0.006882956633688342,0.0012363633526795666
ndvi_integral,0.005382976994136479,0.0006148575118494329
heat_stress_days,0.004902421850323957,0.0007324330519831668
aridity_index,0.004606882211315166,0.0002769793482516509
tdiff_mean,0.002785464625368661,0.0002983758096385109
awc_0-5cm,0.0004558374919586772,0.000127705565170482
greenness_days,0.0,0.0
