ilce_id,ilce,il,year,urun_tr,verim_kg_da,ilce_crop_mean,z,anomaly_yon
1464,Keşan,Edirne,2004,Ayçiçeği (Yağlık),171.0,228.6,-1.54,DÜŞÜK
1523,Meriç,Edirne,2005,Ayçiçeği (Yağlık),127.0,229.8,-1.74,DÜŞÜK
1295,Merkez,Edirne,2007,Ayçiçeği (Yağlık),123.0,211.1,-1.6,DÜŞÜK
1523,Meriç,Edirne,2010,Ayçiçeği (Yağlık),330.0,229.8,1.7,YÜKSEK
1295,Merkez,Edirne,2010,Ayçiçeği (Yağlık),298.0,211.1,1.58,YÜKSEK
1988,Süloğlu,Edirne,2010,Ayçiçeği (Yağlık),300.0,217.7,1.73,YÜKSEK
1705,Uzunköprü,Edirne,2010,Ayçiçeği (Yağlık),350.0,225.5,1.89,YÜKSEK
1412,İpsala,Edirne,2010,Ayçiçeği (Yağlık),300.0,208.5,2.0,YÜKSEK
1385,Havsa,Edirne,2014,Ayçiçeği (Yağlık),308.0,210.3,2.3,YÜKSEK
1464,Keşan,Edirne,2014,Ayçiçeği (Yağlık),287.0,228.6,1.57,YÜKSEK
1412,İpsala,Edirne,2014,Ayçiçeği (Yağlık),285.0,208.5,1.67,YÜKSEK
1307,Enez,Edirne,2020,Ayçiçeği (Yağlık),292.0,204.5,1.64,YÜKSEK
1988,Süloğlu,Edirne,2021,Ayçiçeği (Yağlık),302.0,217.7,1.77,YÜKSEK
1523,Meriç,Edirne,2022,Ayçiçeği (Yağlık),352.0,229.8,2.07,YÜKSEK
1502,Lalapaşa,Edirne,2023,Ayçiçeği (Yağlık),261.0,177.7,1.68,YÜKSEK
1988,Süloğlu,Edirne,2023,Ayçiçeği (Yağlık),302.0,217.7,1.77,YÜKSEK
1385,Havsa,Edirne,2024,Ayçiçeği (Yağlık),132.0,210.3,-1.84,DÜŞÜK
1464,Keşan,Edirne,2024,Ayçiçeği (Yağlık),156.0,228.6,-1.95,DÜŞÜK
1502,Lalapaşa,Edirne,2024,Ayçiçeği (Yağlık),78.0,177.7,-2.01,DÜŞÜK
1295,Merkez,Edirne,2024,Ayçiçeği (Yağlık),123.0,211.1,-1.6,DÜŞÜK
1307,Enez,Edirne,2025,Ayçiçeği (Yağlık),121.0,204.5,-1.57,DÜŞÜK
1385,Havsa,Edirne,2025,Ayçiçeği (Yağlık),141.0,210.3,-1.63,DÜŞÜK
1464,Keşan,Edirne,2025,Ayçiçeği (Yağlık),155.0,228.6,-1.97,DÜŞÜK
1502,Lalapaşa,Edirne,2025,Ayçiçeği (Yağlık),70.0,177.7,-2.17,DÜŞÜK
1295,Merkez,Edirne,2025,Ayçiçeği (Yağlık),107.0,211.1,-1.9,DÜŞÜK
1480,Kofçaz,Kırklareli,2004,Ayçiçeği (Yağlık),68.0,145.0,-1.77,DÜŞÜK
1572,Pehlivanköy,Kırklareli,2004,Ayçiçeği (Yağlık),128.0,221.6,-1.53,DÜŞÜK
1480,Kofçaz,Kırklareli,2005,Ayçiçeği (Yağlık),52.0,145.0,-2.14,DÜŞÜK
