ilce_id,ilce,il,lat,lon,is_trakya
1307,Enez,Edirne,40.7242,26.09,True
1385,Havsa,Edirne,41.5466,26.8197,True
1464,Keşan,Edirne,40.8528,26.632,True
1502,Lalapaşa,Edirne,41.833,26.737,True
1523,Meriç,Edirne,41.1842,26.4181,True
1295,Merkez,Edirne,41.6772,26.5557,True
1988,Süloğlu,Edirne,41.7461,27.0017,True
1705,Uzunköprü,Edirne,41.2676,26.6905,True
1412,İpsala,Edirne,40.9221,26.3811,True
1163,Babaeski,Kırklareli,41.4327,27.0945,True
1270,Demirköy,Kırklareli,41.821,27.7619,True
1480,Kofçaz,Kırklareli,41.9633,27.1769,True
1505,Lüleburgaz,Kırklareli,41.4017,27.3577,True
1471,Merkez,Kırklareli,41.7333,27.2167,True
1572,Pehlivanköy,Kırklareli,41.3625,27.0044,True
1577,Pınarhisar,Kırklareli,41.6217,27.5208,True
1714,Vize,Kırklareli,41.5713,27.7681,True
2094,Ergene,Tekirdağ,41.2792,27.76,True
1388,Hayrabolu,Tekirdağ,41.2189,27.1147,True
2095,Kapaklı,Tekirdağ,41.3289,28.1369,True
1511,Malkara,Tekirdağ,40.8889,26.8997,True
1825,Marmaraereğlisi,Tekirdağ,40.9728,27.9656,True
1673,Merkez,Tekirdağ,40.9833,27.5167,True
1538,Muratlı,Tekirdağ,41.1733,27.5036,True
1596,Saray,Tekirdağ,41.4419,27.9219,True
2096,Süleymanpaşa,Tekirdağ,40.9833,27.5167,True
1250,Çerkezköy,Tekirdağ,41.2858,28.0017,True
1258,Çorlu,Tekirdağ,41.1583,27.8003,True
1652,Şarköy,Tekirdağ,40.6131,27.1156,True
2048,Arnavutköy,İstanbul,41.185,28.74,False
1325,Eyüp,İstanbul,41.0479,28.9337,False
1336,Gaziosmanpaşa,İstanbul,41.0581,28.9128,False
1622,Silivri,İstanbul,41.0731,28.2447,False
1237,Çatalca,İstanbul,41.1431,28.4633,False
