ilce_id,ilce,il,urun_tr,baseline_kg_da,hedef_20pct,hedef_30pct
1163,Babaeski,Kırklareli,Ayçiçeği (Yağlık),237.3,284.8,308.5
1163,Babaeski,Kırklareli,Buğday,400.2,480.2,520.2
1250,Çerkezköy,Tekirdağ,Ayçiçeği (Yağlık),167.2,200.6,217.3
1250,Çerkezköy,Tekirdağ,Buğday,393.8,472.6,512.0
1258,Çorlu,Tekirdağ,Ayçiçeği (Yağlık),180.0,216.0,234.0
1258,Çorlu,Tekirdağ,Buğday,407.2,488.6,529.3
1270,Demirköy,Kırklareli,Buğday,302.0,362.4,392.6
1295,Merkez,Edirne,Ayçiçeği (Yağlık),199.0,238.8,258.7
1295,Merkez,Edirne,Buğday,428.5,514.2,557.1
1307,Enez,Edirne,Ayçiçeği (Yağlık),182.8,219.4,237.7
1307,Enez,Edirne,Buğday,391.3,469.6,508.7
1385,Havsa,Edirne,Ayçiçeği (Yağlık),203.2,243.8,264.1
1385,Havsa,Edirne,Buğday,402.5,483.0,523.2
1388,Hayrabolu,Tekirdağ,Ayçiçeği (Yağlık),180.3,216.4,234.4
1388,Hayrabolu,Tekirdağ,Buğday,392.0,470.4,509.6
1412,İpsala,Edirne,Ayçiçeği (Yağlık),191.0,229.2,248.3
1412,İpsala,Edirne,Buğday,448.5,538.2,583.1
1464,Keşan,Edirne,Ayçiçeği (Yağlık),216.0,259.2,280.8
1464,Keşan,Edirne,Buğday,458.7,550.4,596.3
1471,Merkez,Kırklareli,Ayçiçeği (Yağlık),225.3,270.4,292.9
1471,Merkez,Kırklareli,Buğday,364.8,437.8,474.3
1480,Kofçaz,Kırklareli,Ayçiçeği (Yağlık),133.7,160.4,173.8
1480,Kofçaz,Kırklareli,Buğday,280.3,336.4,364.4
1502,Lalapaşa,Edirne,Ayçiçeği (Yağlık),171.5,205.8,223.0
1502,Lalapaşa,Edirne,Buğday,357.5,429.0,464.8
1505,Lüleburgaz,Kırklareli,Ayçiçeği (Yağlık),193.8,232.6,252.0
1505,Lüleburgaz,Kırklareli,Buğday,390.3,468.4,507.4
1511,Malkara,Tekirdağ,Ayçiçeği (Yağlık),193.2,231.8,251.1
1511,Malkara,Tekirdağ,Buğday,421.7,506.0,548.2
1523,Meriç,Edirne,Ayçiçeği (Yağlık),264.3,317.2,343.6
1523,Meriç,Edirne,Buğday,417.2,500.6,542.3
1538,Muratlı,Tekirdağ,Ayçiçeği (Yağlık),191.0,229.2,248.3
1538,Muratlı,Tekirdağ,Buğday,435.0,522.0,565.5
1572,Pehlivanköy,Kırklareli,Ayçiçeği (Yağlık),231.7,278.0,301.2
1572,Pehlivanköy,Kırklareli,Buğday,394.0,472.8,512.2
1577,Pınarhisar,Kırklareli,Ayçiçeği (Yağlık),206.7,248.0,268.7
1577,Pınarhisar,Kırklareli,Buğday,384.3,461.2,499.6
1596,Saray,Tekirdağ,Ayçiçeği (Yağlık),174.2,209.0,226.4
1596,Saray,Tekirdağ,Buğday,382.7,459.2,497.5
1652,Şarköy,Tekirdağ,Ayçiçeği (Yağlık),182.7,219.2,237.5
1652,Şarköy,Tekirdağ,Buğday,415.3,498.4,539.9
1705,Uzunköprü,Edirne,Ayçiçeği (Yağlık),221.8,266.2,288.4
1705,Uzunköprü,Edirne,Buğday,404.2,485.0,525.4
1714,Vize,Kırklareli,Ayçiçeği (Yağlık),218.5,262.2,284.0
1714,Vize,Kırklareli,Buğday,415.7,498.8,540.4
1825,Marmaraereğlisi,Tekirdağ,Ayçiçeği (Yağlık),190.5,228.6,247.6
1825,Marmaraereğlisi,Tekirdağ,Buğday,449.0,538.8,583.7
1988,Süloğlu,Edirne,Ayçiçeği (Yağlık),248.5,298.2,323.0
1988,Süloğlu,Edirne,Buğday,405.3,486.4,526.9
2094,Ergene,Tekirdağ,Ayçiçeği (Yağlık),174.3,209.2,226.6
2094,Ergene,Tekirdağ,Buğday,391.0,469.2,508.3
2095,Kapaklı,Tekirdağ,Ayçiçeği (Yağlık),171.0,205.2,222.3
2095,Kapaklı,Tekirdağ,Buğday,397.3,476.8,516.5
2096,Süleymanpaşa,Tekirdağ,Ayçiçeği (Yağlık),185.8,223.0,241.6
2096,Süleymanpaşa,Tekirdağ,Buğday,423.2,507.8,550.1
