ilce_id,ilce,il,crop,urun_tr,n_years,yil_min,yil_max,mean_kg_da,std_kg_da,cv_pct,min_kg_da,min_yil,max_kg_da,max_yil
1163,Babaeski,Kırklareli,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,215.3,56.3,26.2,112.0,2025,313.0,2022
1163,Babaeski,Kırklareli,bugday,Buğday,22,2004,2025,382.4,55.4,14.5,280.0,2010,483.0,2021
1250,Çerkezköy,Tekirdağ,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,180.3,41.2,22.9,98.0,2007,250.0,2019
1250,Çerkezköy,Tekirdağ,bugday,Buğday,22,2004,2025,374.6,60.8,16.2,273.0,2005,527.0,2021
1258,Çorlu,Tekirdağ,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,190.0,44.9,23.6,88.0,2023,267.0,2020
1258,Çorlu,Tekirdağ,bugday,Buğday,22,2004,2025,405.6,51.7,12.8,324.0,2018,527.0,2021
1270,Demirköy,Kırklareli,bugday,Buğday,13,2004,2025,269.2,44.3,16.5,174.0,2011,362.0,2021
1295,Merkez,Edirne,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,211.1,54.9,26.0,107.0,2025,298.0,2010
1295,Merkez,Edirne,bugday,Buğday,22,2004,2025,400.6,59.3,14.8,315.0,2004,559.0,2023
1307,Enez,Edirne,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,204.5,53.3,26.1,121.0,2025,292.0,2020
1307,Enez,Edirne,bugday,Buğday,22,2004,2025,355.6,57.4,16.1,247.0,2011,506.0,2023
1385,Havsa,Edirne,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,210.3,42.5,20.2,132.0,2024,308.0,2014
1385,Havsa,Edirne,bugday,Buğday,22,2004,2025,382.5,62.5,16.3,237.0,2006,533.0,2023
