ilce_id,ilce,il,crop,slope_kg_da_per_year,pct_change_per_year,r2,p_value,anlamli
1163,Babaeski,Kırklareli,aycicegi_yaglik,4.11,1.91,0.224,0.026,True
1163,Babaeski,Kırklareli,bugday,3.99,1.04,0.219,0.0283,True
1250,Çerkezköy,Tekirdağ,aycicegi_yaglik,0.51,0.29,0.007,0.72,False
1250,Çerkezköy,Tekirdağ,bugday,1.76,0.47,0.035,0.4035,False
1258,Çorlu,Tekirdağ,aycicegi_yaglik,0.03,0.01,0.0,0.987,False
1258,Çorlu,Tekirdağ,bugday,-0.8,-0.2,0.01,0.6573,False
1270,Demirköy,Kırklareli,bugday,2.52,0.94,0.213,0.1121,False
1295,Merkez,Edirne,aycicegi_yaglik,1.12,0.53,0.017,0.5575,False
1295,Merkez,Edirne,bugday,1.98,0.49,0.047,0.3339,False
1307,Enez,Edirne,aycicegi_yaglik,1.24,0.61,0.023,0.5011,False
1307,Enez,Edirne,bugday,2.54,0.71,0.083,0.1949,False
1385,Havsa,Edirne,aycicegi_yaglik,1.25,0.6,0.037,0.3933,False
1385,Havsa,Edirne,bugday,3.26,0.85,0.115,0.1226,False
1388,Hayrabolu,Tekirdağ,aycicegi_yaglik,0.25,0.13,0.002,0.8618,False
1388,Hayrabolu,Tekirdağ,bugday,-1.38,-0.34,0.02,0.535,False
1412,İpsala,Edirne,aycicegi_yaglik,0.03,0.02,0.0,0.9836,False
1412,İpsala,Edirne,bugday,5.2,1.35,0.172,0.0549,False
1464,Keşan,Edirne,aycicegi_yaglik,0.4,0.17,0.005,0.7585,False
1464,Keşan,Edirne,bugday,4.88,1.18,0.227,0.0251,True
1471,Merkez,Kırklareli,aycicegi_yaglik,4.36,2.12,0.306,0.0075,True
1471,Merkez,Kırklareli,bugday,4.77,1.42,0.23,0.024,True
1480,Kofçaz,Kırklareli,aycicegi_yaglik,1.26,0.87,0.035,0.4013,False
1480,Kofçaz,Kırklareli,bugday,1.89,0.7,0.054,0.2961,False
1502,Lalapaşa,Edirne,aycicegi_yaglik,0.9,0.51,0.014,0.6013,False
1502,Lalapaşa,Edirne,bugday,0.63,0.19,0.004,0.7924,False
1505,Lüleburgaz,Kırklareli,aycicegi_yaglik,0.16,0.07,0.0,0.9226,False
1505,Lüleburgaz,Kırklareli,bugday,0.36,0.09,0.002,0.8302,False
1511,Malkara,Tekirdağ,aycicegi_yaglik,0.53,0.26,0.011,0.6487,False
1511,Malkara,Tekirdağ,bugday,2.5,0.62,0.08,0.2011,False
1523,Meriç,Edirne,aycicegi_yaglik,4.29,1.87,0.224,0.0263,True
1523,Meriç,Edirne,bugday,2.72,0.73,0.095,0.1621,False
1538,Muratlı,Tekirdağ,aycicegi_yaglik,0.11,0.05,0.0,0.951,False
1538,Muratlı,Tekirdağ,bugday,-0.39,-0.09,0.002,0.8618,False
1572,Pehlivanköy,Kırklareli,aycicegi_yaglik,3.22,1.45,0.117,0.1189,False
1572,Pehlivanköy,Kırklareli,bugday,4.68,1.27,0.36,0.0032,True
1577,Pınarhisar,Kırklareli,aycicegi_yaglik,2.9,1.36,0.083,0.1939,False
1577,Pınarhisar,Kırklareli,bugday,3.68,0.98,0.189,0.0434,True
1596,Saray,Tekirdağ,aycicegi_yaglik,-0.91,-0.47,0.02,0.5352,False
1596,Saray,Tekirdağ,bugday,-0.93,-0.23,0.009,0.6777,False
1652,Şarköy,Tekirdağ,aycicegi_yaglik,0.7,0.37,0.012,0.6247,False
1652,Şarköy,Tekirdağ,bugday,3.89,1.0,0.166,0.0596,False
1673,Merkez,Tekirdağ,aycicegi_yaglik,-1.12,-0.63,0.018,0.7307,False
1673,Merkez,Tekirdağ,bugday,0.57,0.14,0.001,0.9448,False
1705,Uzunköprü,Edirne,aycicegi_yaglik,1.52,0.68,0.023,0.5045,False
1705,Uzunköprü,Edirne,bugday,0.68,0.18,0.007,0.7119,False
1714,Vize,Kırklareli,aycicegi_yaglik,2.99,1.43,0.229,0.0244,True
1714,Vize,Kırklareli,bugday,2.78,0.72,0.178,0.0505,False
1825,Marmaraereğlisi,Tekirdağ,aycicegi_yaglik,-0.47,-0.23,0.004,0.7669,False
1825,Marmaraereğlisi,Tekirdağ,bugday,2.55,0.59,0.065,0.2532,False
1988,Süloğlu,Edirne,aycicegi_yaglik,3.19,1.46,0.189,0.0435,True
1988,Süloğlu,Edirne,bugday,5.85,1.67,0.294,0.0091,True
2094,Ergene,Tekirdağ,aycicegi_yaglik,-10.16,-4.87,0.524,0.0052,True
2094,Ergene,Tekirdağ,bugday,-8.35,-2.03,0.175,0.155,False
2095,Kapaklı,Tekirdağ,aycicegi_yaglik,-8.0,-3.99,0.425,0.0157,True
2095,Kapaklı,Tekirdağ,bugday,-2.27,-0.58,0.026,0.5968,False
2096,Süleymanpaşa,Tekirdağ,aycicegi_yaglik,-7.26,-3.49,0.427,0.0154,True
2096,Süleymanpaşa,Tekirdağ,bugday,-0.37,-0.09,0.001,0.9345,False
