year,crop,ndvi_peak,ndvi_mean_grow,ndvi_sum,gdd_total,gdd_critical,precip_total,precip_grow,drought_days,heat_stress_days,frost_days,temp_mean_grow,temp_amplitude_mean,evi_peak,ndwi_min,radiation_total,soil_clay,soil_ph
2017,Wheat,0.5663,0.4142,87.8187,2564.4996,1160.2129,5888.0185,2749.5035,5,4,31,11.9119,8.1464,12.6250,-0.5716,43631.2942,31.5133,6.9600
2018,Wheat,0.5986,0.4037,122.7244,3840.3675,1343.6222,9698.6250,3550.5675,4,1,16,12.6258,7.2823,0.4501,-0.6007,51679.9108,31.5133,6.9600
2019,Wheat,0.5585,0.3832,116.5053,3681.7130,1213.1802,8802.2394,2895.0639,1,0,37,12.0694,7.0481,4467332579.1233,-0.5664,50670.4020,31.5133,6.9600
2020,Wheat,0.6363,0.4489,136.9168,3913.7394,1253.3653,7374.4901,3023.3897,13,0,22,12.8245,7.2452,0.4948,-0.6166,53583.2153,31.5133,6.9600
2021,Wheat,0.5653,0.3758,114.2428,3914.0322,1174.2116,9301.0790,3047.2658,1,2,32,12.8182,7.3573,0.4549,-0.5684,51691.3387,31.5133,6.9600
2022,Wheat,0.6190,0.4285,130.2604,3641.9608,1128.3402,8580.0421,3513.7309,8,0,41,11.9313,6.9560,0.5086,-0.6260,52506.3020,31.5133,6.9600
2023,Wheat,0.5642,0.4105,124.7789,3929.9100,1158.6500,6606.4762,3727.7952,10,6,16,12.9206,6.8933,0.4351,-0.5710,51536.0430,31.5133,6.9600
2024,Wheat,0.6728,0.4375,133.4385,4305.8415,1404.4560,8563.6406,3154.3123,3,3,14,14.1175,7.4763,0.5081,-0.6375,53541.1107,31.5133,6.9600
2017,Sunflower,0.5663,0.4160,89.0294,2171.0125,1307.6316,4825.5273,1546.5212,19,0,0,18.1011,8.4773,12.6250,-0.5716,52346.5053,31.5133,6.9600
2018,Sunflower,0.5986,0.4342,92.9193,2411.4502,1350.4615,4368.3773,2299.5976,4,0,0,19.2685,7.0188,0.4501,-0.6007,50675.0029,31.5133,6.9600
2019,Sunflower,0.5585,0.4025,86.1298,2336.1542,1349.6539,4446.8650,1701.7913,10,0,0,18.8995,7.6569,0.4217,-0.5664,50870.8381,31.5133,6.9600
2020,Sunflower,0.6363,0.4113,88.0145,2387.8333,1314.7964,4514.0086,1862.1709,10,0,0,19.1212,7.8553,0.4948,-0.6104,51958.0943,31.5133,6.9600
2021,Sunflower,0.5653,0.3917,83.8223,2249.7283,1361.7410,4668.9747,1675.3461,5,1,2,18.4428,7.5022,0.4549,-0.5684,49704.4152,31.5133,6.9600
2022,Sunflower,0.6190,0.4081,87.3296,2342.3590,1350.5874,3406.5961,1322.0867,9,0,0,18.9157,7.9477,0.5086,-0.5999,52134.6085,31.5133,6.9600
2023,Sunflower,0.5642,0.4096,87.6484,2418.5737,1393.4654,3394.7970,524.9812,11,1,0,19.2980,7.2994,0.4351,-0.5710,50789.0581,31.5133,6.9600
2024,Sunflower,0.6728,0.4198,89.8381,2532.1588,1503.4579,3961.5855,708.6200,7,1,0,19.8325,7.4920,0.5081,-0.6375,52212.1383,31.5133,6.9600
