crop,tier,model,cv,r2_tierA,r2_tier,delta_r2_vs_A
bugday,B,pls,LOYO,-1.7576,-0.4486,1.309
bugday,B,pls,LOILO,0.0065,0.3365,0.33
bugday,B,pls,Spatiotemporal,-0.1446,0.2056,0.3502
bugday,B,elastic_net,LOYO,-0.7595,-0.2283,0.5312
bugday,B,elastic_net,LOILO,0.0211,0.2873,0.2662
bugday,B,elastic_net,Spatiotemporal,-0.0825,0.178,0.2605
bugday,B,random_forest,LOYO,-0.7911,-0.2361,0.555
bugday,B,random_forest,LOILO,0.3589,0.4384,0.0795
bugday,B,random_forest,Spatiotemporal,0.2253,0.2718,0.0465
bugday,B,xgboost,LOYO,-0.8758,-0.1013,0.7745
bugday,B,xgboost,LOILO,0.3251,0.4708,0.1457
bugday,B,xgboost,Spatiotemporal,0.1213,0.3246,0.2033
bugday,B,gpr,LOYO,-0.517,-0.0461,0.4709
bugday,B,gpr,LOILO,0.4287,0.5749,0.1462
bugday,B,gpr,Spatiotemporal,0.2519,0.3794,0.1275
bugday,C,pls,LOYO,-1.7576,-0.583,1.1746
bugday,C,pls,LOILO,0.0065,0.3243,0.3178
bugday,C,pls,Spatiotemporal,-0.1446,0.1406,0.2852
bugday,C,elastic_net,LOYO,-0.7595,-0.218,0.5415
bugday,C,elastic_net,LOILO,0.0211,0.3028,0.2817
bugday,C,elastic_net,Spatiotemporal,-0.0825,0.1779,0.2604
bugday,C,random_forest,LOYO,-0.7911,-0.2563,0.5348
bugday,C,random_forest,LOILO,0.3589,0.4726,0.1137
bugday,C,random_forest,Spatiotemporal,0.2253,0.3173,0.092
bugday,C,xgboost,LOYO,-0.8758,-0.0037,0.8721
bugday,C,xgboost,LOILO,0.3251,0.5327,0.2076
bugday,C,xgboost,Spatiotemporal,0.1213,0.337,0.2157
bugday,C,gpr,LOYO,-0.517,-0.0667,0.4503
bugday,C,gpr,LOILO,0.4287,0.5918,0.1631
bugday,C,gpr,Spatiotemporal,0.2519,0.3731,0.1212
bugday,D,pls,LOYO,-1.7576,-0.6102,1.1474
bugday,D,pls,LOILO,0.0065,-0.029,-0.0355
bugday,D,pls,Spatiotemporal,-0.1446,-0.1206,0.024
bugday,D,elastic_net,LOYO,-0.7595,-0.0296,0.7299
bugday,D,elastic_net,LOILO,0.0211,0.2593,0.2382
bugday,D,elastic_net,Spatiotemporal,-0.0825,0.166,0.2485
bugday,D,random_forest,LOYO,-0.7911,0.0831,0.8742
bugday,D,random_forest,LOILO,0.3589,0.5881,0.2292
bugday,D,random_forest,Spatiotemporal,0.2253,0.439,0.2137
bugday,D,xgboost,LOYO,-0.8758,0.1519,1.0277
bugday,D,xgboost,LOILO,0.3251,0.6019,0.2768
bugday,D,xgboost,Spatiotemporal,0.1213,0.4771,0.3558
bugday,D,gpr,LOYO,-0.517,0.1369,0.6539
bugday,D,gpr,LOILO,0.4287,0.6067,0.178
bugday,D,gpr,Spatiotemporal,0.2519,0.3775,0.1256
aycicegi,B,pls,LOYO,-0.6496,-0.5426,0.107
aycicegi,B,pls,LOILO,0.1202,0.2081,0.0879
aycicegi,B,pls,Spatiotemporal,0.0659,0.1899,0.124
aycicegi,B,elastic_net,LOYO,-0.3395,-0.177,0.1625
aycicegi,B,elastic_net,LOILO,0.1297,0.2374,0.1077
aycicegi,B,elastic_net,Spatiotemporal,0.0709,0.2007,0.1298
aycicegi,B,random_forest,LOYO,-0.199,-0.0173,0.1817
aycicegi,B,random_forest,LOILO,0.4668,0.4811,0.0143
aycicegi,B,random_forest,Spatiotemporal,0.2803,0.3434,0.0631
aycicegi,B,xgboost,LOYO,-0.4383,-0.0819,0.3564
aycicegi,B,xgboost,LOILO,0.439,0.4419,0.0029
aycicegi,B,xgboost,Spatiotemporal,0.242,0.3207,0.0787
aycicegi,B,gpr,LOYO,-0.3206,0.0775,0.3981
aycicegi,B,gpr,LOILO,0.4281,0.4758,0.0477
aycicegi,B,gpr,Spatiotemporal,0.2816,0.4515,0.1699
aycicegi,C,pls,LOYO,-0.6496,-0.4568,0.1928
aycicegi,C,pls,LOILO,0.1202,0.1511,0.0309
aycicegi,C,pls,Spatiotemporal,0.0659,0.1785,0.1126
aycicegi,C,elastic_net,LOYO,-0.3395,-0.145,0.1945
aycicegi,C,elastic_net,LOILO,0.1297,0.2376,0.1079
aycicegi,C,elastic_net,Spatiotemporal,0.0709,0.2187,0.1478
aycicegi,C,random_forest,LOYO,-0.199,0.0553,0.2543
aycicegi,C,random_forest,LOILO,0.4668,0.4717,0.0049
aycicegi,C,random_forest,Spatiotemporal,0.2803,0.3809,0.1006
aycicegi,C,xgboost,LOYO,-0.4383,-0.1266,0.3117
aycicegi,C,xgboost,LOILO,0.439,0.4018,-0.0372
aycicegi,C,xgboost,Spatiotemporal,0.242,0.3257,0.0837
aycicegi,C,gpr,LOYO,-0.3206,0.0758,0.3964
aycicegi,C,gpr,LOILO,0.4281,0.4777,0.0496
aycicegi,C,gpr,Spatiotemporal,0.2816,0.5145,0.2329
aycicegi,D,pls,LOYO,-0.6496,-0.4248,0.2248
aycicegi,D,pls,LOILO,0.1202,0.2981,0.1779
aycicegi,D,pls,Spatiotemporal,0.0659,0.2848,0.2189
aycicegi,D,elastic_net,LOYO,-0.3395,-0.0855,0.254
aycicegi,D,elastic_net,LOILO,0.1297,0.3193,0.1896
aycicegi,D,elastic_net,Spatiotemporal,0.0709,0.2895,0.2186
aycicegi,D,random_forest,LOYO,-0.199,0.1911,0.3901
aycicegi,D,random_forest,LOILO,0.4668,0.5403,0.0735
aycicegi,D,random_forest,Spatiotemporal,0.2803,0.473,0.1927
aycicegi,D,xgboost,LOYO,-0.4383,0.1655,0.6038
aycicegi,D,xgboost,LOILO,0.439,0.5469,0.1079
aycicegi,D,xgboost,Spatiotemporal,0.242,0.445,0.203
aycicegi,D,gpr,LOYO,-0.3206,0.1917,0.5123
aycicegi,D,gpr,LOILO,0.4281,0.5761,0.148
aycicegi,D,gpr,Spatiotemporal,0.2816,0.5478,0.2662
