crop,tier,model,cv,delta_r2_vs_A
bugday,B,pls,LOYO,1.26
bugday,B,pls,LOILO,0.3791
bugday,B,pls,Spatiotemporal,0.4173
bugday,B,elastic_net,LOYO,0.4199
bugday,B,elastic_net,LOILO,0.304
bugday,B,elastic_net,Spatiotemporal,0.3027
bugday,B,random_forest,LOYO,0.5249
bugday,B,random_forest,LOILO,0.131
bugday,B,random_forest,Spatiotemporal,0.154
bugday,B,xgboost,LOYO,0.4323
bugday,B,xgboost,LOILO,0.1514
bugday,B,xgboost,Spatiotemporal,0.217
bugday,B,gpr,LOYO,0.205
bugday,B,gpr,LOILO,0.1051
bugday,B,gpr,Spatiotemporal,0.1199
bugday,C,pls,LOYO,1.3404
bugday,C,pls,LOILO,0.435
bugday,C,pls,Spatiotemporal,0.3919
bugday,C,elastic_net,LOYO,0.5427
bugday,C,elastic_net,LOILO,0.3558
bugday,C,elastic_net,Spatiotemporal,0.3184
bugday,C,random_forest,LOYO,0.4487
bugday,C,random_forest,LOILO,0.1856
bugday,C,random_forest,Spatiotemporal,0.1526
bugday,C,xgboost,LOYO,0.5281
bugday,C,xgboost,LOILO,0.2106
bugday,C,xgboost,Spatiotemporal,0.232
bugday,C,gpr,LOYO,0.4261
bugday,C,gpr,LOILO,0.1891
bugday,C,gpr,Spatiotemporal,0.0678
bugday,D,pls,LOYO,1.5303
bugday,D,pls,LOILO,0.4032
bugday,D,pls,Spatiotemporal,0.4325
bugday,D,elastic_net,LOYO,0.6902
bugday,D,elastic_net,LOILO,0.3652
bugday,D,elastic_net,Spatiotemporal,0.3691
bugday,D,random_forest,LOYO,0.6789
bugday,D,random_forest,LOILO,0.1843
bugday,D,random_forest,Spatiotemporal,0.1706
bugday,D,xgboost,LOYO,0.8343
bugday,D,xgboost,LOILO,0.2342
bugday,D,xgboost,Spatiotemporal,0.3217
bugday,D,gpr,LOYO,0.5354
bugday,D,gpr,LOILO,0.162
bugday,D,gpr,Spatiotemporal,0.1921
aycicegi,B,pls,LOYO,0.0345
aycicegi,B,pls,LOILO,0.0439
aycicegi,B,pls,Spatiotemporal,0.0339
aycicegi,B,elastic_net,LOYO,0.0232
aycicegi,B,elastic_net,LOILO,0.0516
aycicegi,B,elastic_net,Spatiotemporal,0.0367
aycicegi,B,random_forest,LOYO,-0.0538
aycicegi,B,random_forest,LOILO,-0.0411
aycicegi,B,random_forest,Spatiotemporal,0.01
aycicegi,B,xgboost,LOYO,-0.0373
aycicegi,B,xgboost,LOILO,-0.0216
aycicegi,B,xgboost,Spatiotemporal,0.0143
aycicegi,B,gpr,LOYO,0.0298
aycicegi,B,gpr,LOILO,-0.0278
aycicegi,B,gpr,Spatiotemporal,0.0116
aycicegi,C,pls,LOYO,0.2396
aycicegi,C,pls,LOILO,0.0783
aycicegi,C,pls,Spatiotemporal,0.0693
aycicegi,C,elastic_net,LOYO,0.2056
aycicegi,C,elastic_net,LOILO,0.1013
aycicegi,C,elastic_net,Spatiotemporal,0.1059
aycicegi,C,random_forest,LOYO,0.1054
aycicegi,C,random_forest,LOILO,0.0395
aycicegi,C,random_forest,Spatiotemporal,0.0816
aycicegi,C,xgboost,LOYO,0.2566
aycicegi,C,xgboost,LOILO,0.0033
aycicegi,C,xgboost,Spatiotemporal,0.1359
aycicegi,C,gpr,LOYO,0.2638
aycicegi,C,gpr,LOILO,0.01
aycicegi,C,gpr,Spatiotemporal,0.0902
aycicegi,D,pls,LOYO,0.2402
aycicegi,D,pls,LOILO,0.2229
aycicegi,D,pls,Spatiotemporal,0.2106
aycicegi,D,elastic_net,LOYO,0.2352
aycicegi,D,elastic_net,LOILO,0.1977
aycicegi,D,elastic_net,Spatiotemporal,0.1827
aycicegi,D,random_forest,LOYO,0.1723
aycicegi,D,random_forest,LOILO,0.0828
aycicegi,D,random_forest,Spatiotemporal,0.1114
aycicegi,D,xgboost,LOYO,0.3598
aycicegi,D,xgboost,LOILO,0.1045
aycicegi,D,xgboost,Spatiotemporal,0.1453
aycicegi,D,gpr,LOYO,0.2181
aycicegi,D,gpr,LOILO,0.069
aycicegi,D,gpr,Spatiotemporal,0.1461
