crop,tier,feature,group,importance,status
bugday,A,gdd_cum_season,climate,0.08575,selected
bugday,A,gdd_flowering,climate,0.0502,dropped_collinear
bugday,A,vernalization_days,climate,0.03063,selected
bugday,A,tp_season_sum,climate,0.17052,selected
bugday,A,tp_winter_sum,climate,0.03381,dropped_collinear
bugday,A,tp_flowering,climate,0.06229,selected
bugday,A,tp_grain_fill,climate,0.20995,selected
bugday,A,aridity_index,climate,0.07732,dropped_collinear
bugday,A,heat_stress_days,climate,0.01148,selected
bugday,A,t2m_flowering_mean,climate,0.0862,selected
bugday,A,t2m_flowering_max,climate,0.02699,selected
bugday,A,tdiff_mean,climate,0.02048,selected
bugday,A,ssr_flowering_sum,climate,0.10613,selected
bugday,A,ssr_season_sum,climate,0.02825,selected
bugday,B,gdd_cum_season,climate,0.02383,selected
bugday,B,gdd_flowering,climate,0.00973,dropped_collinear
bugday,B,vernalization_days,climate,0.02111,selected
bugday,B,tp_season_sum,climate,0.10269,selected
bugday,B,tp_winter_sum,climate,0.04061,dropped_collinear
bugday,B,tp_flowering,climate,0.0236,selected
bugday,B,tp_grain_fill,climate,0.05831,selected
bugday,B,aridity_index,climate,0.04385,dropped_collinear
bugday,B,heat_stress_days,climate,0.00762,selected
bugday,B,t2m_flowering_mean,climate,0.0144,selected
bugday,B,t2m_flowering_max,climate,0.01222,selected
bugday,B,tdiff_mean,climate,0.00979,selected
bugday,B,ssr_flowering_sum,climate,0.0658,selected
bugday,B,ssr_season_sum,climate,0.02874,selected
bugday,B,NDVI_greenup_mean,idx_mean,0.01875,dropped_collinear
bugday,B,NDVI_peak_mean,idx_mean,0.10018,dropped_collinear
bugday,B,NDVI_grainfill_mean,idx_mean,0.03467,dropped_collinear
bugday,B,NDRE_greenup_mean,idx_mean,0.01599,dropped_collinear
bugday,B,NDRE_peak_mean,idx_mean,0.14345,selected
bugday,B,NDRE_grainfill_mean,idx_mean,0.0312,dropped_collinear
bugday,B,EVI_greenup_mean,idx_mean,0.03476,selected
bugday,B,EVI_peak_mean,idx_mean,0.12388,dropped_collinear
bugday,B,EVI_grainfill_mean,idx_mean,0.0348,selected
bugday,C,gdd_cum_season,climate,0.01424,selected
bugday,C,gdd_flowering,climate,0.00731,dropped_collinear
bugday,C,vernalization_days,climate,0.01797,selected
bugday,C,tp_season_sum,climate,0.09533,selected
bugday,C,tp_winter_sum,climate,0.02911,dropped_collinear
bugday,C,tp_flowering,climate,0.01998,selected
bugday,C,tp_grain_fill,climate,0.05474,selected
bugday,C,aridity_index,climate,0.03723,dropped_collinear
bugday,C,heat_stress_days,climate,0.0075,dropped_lowrank
bugday,C,t2m_flowering_mean,climate,0.00862,dropped_lowrank
bugday,C,t2m_flowering_max,climate,0.01004,dropped_lowrank
bugday,C,tdiff_mean,climate,0.00666,dropped_lowrank
bugday,C,ssr_flowering_sum,climate,0.06015,selected
bugday,C,ssr_season_sum,climate,0.02323,selected
bugday,C,NDVI_greenup_mean,idx_mean,0.01507,dropped_collinear
bugday,C,NDVI_peak_mean,idx_mean,0.08601,dropped_collinear
bugday,C,NDVI_grainfill_mean,idx_mean,0.03199,selected
bugday,C,NDRE_greenup_mean,idx_mean,0.01212,dropped_collinear
bugday,C,NDRE_peak_mean,idx_mean,0.11838,selected
bugday,C,NDRE_grainfill_mean,idx_mean,0.02324,dropped_collinear
bugday,C,EVI_greenup_mean,idx_mean,0.0261,selected
bugday,C,EVI_peak_mean,idx_mean,0.10849,dropped_collinear
bugday,C,EVI_grainfill_mean,idx_mean,0.03186,dropped_collinear
bugday,C,clay_0_30_mean,soil,0.00799,dropped_lowrank
bugday,C,sand_0_30_mean,soil,0.00691,dropped_lowrank
bugday,C,silt_0_30_mean,soil,0.00509,dropped_collinear
bugday,C,phh2o_0_30_mean,soil,0.0131,selected
bugday,C,soc_0_30_mean,soil,0.01065,selected
bugday,C,cec_0_30_mean,soil,0.00849,dropped_lowrank
bugday,C,bdod_0_30_mean,soil,0.01919,selected
bugday,C,nitrogen_0_30_mean,soil,0.01042,dropped_collinear
bugday,C,cfvo_0_30_mean,soil,0.06741,selected
bugday,C,awc_0_30,soil,0.00539,dropped_lowrank
bugday,D,gdd_cum_season,climate,0.00902,dropped_lowrank
bugday,D,gdd_flowering,climate,0.00395,dropped_collinear
bugday,D,vernalization_days,climate,0.01112,selected
bugday,D,tp_season_sum,climate,0.07795,selected
