ilce_id,ilce,il,year,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum,NDVI_greenup_mean,NDVI_peak_mean,NDVI_grainfill_mean,NDRE_greenup_mean,NDRE_peak_mean,NDRE_grainfill_mean,EVI_greenup_mean,EVI_peak_mean,EVI_grainfill_mean
1163,Babaeski,Kırklareli,2017,458.0,3272.91,530.49,46,483.79,257.82,47.9,57.77,0.4332781016967745,16,16.99,23.63225806451613,11.577569444444444,696.88,4022.21,0.4730768095648626,0.8119267458291021,0.3669550750129559,0.3103246262652967,0.6179874129090208,0.2259004583493254,0.2801623843169598,0.6670067915068163,0.2223307869401119
1163,Babaeski,Kırklareli,2018,442.0,3645.125,575.925,60,758.1700000000001,454.41,35.48000000000001,107.69,0.7224146068705211,12,18.41064516129032,24.698387096774194,10.704583333333334,674.3399999999999,3904.03,0.6809591572967172,0.7047988865792831,0.2703002660256213,0.4363509911009306,0.505410828585525,0.1692834287822256,0.4405075389746026,0.510662635217687,0.1722278481302764
1163,Babaeski,Kırklareli,2019,445.0,3559.9700000000003,574.69,61,496.35,317.1700000000001,51.56,35.63999999999999,0.4631700753380257,26,18.274516129032257,25.027419354838703,11.310555555555554,660.11,3843.55,0.5954678801279524,0.7714187095628521,0.3539105207129432,0.4011830306156291,0.5871672420568789,0.225670549387433,0.4058255651960133,0.5995598491483969,0.2317351145848156
1163,Babaeski,Kırklareli,2020,352.0,3752.715,543.2449999999999,51,439.13,192.16,71.26,68.47000000000001,0.3913352699399225,15,17.3441935483871,24.115161290322582,11.6778892733564,655.2299999999999,4067.94,0.7602864845801303,0.7924387105332161,0.3264497939521534,0.5681978955522525,0.6129013956897555,0.2069813760430002,0.5770844065588197,0.6346207084842675,0.1975034716148846
1163,Babaeski,Kırklareli,2021,483.0,3555.51,533.905,58,716.1500000000001,478.68,58.6,63.760000000000005,0.7228070521708525,9,17.102258064516132,23.206129032258065,10.520138888888887,680.8100000000001,3826.01,0.6847939922503723,0.7945705402523779,0.4350243431333599,0.4595385216912531,0.5957704108257037,0.2738924449424051,0.5314914437609296,0.6229087530672267,0.2643722232889236
1163,Babaeski,Kırklareli,2022,438.0,3445.385,551.33,50,520.54,379.2600000000001,25.99000000000001,44.26999999999998,0.4785209278445113,27,17.686774193548384,25.150645161290324,11.32576388888889,762.4200000000001,3943.88,0.5390575773675002,0.7630373633176295,0.3584069963696602,0.3392185141071581,0.5743376370884321,0.2247533303772153,0.3650656878257609,0.6010992502443392,0.2244770239408596
1163,Babaeski,Kırklareli,2023,411.0,3837.175,506.35,55,403.3,173.08000000000004,46.510000000000005,34.35,0.3859542911772928,14,16.13741935483871,22.204838709677414,11.180208333333333,575.88,3779.36,0.6194636921311093,0.8199627576725688,0.4163134561084709,0.4153381127930631,0.6425895712651115,0.2651602506146971,0.4287231421563439,0.6889717237317998,0.2704833310999761
1163,Babaeski,Kırklareli,2024,408.0,4160.43,523.115,50,445.5,290.63,42.85,8.760000000000002,0.3591494330327114,31,16.666774193548388,23.37258064516129,11.814636678200692,673.8800000000001,4062.81,0.654167125284275,0.7838667270231344,0.2830886676568772,0.4584770632227957,0.6158770266973159,0.1822363808086174,0.4652572608486969,0.6426442525882727,0.1889932843767689
1250,Çerkezköy,Tekirdağ,2017,420.0,3235.2250000000004,483.16,68,602.17,407.97,34.87,43.46,0.733195593705806,4,15.481612903225804,19.640645161290323,7.397812499999999,673.3499999999999,3787.32,0.52537452204942,0.787603593679977,0.4275442089442117,0.3250597406411879,0.570400314673959,0.2498225425719703,0.3436094116785243,0.6078116444792857,0.2638759897415525
1250,Çerkezköy,Tekirdağ,2018,343.0,3691.445,553.215,57,754.47,484.52,43.900000000000006,91.09,0.944219242451788,0,17.60161290322581,21.6383870967742,7.191770833333332,587.6999999999999,3710.55,0.6422367779660902,0.7178707157290097,0.404581215629221,0.3878688902908169,0.4925187400047765,0.249768950135028,0.4045314735136737,0.5379875931245054,0.2624542125988048
1250,Çerkezköy,Tekirdağ,2019,380.0,3533.1400000000003,537.73,70,602.3399999999999,420.3,45.89,31.91,0.7594270768468212,3,17.195483870967745,21.890645161290323,7.0010763888888885,653.04,3666.96,0.5872575844303243,0.728955443940092,0.3648648870900264,0.3839267927307691,0.5115894273464336,0.226545475853647,0.428244286648479,0.539855020689684,0.2469782634879624
1250,Çerkezköy,Tekirdağ,2020,430.0,3752.65,503.47,52,512.21,291.21,75.82999999999998,57.650000000000006,0.6027197344743304,1,16.2,20.675806451612896,7.446262975778548,654.86,3874.39,0.5935584755079989,0.7611763726409367,0.47006131520543,0.3915668561966221,0.5512982608509907,0.2936753799095795,0.4090268580956049,0.6212326326997167,0.3250777608235948
1250,Çerkezköy,Tekirdağ,2021,527.0,3643.27,516.915,42,650.78,403.28,48.96,65.54,0.8156656637291524,2,16.624838709677416,20.809354838709677,7.114513888888889,681.22,3707.88,0.6740119025582425,0.7379865334700094,0.5233686991339489,0.4401752905950679,0.525722877172449,0.3224965692218207,0.5086073685552402,0.5567998786501145,0.337598675155542
1250,Çerkezköy,Tekirdağ,2022,382.0,3393.71,501.945,55,584.62,381.41,17.490000000000002,47.02,0.7204421570493217,1,15.900645161290322,20.910000000000004,7.197361111111111,761.58,3809.49,0.5217328438132812,0.7260166824650544,0.4167913407245731,0.3143629997631829,0.5096161963531862,0.2576303153208358,0.3504092612767241,0.5740888796781105,0.2587981049574612
1250,Çerkezköy,Tekirdağ,2023,351.0,3764.72,462.485,49,381.76,164.4,33.57,21.58,0.485962425171175,1,14.684838709677422,18.50032258064516,7.158333333333335,576.3999999999999,3629.44,0.5360970491821208,0.7867830149277341,0.5810097154273662,0.3455385033650739,0.5774846696075772,0.3876771858530319,0.34563693618964,0.6429700974937544,0.3910413377668482
1250,Çerkezköy,Tekirdağ,2024,334.0,4064.28,482.81,55,565.8199999999999,405.67,35.77,8.19,0.6264416083397577,8,15.438709677419356,19.517741935483876,7.605813148788927,676.01,3874.4,0.607002385822582,0.7255130459153818,0.3348416518651245,0.3795642410972077,0.5089022411233891,0.2129252919386687,0.4230313350941027,0.561429813734359,0.2235248287968424
1258,Çorlu,Tekirdağ,2017,443.0,3444.4750000000004,519.705,65,535.49,357.32000000000005,28.89,45.42999999999999,0.5494985196144898,10,16.690967741935488,21.734193548387097,8.684548611111111,696.88,4022.21,0.5406595114807785,0.8138130133728989,0.425155598834296,0.353612794215264,0.6162249596352379,0.2562850331032394,0.3420406796707974,0.6644614994825442,0.2567142384520323
1258,Çorlu,Tekirdağ,2018,324.0,3889.63,576.5649999999999,54,693.3799999999999,450.12,38.52,83.98,0.7380063893221427,2,18.40322580645161,23.19,8.399687499999999,674.3399999999999,3904.03,0.7396067983412924,0.7639453982498907,0.2689793886851288,0.4934298972705881,0.5539142972869838,0.1653888347109524,0.4922337757670493,0.5799547654461761,0.1638006935169604
1258,Çorlu,Tekirdağ,2019,418.0,3695.905,566.9650000000001,66,537.84,379.59,40.370000000000005,21.8,0.5843458230059949,14,18.18129032258064,23.116774193548384,8.343715277777777,660.11,3843.55,0.6594959689664952,0.7613838833093015,0.2793447188183929,0.4680655651692356,0.5613651893563397,0.1738755771924125,0.4784889169049198,0.5991980929177471,0.183774643821378
1258,Çorlu,Tekirdağ,2020,391.0,3929.29,540.555,50,461.77,224.69,84.86999999999999,60.78,0.4697044771942579,6,17.358387096774194,22.42354838709677,8.739307958477507,655.2299999999999,4067.94,0.6223840385629309,0.7994969807441282,0.3628166209888151,0.434148581678984,0.6073281873543878,0.2121122659426998,0.4317680546062747,0.6685683062684817,0.2079844279429936
1258,Çorlu,Tekirdağ,2021,527.0,3818.0,544.74,39,644.16,399.12,69.66,56.11,0.725921769251223,8,17.46903225806452,22.21129032258065,8.008993055555555,680.8100000000001,3826.01,0.7181311349235944,0.8109504299559929,0.5423842013023346,0.4904945066107122,0.6122645582005731,0.3466611392528545,0.5610155931124324,0.63831455698401,0.3671999471948786
1258,Çorlu,Tekirdağ,2022,382.0,3608.46,550.65,50,487.48,339.54,19.1,32.1,0.5113887740971701,10,17.546774193548384,23.60354838709678,8.661701388888888,762.4200000000001,3943.88,0.543937994780197,0.8066240294833893,0.3298122680309063,0.3519099983489585,0.6265979730995525,0.2061078232617874,0.3564681418813989,0.6652368087644496,0.196685230598947
1258,Çorlu,Tekirdağ,2023,351.0,3967.485,497.89,47,361.31,143.14,35.46,27.91,0.3936481887557017,6,15.881612903225806,20.64645161290322,8.55875,575.88,3779.36,0.5863345755242665,0.7997742592560289,0.4979856447232922,0.3961399741935638,0.6253413925058218,0.3267622861837501,0.3948038815855407,0.6203129131660429,0.3217075775396978
1258,Çorlu,Tekirdağ,2024,431.0,4276.360000000001,512.235,48,542.39,395.52,31.230000000000008,4.199999999999999,0.5123006590920146,24,16.412903225806453,21.41258064516129,8.750588235294117,673.8800000000001,4062.81,0.6248802414552924,0.7877362663390406,0.2817352694665987,0.4194278140369656,0.600780946716132,0.1785949509922372,0.4385358329372048,0.6335168201762899,0.1936419835988268
1270,Demirköy,Kırklareli,2021,362.0,3062.9700000000003,482.105,69,776.73,494.75000000000006,54.71,74.81999999999998,0.8801944646097158,3,15.39516129032258,21.19451612903225,9.326423611111112,680.8100000000001,3826.01,0.6395925228324664,0.7442031330497593,0.5492787690480818,0.4025742773950063,0.5078209242632622,0.356756440784178,0.4563241875200887,0.6040608221336842,0.4066003132994968
1270,Demirköy,Kırklareli,2022,317.0,2896.835,476.085,53,626.64,457.45,15.510000000000002,60.790000000000006,0.6695271957803659,2,15.161612903225809,21.873548387096776,9.54861111111111,762.4200000000001,3943.88,0.556395175558632,0.6980851569031931,0.3825257278069144,0.3415176438113412,0.479263313232819,0.2388417709683906,0.3923005510258224,0.5529988553110248,0.2462104072652832
1270,Demirköy,Kırklareli,2023,292.0,3298.16,439.58,64,369.83,172.64,33.09,26.25,0.4003399924173053,5,13.853870967741935,19.211935483870967,9.918368055555556,575.88,3779.36,0.576688631129261,0.767314072087983,0.5344182744822118,0.3653438830452533,0.5254195326530526,0.3358599759254001,0.3666803287203493,0.6241670342878042,0.3823138697091484
1270,Demirköy,Kırklareli,2024,256.0,3584.52,446.68,54,537.18,380.67,33.62,7.72,0.4961897011291543,15,14.19064516129032,19.92258064516129,10.481764705882354,673.8800000000001,4062.81,0.559409274423167,0.7021070388960285,0.410771953948258,0.3433650492151062,0.4649744349497968,0.2617781338384047,0.373650453546423,0.5440373994410029,0.2873523821207005
1295,Merkez,Edirne,2017,393.0,3188.985,531.135,41,472.69,241.06,51.78,62.53,0.4285052580550198,16,16.962903225806453,23.64806451612903,11.602256944444443,684.0300000000001,4037.23,0.4200422197984084,0.7765044981363957,0.3692965533307812,0.2813223782537803,0.5957871242064582,0.2272632328822006,0.2390641354217115,0.6241510391144514,0.2179503945991348
1295,Merkez,Edirne,2018,353.0,3539.675,574.44,63,748.51,444.69000000000005,34.14,109.17,0.7098542466262228,12,18.432258064516127,24.756129032258062,10.727638888888889,701.0600000000002,3943.71,0.7527461618071389,0.7460289315360222,0.251311210783216,0.503250694671865,0.5579228685695228,0.1563625519190093,0.488642078699423,0.5616619149252383,0.1576973011601468
1295,Merkez,Edirne,2019,394.0,3449.5,564.4200000000001,61,508.44999999999993,317.59,52.16,39.81,0.4725824622884783,24,17.897096774193546,24.77193548387097,11.233263888888889,673.7900000000001,3915.13,0.526153810282819,0.7621434517035107,0.347119169777654,0.3595355165945094,0.5869112049599502,0.2233147817897151,0.3427619563098035,0.5739730034671429,0.2351929658918124
1295,Merkez,Edirne,2020,361.0,3631.35,536.795,53,459.74,201.71,68.32,67.11,0.4173304635985683,14,17.11064516129032,23.886774193548398,11.59311418685121,647.6200000000001,4062.52,0.6662470186754426,0.7977432191771837,0.3166393384008625,0.4872966456595487,0.6276340789001854,0.2014829192908144,0.4660699616686991,0.65194699808445,0.1901777273874601
1295,Merkez,Edirne,2021,491.0,3457.36,534.4899999999999,65,766.32,524.36,62.82,63.43,0.762296726303387,9,17.01967741935484,23.34354838709677,10.538819444444446,695.1699999999998,3892.06,0.6965583869635948,0.8055245946122092,0.430929341370168,0.4786856026020481,0.6207900839468083,0.281598077572071,0.5153857179553811,0.6532483273683982,0.2775869718489672
1295,Merkez,Edirne,2022,408.0,3348.3099999999995,558.62,52,539.45,394.35,27.95,48.02,0.4944896884234087,26,18.017741935483876,25.44516129032258,11.27670138888889,745.6100000000001,3999.72,0.5949310274159518,0.7533691053278768,0.2974311200013587,0.3988324280986886,0.584246236683521,0.1916544845581828,0.4003117068350423,0.583907268566768,0.186398445758899
1295,Merkez,Edirne,2023,559.0,3719.805,497.77,58,427.99,196.42,50.190000000000005,36.72,0.4112992986392858,13,15.911612903225809,21.90903225806451,11.1140625,566.0899999999999,3829.06,0.6428273989162326,0.8281962902967739,0.4043373841410815,0.4450972911221776,0.6542534145246628,0.2557076075794481,0.4412666002998047,0.7375745405824978,0.2671177572503624
