ilce_id,ilce,il,cropland_ha,builtup_ha,district_ha,cropland_frac
1163,Babaeski,Kırklareli,51703.8,1632.9,66974.7,0.772
1250,Çerkezköy,Tekirdağ,3278.1,1933.4,8647.3,0.3791
1258,Çorlu,Tekirdağ,38313.7,3683.9,53071.3,0.7219
1270,Demirköy,Kırklareli,671.2,253.1,89731.5,0.0075
1295,Merkez,Edirne,67800.3,2897.8,84287.3,0.8044
1307,Enez,Edirne,17545.8,565.7,45355.9,0.3868
1385,Havsa,Edirne,45261.4,967.4,54531.5,0.83
1388,Hayrabolu,Tekirdağ,84292.1,1108.1,100842.9,0.8359
1412,İpsala,Edirne,56824.9,1191.7,73842.4,0.7695
1464,Keşan,Edirne,57441.9,2225.0,109118.2,0.5264
1471,Merkez,Kırklareli,65810.9,2416.9,162317.8,0.4054
1480,Kofçaz,Kırklareli,8755.4,179.0,54457.4,0.1608
1502,Lalapaşa,Edirne,27766.0,498.1,49723.5,0.5584
1505,Lüleburgaz,Kırklareli,84165.0,2952.4,101643.4,0.828
1511,Malkara,Tekirdağ,81975.2,1843.2,124248.6,0.6598
1523,Meriç,Edirne,25972.7,552.5,43916.5,0.5914
1538,Muratlı,Tekirdağ,33473.5,933.1,38747.7,0.8639
1572,Pehlivanköy,Kırklareli,6975.9,171.1,10386.5,0.6716
1577,Pınarhisar,Kırklareli,24172.8,676.2,51800.2,0.4667
1596,Saray,Tekirdağ,31407.9,1201.1,61957.4,0.5069
1652,Şarköy,Tekirdağ,9115.6,798.1,48792.7,0.1868
1673,Merkez,Tekirdağ,74680.6,3096.9,105276.5,0.7094
1705,Uzunköprü,Edirne,82833.4,1969.6,118549.6,0.6987
1714,Vize,Kırklareli,23899.7,899.1,109372.3,0.2185
1825,Marmaraereğlisi,Tekirdağ,13706.1,1562.0,17667.0,0.7758
1988,Süloğlu,Edirne,23260.1,364.2,34161.0,0.6809
2094,Ergene,Tekirdağ,35311.6,2527.8,41817.4,0.8444
2095,Kapaklı,Tekirdağ,9833.8,1255.2,18193.8,0.5405
2096,Süleymanpaşa,Tekirdağ,74680.6,3096.9,105276.5,0.7094
