layer,crop,model,cv,n,rmse_model,rmse_b0,skill_score,ss_ci_lo,ss_ci_hi,wilcoxon_W,wilcoxon_p,beats_b0_ci,worse_than_b0_ci
A,bugday,pls,LOYO,589,77.719,61.743,-0.2587,-0.3218,-0.1997,57678.0,1.5821898385640138e-12,False,True
A,bugday,elastic_net,LOYO,589,72.706,61.743,-0.1776,-0.2307,-0.1263,64744.0,8.465258298725502e-08,False,True
A,bugday,random_forest,LOYO,589,75.227,61.743,-0.2184,-0.2746,-0.1652,59978.0,7.49389827661505e-11,False,True
A,bugday,xgboost,LOYO,589,77.292,61.743,-0.2518,-0.3057,-0.201,53973.0,1.668344360109627e-15,False,True
A,bugday,gpr,LOYO,589,76.155,61.743,-0.2334,-0.2835,-0.1848,56610.0,2.378796239580894e-13,False,True
A,aycicegi,pls,LOYO,576,52.665,50.002,-0.0533,-0.1014,-0.0073,79602.0,0.38298631727870047,False,True
A,aycicegi,elastic_net,LOYO,576,50.802,50.002,-0.016,-0.0522,0.0183,80764.0,0.5608329446249196,False,False
A,aycicegi,random_forest,LOYO,576,49.542,50.002,0.0092,-0.0312,0.0484,80059.0,0.44842811393614157,False,False
A,aycicegi,xgboost,LOYO,576,52.75,50.002,-0.055,-0.1015,-0.009,76677.0,0.10862188892987208,False,True
A,aycicegi,gpr,LOYO,576,53.63,50.002,-0.0726,-0.1163,-0.028,74833.0,0.038838102184057366,False,True
B,bugday,pls,LOYO,213,122.921,68.813,-0.7863,-0.9058,-0.6729,2232.0,2.5504844067823494e-24,False,True
B,bugday,elastic_net,LOYO,213,98.79,68.813,-0.4356,-0.5208,-0.3535,3903.0,8.798577517150636e-17,False,True
B,bugday,random_forest,LOYO,213,92.923,68.813,-0.3504,-0.445,-0.2648,5261.0,9.62560780891875e-12,False,True
B,bugday,xgboost,LOYO,213,90.138,68.813,-0.3099,-0.4036,-0.2248,6109.0,4.349031708470805e-09,False,True
B,bugday,gpr,LOYO,213,87.307,68.813,-0.2687,-0.3494,-0.1932,6370.0,2.3980760300558896e-08,False,True
B,aycicegi,pls,LOYO,209,57.175,54.44,-0.0502,-0.1454,0.0311,10057.0,0.2956249913903013,False,False
B,aycicegi,elastic_net,LOYO,209,54.68,54.44,-0.0044,-0.0827,0.0633,10543.0,0.6236682746322285,False,False
B,aycicegi,random_forest,LOYO,209,47.131,54.44,0.1343,0.0551,0.2064,7417.0,4.869975602487903e-05,True,False
B,aycicegi,xgboost,LOYO,209,56.909,54.44,-0.0453,-0.1307,0.0272,10845.0,0.8841935867054206,False,False
B,aycicegi,gpr,LOYO,209,47.851,54.44,0.121,0.0519,0.1839,7871.0,0.0003954014054507629,True,False
C,bugday,pls,LOYO,213,102.934,68.813,-0.4958,-0.5906,-0.4031,4057.0,3.6706121076367556e-16,False,True
C,bugday,elastic_net,LOYO,213,92.514,68.813,-0.3444,-0.419,-0.2693,5022.0,1.4689717609588908e-12,False,True
C,bugday,random_forest,LOYO,213,87.837,68.813,-0.2765,-0.3571,-0.1985,6037.0,2.6766561635058586e-09,False,True
C,bugday,xgboost,LOYO,213,80.684,68.813,-0.1725,-0.2383,-0.1089,7439.0,1.1156338147714446e-05,False,True
C,bugday,gpr,LOYO,213,87.461,68.813,-0.271,-0.3429,-0.1991,6081.0,3.603599769861472e-09,False,True
C,bugday,stacking,LOYO,213,90.726,68.813,-0.3184,-0.3935,-0.2393,5632.0,1.5535718076343388e-10,False,True
C,aycicegi,pls,LOYO,209,49.717,54.44,0.0868,0.0048,0.1582,9385.0,0.06974702180951255,True,False
C,aycicegi,elastic_net,LOYO,209,48.694,54.44,0.1055,0.0401,0.162,8919.0,0.01898091573695262,True,False
C,aycicegi,random_forest,LOYO,209,43.259,54.44,0.2054,0.1409,0.2648,5875.0,5.76788423946503e-09,True,False
C,aycicegi,xgboost,LOYO,209,48.466,54.44,0.1097,0.0414,0.174,8064.0,0.0008916600498088467,True,False
C,aycicegi,gpr,LOYO,209,42.273,54.44,0.2235,0.1671,0.2759,5961.0,1.0336900524381187e-08,True,False
C,aycicegi,stacking,LOYO,209,43.733,54.44,0.1967,0.1395,0.2501,6340.0,1.20893911978208e-07,True,False
