layer,crop,model,r2_loyo,r2_loilo,dR2
A,aycicegi,elastic_net,0.002,0.129,0.127
A,aycicegi,gpr,-0.1122,0.4928,0.6049
A,aycicegi,pls,-0.0725,0.1733,0.2458
A,aycicegi,random_forest,0.0509,0.4386,0.3877
A,aycicegi,xgboost,-0.076,0.504,0.5799
A,bugday,elastic_net,-0.0918,0.0481,0.1399
A,bugday,gpr,-0.1979,0.4413,0.6392
A,bugday,pls,-0.2476,0.0129,0.2604
A,bugday,random_forest,-0.1688,0.3616,0.5304
A,bugday,xgboost,-0.2339,0.3706,0.6045
B,aycicegi,elastic_net,-0.0265,0.2489,0.2754
B,aycicegi,gpr,0.2139,0.4496,0.2357
B,aycicegi,pls,-0.1223,0.1767,0.2991
B,aycicegi,random_forest,0.2374,0.4055,0.1682
B,aycicegi,xgboost,-0.1119,0.3291,0.441
B,bugday,elastic_net,-0.966,0.0656,1.0316
B,bugday,gpr,-0.5355,0.4293,0.9648
B,bugday,pls,-2.0438,0.0761,2.1199
B,bugday,random_forest,-0.7394,0.4164,1.1559
B,bugday,xgboost,-0.6368,0.395,1.0318
C,aycicegi,elastic_net,0.1859,0.3917,0.2058
C,aycicegi,gpr,0.3865,0.582,0.1956
C,aycicegi,pls,0.1514,0.3372,0.1859
C,aycicegi,random_forest,0.3575,0.49,0.1324
C,aycicegi,xgboost,0.1935,0.5213,0.3277
C,bugday,elastic_net,-0.7242,0.1804,0.9046
C,bugday,gpr,-0.541,0.3416,0.8826
C,bugday,pls,-1.1345,0.2097,1.3442
C,bugday,random_forest,-0.5543,0.3922,0.9464
C,bugday,xgboost,-0.3114,0.4268,0.7382
