prediction_date,target_date,predicted_ndvi,last_observed_ndvi,residual_delta,predicted_ndvi_scaled,climatology_ndvi,anomaly_vs_climatology,actual_date,actual_ndvi,source,days_to_actual,abs_error,abs_err_naive
2025-02-01,2025-02-08,0.3332665062487126,0.17985500395298004,0.15341150229573258,0.5112516283988953,0.3989833333333333,-0.06571682708462068,2025-02-10,0.2528,s2_gee_raw,2,0.0804665062487126,0.07294499604701998
2025-02-02,2025-02-09,0.3433713066995145,0.18795999884605408,0.1554113078534604,0.5257971882820129,0.3989833333333333,-0.05561202663381881,2025-02-10,0.2528,s2_gee_raw,1,0.09057130669951446,0.06484000115394595
2025-02-03,2025-02-10,0.35232179454565055,0.1960650086402893,0.15625678590536124,0.538681149482727,0.365025,-0.012703205454349442,2025-02-10,0.2528,s2_gee_raw,0,0.09952179454565052,0.05673499135971072
2025-02-04,2025-02-11,0.35981466097235687,0.20416998863220215,0.15564467234015472,0.5494669079780579,0.42534999999999995,-0.06553533902764308,2025-02-10,0.2528,s2_gee_raw,1,0.10701466097235685,0.048630011367797876
2025-02-05,2025-02-12,0.3657749172747136,0.21227501332759857,0.15349990394711505,0.5580465197563171,0.42534999999999995,-0.05957508272528633,2025-02-10,0.2528,s2_gee_raw,2,0.1129749172747136,0.04052498667240145
2025-02-11,2025-02-18,0.3471191270589829,0.23038500547409058,0.11673412158489233,0.5311920642852783,0.3462527777777778,0.0008663492812051032,2025-02-20,0.028650000000000002,s2_gee_raw,2,0.3184691270589829,0.20173500547409057
2025-02-12,2025-02-19,0.3190466850876809,0.2079700082540512,0.1110766768336297,0.49078261852264404,0.31976458333333335,-0.0007178982456524374,2025-02-20,0.028650000000000002,s2_gee_raw,1,0.2903966850876809,0.1793200082540512
2025-02-13,2025-02-20,0.2935307741105557,0.18555501103401184,0.10797576307654388,0.45405322313308716,0.3526611111111111,-0.059130337000555366,2025-02-20,0.028650000000000002,s2_gee_raw,0,0.2648807741105557,0.15690501103401183
2025-02-14,2025-02-21,0.27288774180710323,0.16313999891281128,0.10974774289429196,0.4243381917476654,0.30779999999999996,-0.03491225819289673,2025-02-20,0.028650000000000002,s2_gee_raw,1,0.24423774180710323,0.13448999891281127
2025-02-15,2025-02-22,0.25700783800482757,0.1407250016927719,0.11628283631205566,0.4014795422554016,0.30779999999999996,-0.05079216199517239,2025-02-20,0.028650000000000002,s2_gee_raw,2,0.22835783800482756,0.1120750016927719
2025-02-26,2025-03-05,0.25660036900937566,0.09091000258922577,0.1656903664201499,0.4008930027484894,0.3990333333333333,-0.14243296432395763,2025-03-07,0.18430000000000002,s2_gee_raw,2,0.07230036900937564,0.09338999741077425
2025-02-27,2025-03-06,0.26534156342148785,0.10128667205572128,0.16405489136576656,0.4134756922721863,0.39480624999999997,-0.12946468657851212,2025-03-07,0.18430000000000002,s2_gee_raw,1,0.08104156342148783,0.08301332794427874
2025-02-28,2025-03-07,0.27395634120404727,0.1116633266210556,0.16229301458299167,0.4258764088153839,0.3774416666666667,-0.1034853254626194,2025-03-07,0.18430000000000002,s2_gee_raw,0,0.08965634120404725,0.07263667337894442
2025-03-01,2025-03-08,0.28195731718242173,0.12204000353813171,0.15991731364429002,0.43739357590675354,0.4154875,-0.13353018281757828,2025-03-07,0.18430000000000002,s2_gee_raw,1,0.09765731718242171,0.062259996461868305
2025-03-02,2025-03-09,0.28927142809331424,0.13241666555404663,0.1568547625392676,0.447922021150589,0.4154875,-0.12621607190668577,2025-03-07,0.18430000000000002,s2_gee_raw,2,0.10497142809331422,0.05188333444595339
2025-03-05,2025-03-12,0.3054897541403771,0.16354668140411377,0.14194307273626333,0.47126781940460205,0.42038333333333333,-0.11489357919295623,2025-03-14,0.16405,s2_gee_raw,2,0.1414397541403771,0.0005033185958862318
2025-03-06,2025-03-13,0.3093663927555085,0.1739233434200287,0.1354430493354798,0.47684812545776367,0.4395125,-0.1301461072444915,2025-03-14,0.16405,s2_gee_raw,1,0.14531639275550848,0.009873343420028685
2025-03-07,2025-03-14,0.3131374012291432,0.1842999905347824,0.12883741069436078,0.48227638006210327,0.4395125,-0.1263750987708568,2025-03-14,0.16405,s2_gee_raw,0,0.14908740122914318,0.02024999053478241
2025-03-08,2025-03-15,0.3055278696030379,0.1814071536064148,0.12412071599662311,0.4713226854801178,0.4571416666666666,-0.1516137970636287,2025-03-14,0.16405,s2_gee_raw,1,0.1414778696030379,0.017357153606414794
2025-03-09,2025-03-16,0.29890004405677323,0.1785142868757248,0.12038575718104844,0.4617821276187897,0.42103124999999997,-0.12213120594322674,2025-03-14,0.16405,s2_gee_raw,2,0.13485004405677323,0.014464286875724791
2025-03-13,2025-03-20,0.29839829053282746,0.16694286465644836,0.1314554258763791,0.4610598683357239,0.3982333333333334,-0.09983504280050592,2025-03-22,0.17470000000000002,s2_gee_raw,2,0.12369829053282744,0.007757135343551658
2025-03-14,2025-03-21,0.3038442261815072,0.16404999792575836,0.13979422825574883,0.468899130821228,0.4098375,-0.10599327381849283,2025-03-22,0.17470000000000002,s2_gee_raw,1,0.12914422618150717,0.01065000207424166
