comparison,crop,tier,model,cv,n_clusters,mean_mae_diff,ci_low,ci_high,wilcoxon_W,p_value,method
aycicegi|tierA|elastic_net|LOILO|model_vs_climatology,aycicegi,A,elastic_net,LOILO,28,-2.833,-5.2963,0.6923,60.0,0.0006467849016189575,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|elastic_net|LOYO|model_vs_climatology,aycicegi,A,elastic_net,LOYO,22,0.2809,-2.7037,3.1665,114.0,0.7023849487304688,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|elastic_net|Spatiotemporal|model_vs_climatology,aycicegi,A,elastic_net,Spatiotemporal,25,-1.5871,-3.8228,0.6411,119.0,0.25210392475128174,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|gpr|LOILO|model_vs_climatology,aycicegi,A,gpr,LOILO,28,-12.9025,-16.6271,-8.9259,24.0,5.677342414855957e-06,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|gpr|LOYO|model_vs_climatology,aycicegi,A,gpr,LOYO,22,2.4478,-3.0463,7.5067,86.0,0.19821882247924805,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|gpr|Spatiotemporal|model_vs_climatology,aycicegi,A,gpr,Spatiotemporal,25,-9.5189,-12.948,-5.8945,28.0,8.803606033325195e-05,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|pls|LOILO|model_vs_climatology,aycicegi,A,pls,LOILO,28,-4.1487,-7.1517,-0.084,58.0,0.0005255788564682007,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|pls|LOYO|model_vs_climatology,aycicegi,A,pls,LOYO,22,1.5189,-3.4372,6.5366,112.0,0.6556386947631836,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|pls|Spatiotemporal|model_vs_climatology,aycicegi,A,pls,Spatiotemporal,25,-2.5911,-5.2674,0.2199,90.0,0.05157625675201416,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|random_forest|LOILO|model_vs_climatology,aycicegi,A,random_forest,LOILO,28,-11.2082,-14.16,-7.8559,26.0,7.964670658111572e-06,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|random_forest|LOYO|model_vs_climatology,aycicegi,A,random_forest,LOYO,22,-0.4787,-5.161,3.575,118.0,0.7990336418151855,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|random_forest|Spatiotemporal|model_vs_climatology,aycicegi,A,random_forest,Spatiotemporal,25,-7.8059,-11.2143,-4.1984,37.0,0.00032907724380493164,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|xgboost|LOILO|model_vs_climatology,aycicegi,A,xgboost,LOILO,28,-13.5955,-17.1862,-9.7846,15.0,1.0207295417785645e-06,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|xgboost|LOYO|model_vs_climatology,aycicegi,A,xgboost,LOYO,22,1.8838,-4.1142,7.2818,93.0,0.2902231216430664,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierA|xgboost|Spatiotemporal|model_vs_climatology,aycicegi,A,xgboost,Spatiotemporal,25,-9.3,-12.8338,-5.5082,26.0,6.365776062011719e-05,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|elastic_net|LOILO|model_vs_climatology,aycicegi,B,elastic_net,LOILO,27,-6.959,-13.5527,1.0965,80.0,0.007585808634757996,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|elastic_net|LOYO|model_vs_climatology,aycicegi,B,elastic_net,LOYO,8,0.4134,-6.4844,6.7597,14.0,0.640625,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|elastic_net|Spatiotemporal|model_vs_climatology,aycicegi,B,elastic_net,Spatiotemporal,25,-9.1031,-15.9243,-2.318,80.0,0.02550506591796875,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|gpr|LOILO|model_vs_climatology,aycicegi,B,gpr,LOILO,27,-12.8027,-20.0367,-4.6228,60.0,0.0012526363134384155,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|gpr|LOYO|model_vs_climatology,aycicegi,B,gpr,LOYO,8,-5.8112,-15.0999,1.5723,11.0,0.3828125,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|gpr|Spatiotemporal|model_vs_climatology,aycicegi,B,gpr,Spatiotemporal,25,-14.1992,-21.1918,-7.7921,37.0,0.00032907724380493164,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|pls|LOILO|model_vs_climatology,aycicegi,B,pls,LOILO,27,-6.0397,-13.9443,3.6718,90.0,0.016190022230148315,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|pls|LOYO|model_vs_climatology,aycicegi,B,pls,LOYO,8,3.4962,-6.2991,12.5399,13.0,0.546875,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|pls|Spatiotemporal|model_vs_climatology,aycicegi,B,pls,Spatiotemporal,25,-8.9362,-16.8829,-1.3948,92.0,0.05875152349472046,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|random_forest|LOILO|model_vs_climatology,aycicegi,B,random_forest,LOILO,27,-11.7966,-19.4434,-2.9357,76.0,0.0054652392864227295,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|random_forest|LOYO|model_vs_climatology,aycicegi,B,random_forest,LOYO,8,-7.8396,-14.7409,-2.3708,3.0,0.0390625,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|random_forest|Spatiotemporal|model_vs_climatology,aycicegi,B,random_forest,Spatiotemporal,25,-12.9801,-20.3267,-6.1797,48.0,0.0012963414192199707,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|xgboost|LOILO|model_vs_climatology,aycicegi,B,xgboost,LOILO,27,-9.7112,-17.3887,-0.8148,86.0,0.012076601386070251,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|xgboost|LOYO|model_vs_climatology,aycicegi,B,xgboost,LOYO,8,1.1342,-2.9325,5.6288,17.0,0.9453125,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierB|xgboost|Spatiotemporal|model_vs_climatology,aycicegi,B,xgboost,Spatiotemporal,25,-9.7734,-17.7953,-2.0772,78.0,0.021908342838287354,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|elastic_net|LOILO|model_vs_climatology,aycicegi,C,elastic_net,LOILO,27,-10.1786,-16.2768,-3.207,86.0,0.012076601386070251,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|elastic_net|LOYO|model_vs_climatology,aycicegi,C,elastic_net,LOYO,8,-3.8531,-12.1798,3.1474,14.0,0.640625,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|elastic_net|Spatiotemporal|model_vs_climatology,aycicegi,C,elastic_net,Spatiotemporal,25,-13.41,-20.7047,-6.2776,44.0,0.0008081197738647461,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|gpr|LOILO|model_vs_climatology,aycicegi,C,gpr,LOILO,27,-16.6623,-21.8963,-10.6833,31.0,3.522634506225586e-05,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|gpr|LOYO|model_vs_climatology,aycicegi,C,gpr,LOYO,8,-10.6263,-21.7798,-2.1127,5.0,0.078125,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|gpr|Spatiotemporal|model_vs_climatology,aycicegi,C,gpr,Spatiotemporal,25,-17.9984,-25.4381,-11.0663,10.0,2.562999725341797e-06,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|pls|LOILO|model_vs_climatology,aycicegi,C,pls,LOILO,27,-9.2335,-16.1992,-1.1366,100.0,0.03189583122730255,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|pls|LOYO|model_vs_climatology,aycicegi,C,pls,LOYO,8,-3.3069,-13.8193,5.9347,16.0,0.84375,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|pls|Spatiotemporal|model_vs_climatology,aycicegi,C,pls,Spatiotemporal,25,-14.154,-22.6654,-6.1415,52.0,0.002025127410888672,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|random_forest|LOILO|model_vs_climatology,aycicegi,C,random_forest,LOILO,27,-13.7054,-20.3071,-5.916,52.0,0.0005356669425964355,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|random_forest|LOYO|model_vs_climatology,aycicegi,C,random_forest,LOYO,8,-10.8958,-18.9115,-4.743,0.0,0.0078125,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|random_forest|Spatiotemporal|model_vs_climatology,aycicegi,C,random_forest,Spatiotemporal,25,-16.1146,-23.4309,-9.1185,26.0,6.365776062011719e-05,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|stacking|LOYO|model_vs_climatology,aycicegi,C,stacking,LOYO,8,-9.487,-19.9694,-1.0088,6.0,0.109375,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|xgboost|LOILO|model_vs_climatology,aycicegi,C,xgboost,LOILO,27,-13.522,-20.6318,-5.2949,63.0,0.001686975359916687,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|xgboost|LOYO|model_vs_climatology,aycicegi,C,xgboost,LOYO,8,-6.1911,-14.1615,0.2857,8.0,0.1953125,cluster block-bootstrap + signed-rank on cluster means
aycicegi|tierC|xgboost|Spatiotemporal|model_vs_climatology,aycicegi,C,xgboost,Spatiotemporal,25,-13.4969,-21.3272,-5.8579,55.0,0.0027848482131958008,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|elastic_net|LOILO|model_vs_climatology,bugday,A,elastic_net,LOILO,29,5.2519,-0.1461,12.426,185.0,0.4946499206125736,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|elastic_net|LOYO|model_vs_climatology,bugday,A,elastic_net,LOYO,22,8.2961,4.0438,12.4266,34.0,0.0016727447509765625,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|elastic_net|Spatiotemporal|model_vs_climatology,bugday,A,elastic_net,Spatiotemporal,25,4.5774,-0.0072,9.06,98.0,0.08513903617858887,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|gpr|LOILO|model_vs_climatology,bugday,A,gpr,LOILO,29,-8.9592,-13.8851,-3.4816,89.0,0.004435725510120392,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|gpr|LOYO|model_vs_climatology,bugday,A,gpr,LOYO,22,11.1084,7.1587,15.1414,12.0,3.337860107421875e-05,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|gpr|Spatiotemporal|model_vs_climatology,bugday,A,gpr,Spatiotemporal,25,-5.146,-9.6941,-0.558,96.0,0.07547956705093384,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|pls|LOILO|model_vs_climatology,bugday,A,pls,LOILO,29,6.1307,0.6722,13.2351,159.0,0.21324460953474045,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|pls|LOYO|model_vs_climatology,bugday,A,pls,LOYO,22,12.3323,5.6323,19.847,41.0,0.004151344299316406,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|pls|Spatiotemporal|model_vs_climatology,bugday,A,pls,Spatiotemporal,25,6.663,1.6172,11.4859,76.0,0.018744707107543945,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|random_forest|LOILO|model_vs_climatology,bugday,A,random_forest,LOILO,29,-5.3136,-10.0696,0.5207,91.0,0.00516427680850029,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|random_forest|LOYO|model_vs_climatology,bugday,A,random_forest,LOYO,22,11.021,5.0121,16.941,38.0,0.0028514862060546875,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|random_forest|Spatiotemporal|model_vs_climatology,bugday,A,random_forest,Spatiotemporal,25,-1.2629,-4.7966,2.2166,135.0,0.4741646647453308,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|xgboost|LOILO|model_vs_climatology,bugday,A,xgboost,LOILO,29,-7.2063,-12.8516,-0.8364,106.0,0.014758598059415817,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|xgboost|LOYO|model_vs_climatology,bugday,A,xgboost,LOYO,22,12.8774,6.9405,18.4296,25.0,0.00042819976806640625,cluster block-bootstrap + signed-rank on cluster means
bugday|tierA|xgboost|Spatiotemporal|model_vs_climatology,bugday,A,xgboost,Spatiotemporal,25,-2.809,-6.9824,1.2253,121.0,0.2751842737197876,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|elastic_net|LOILO|model_vs_climatology,bugday,B,elastic_net,LOILO,28,0.5489,-7.1617,9.7172,140.0,0.156909741461277,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|elastic_net|LOYO|model_vs_climatology,bugday,B,elastic_net,LOYO,8,23.8857,14.7037,34.3639,0.0,0.0078125,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|elastic_net|Spatiotemporal|model_vs_climatology,bugday,B,elastic_net,Spatiotemporal,25,1.7821,-5.9519,10.5716,151.0,0.7711594104766846,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|gpr|LOILO|model_vs_climatology,bugday,B,gpr,LOILO,28,-11.4935,-19.3878,-2.2508,83.0,0.0051764026284217834,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|gpr|LOYO|model_vs_climatology,bugday,B,gpr,LOYO,8,13.7732,6.2803,22.9094,1.0,0.015625,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|gpr|Spatiotemporal|model_vs_climatology,bugday,B,gpr,Spatiotemporal,25,-9.0973,-19.9243,1.1913,90.0,0.05157625675201416,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|pls|LOILO|model_vs_climatology,bugday,B,pls,LOILO,28,-1.4093,-9.5338,7.7635,138.0,0.14377250522375107,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|pls|LOYO|model_vs_climatology,bugday,B,pls,LOYO,8,44.747,23.249,68.2959,0.0,0.0078125,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|pls|Spatiotemporal|model_vs_climatology,bugday,B,pls,Spatiotemporal,25,-0.4601,-9.8961,9.9148,144.0,0.6338268518447876,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|random_forest|LOILO|model_vs_climatology,bugday,B,random_forest,LOILO,28,-11.4932,-18.9027,-2.8235,78.0,0.003438994288444519,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|random_forest|LOYO|model_vs_climatology,bugday,B,random_forest,LOYO,8,19.8306,5.9465,34.9991,3.0,0.0390625,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|random_forest|Spatiotemporal|model_vs_climatology,bugday,B,random_forest,Spatiotemporal,25,-8.8124,-19.1357,0.8654,88.0,0.04512268304824829,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|xgboost|LOILO|model_vs_climatology,bugday,B,xgboost,LOILO,28,-12.2156,-20.4428,-3.1925,80.0,0.004060737788677216,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|xgboost|LOYO|model_vs_climatology,bugday,B,xgboost,LOYO,8,17.3165,4.8118,31.5618,3.0,0.0390625,cluster block-bootstrap + signed-rank on cluster means
bugday|tierB|xgboost|Spatiotemporal|model_vs_climatology,bugday,B,xgboost,Spatiotemporal,25,-8.6972,-19.0845,1.0048,93.0,0.0626264214515686,cluster block-bootstrap + signed-rank on cluster means
bugday|tierC|elastic_net|LOILO|model_vs_climatology,bugday,C,elastic_net,LOILO,28,-1.9604,-8.1373,5.3753,121.0,0.06281394511461258,cluster block-bootstrap + signed-rank on cluster means
bugday|tierC|elastic_net|LOYO|model_vs_climatology,bugday,C,elastic_net,LOYO,8,17.7832,10.1183,27.6362,0.0,0.0078125,cluster block-bootstrap + signed-rank on cluster means
bugday|tierC|elastic_net|Spatiotemporal|model_vs_climatology,bugday,C,elastic_net,Spatiotemporal,25,-2.9055,-10.9866,5.1832,126.0,0.33878785371780396,cluster block-bootstrap + signed-rank on cluster means
bugday|tierC|gpr|LOILO|model_vs_climatology,bugday,C,gpr,LOILO,28,-8.1267,-15.9884,0.3755,103.0,0.021778732538223267,cluster block-bootstrap + signed-rank on cluster means
bugday|tierC|gpr|LOYO|model_vs_climatology,bugday,C,gpr,LOYO,8,13.5383,5.0747,22.28,2.0,0.0234375,cluster block-bootstrap + signed-rank on cluster means
bugday|tierC|gpr|Spatiotemporal|model_vs_climatology,bugday,C,gpr,Spatiotemporal,25,-10.0943,-20.2166,-0.919,89.0,0.04826241731643677,cluster block-bootstrap + signed-rank on cluster means
bugday|tierC|pls|LOILO|model_vs_climatology,bugday,C,pls,LOILO,28,-3.3961,-10.273,4.6668,127.0,0.08565542846918106,cluster block-bootstrap + signed-rank on cluster means
bugday|tierC|pls|LOYO|model_vs_climatology,bugday,C,pls,LOYO,8,26.7948,14.1966,40.4672,0.0,0.0078125,cluster block-bootstrap + signed-rank on cluster means
bugday|tierC|pls|Spatiotemporal|model_vs_climatology,bugday,C,pls,Spatiotemporal,25,-5.0957,-14.4487,4.0572,120.0,0.2634761333465576,cluster block-bootstrap + signed-rank on cluster means
