comparison,crop,tier,model,cv,n_obs,median_abs_err_model,median_abs_err_baseline,wilcoxon_W,p_value,method
aycicegi|tierA|elastic_net|LOILO|model_vs_climatology,aycicegi,A,elastic_net,LOILO,576,30.823,34.548,64790.0,4.666205809337806e-06,iid observation-level (NOT primary)
aycicegi|tierA|elastic_net|LOYO|model_vs_climatology,aycicegi,A,elastic_net,LOYO,576,34.891,34.548,80764.0,0.5608329446249196,iid observation-level (NOT primary)
aycicegi|tierA|elastic_net|Spatiotemporal|model_vs_climatology,aycicegi,A,elastic_net,Spatiotemporal,576,32.777,34.548,72467.0,0.007860267958972197,iid observation-level (NOT primary)
aycicegi|tierA|gpr|LOILO|model_vs_climatology,aycicegi,A,gpr,LOILO,576,21.956,34.548,43490.0,3.7738532300643296e-23,iid observation-level (NOT primary)
aycicegi|tierA|gpr|LOYO|model_vs_climatology,aycicegi,A,gpr,LOYO,576,34.074,34.548,74833.0,0.038838102184057366,iid observation-level (NOT primary)
aycicegi|tierA|gpr|Spatiotemporal|model_vs_climatology,aycicegi,A,gpr,Spatiotemporal,576,23.301,34.548,49773.0,7.592951825853741e-17,iid observation-level (NOT primary)
aycicegi|tierA|pls|LOILO|model_vs_climatology,aycicegi,A,pls,LOILO,576,28.899,34.548,65629.0,1.2464934552298377e-05,iid observation-level (NOT primary)
aycicegi|tierA|pls|LOYO|model_vs_climatology,aycicegi,A,pls,LOYO,576,34.297,34.548,79602.0,0.38298631727870047,iid observation-level (NOT primary)
aycicegi|tierA|pls|Spatiotemporal|model_vs_climatology,aycicegi,A,pls,Spatiotemporal,576,30.612,34.548,72373.0,0.007328453855243371,iid observation-level (NOT primary)
aycicegi|tierA|random_forest|LOILO|model_vs_climatology,aycicegi,A,random_forest,LOILO,576,24.011,34.548,42254.0,1.6280250158245093e-24,iid observation-level (NOT primary)
