crop,tier,model,cv,fold_id,ilce_id,year,n_test,y_true,model_pred,baseline_pred
aycicegi,A,pls,LOYO,year=2004,1163,2004,25,154.0,201.2161345970036,218.23809523809524
aycicegi,A,pls,LOYO,year=2005,1163,2005,25,149.0,204.56984831558557,218.47619047619048
aycicegi,A,pls,LOYO,year=2006,1163,2006,25,170.0,237.0120500217258,217.47619047619048
aycicegi,A,pls,LOYO,year=2007,1163,2007,25,170.0,200.1507945299692,217.47619047619048
aycicegi,A,pls,LOYO,year=2008,1163,2008,25,186.0,203.29282743524752,216.71428571428572
aycicegi,A,pls,LOYO,year=2009,1163,2009,25,187.0,208.6205721005165,216.66666666666666
aycicegi,A,pls,LOYO,year=2010,1163,2010,25,172.0,245.2441188402578,217.38095238095238
aycicegi,A,pls,LOYO,year=2011,1163,2011,25,149.0,192.07130093042207,218.47619047619048
aycicegi,A,pls,LOYO,year=2012,1163,2012,25,218.0,192.69487423016548,215.1904761904762
aycicegi,A,pls,LOYO,year=2013,1163,2013,27,266.0,190.83237604473467,212.9047619047619
aycicegi,A,pls,LOYO,year=2014,1163,2014,27,250.0,275.43511669589697,213.66666666666666
aycicegi,A,pls,LOYO,year=2015,1163,2015,27,260.0,205.30670299359429,213.1904761904762
aycicegi,A,pls,LOYO,year=2016,1163,2016,27,202.0,202.07212966468248,215.95238095238096
aycicegi,A,pls,LOYO,year=2017,1163,2017,27,223.0,228.259553674706,214.95238095238096
aycicegi,A,pls,LOYO,year=2018,1163,2018,27,279.0,234.2949700826609,212.28571428571428
aycicegi,A,pls,LOYO,year=2019,1163,2019,27,278.0,198.8136500320385,212.33333333333334
aycicegi,A,pls,LOYO,year=2020,1163,2020,27,300.0,208.970609477174,211.28571428571428
aycicegi,A,pls,LOYO,year=2021,1163,2021,27,282.0,167.26028091235503,212.14285714285714
aycicegi,A,pls,LOYO,year=2022,1163,2022,27,313.0,173.41253372841712,210.66666666666666
aycicegi,A,pls,LOYO,year=2023,1163,2023,27,192.0,198.69967912219155,216.42857142857142
aycicegi,A,pls,LOYO,year=2024,1163,2024,27,225.0,216.7354120568458,214.85714285714286
aycicegi,A,pls,LOYO,year=2025,1163,2025,27,112.0,184.92205493667103,220.23809523809524
aycicegi,A,pls,LOYO,year=2004,1250,2004,25,175.0,175.8480550197933,180.57142857142858
aycicegi,A,pls,LOYO,year=2005,1250,2005,25,149.0,164.93560595812144,181.8095238095238
aycicegi,A,pls,LOYO,year=2006,1250,2006,25,186.0,192.33471336071824,180.04761904761904
aycicegi,A,pls,LOYO,year=2007,1250,2007,25,98.0,156.7476120285889,184.23809523809524
aycicegi,A,pls,LOYO,year=2008,1250,2008,25,164.0,185.81945989622807,181.0952380952381
aycicegi,A,pls,LOYO,year=2009,1250,2009,25,180.0,181.06724885308665,180.33333333333334
aycicegi,A,pls,LOYO,year=2010,1250,2010,25,189.0,222.5623872283241,179.9047619047619
aycicegi,A,pls,LOYO,year=2011,1250,2011,25,198.0,167.389461159686,179.47619047619048
aycicegi,A,pls,LOYO,year=2012,1250,2012,25,160.0,170.5455311678558,181.28571428571428
aycicegi,A,pls,LOYO,year=2013,1250,2013,27,210.0,151.8041984775216,178.9047619047619
aycicegi,A,pls,LOYO,year=2014,1250,2014,27,175.0,253.1901652449022,180.57142857142858
aycicegi,A,pls,LOYO,year=2015,1250,2015,27,195.0,199.2217937985881,179.61904761904762
aycicegi,A,pls,LOYO,year=2016,1250,2016,27,181.0,173.69869469884566,180.28571428571428
aycicegi,A,pls,LOYO,year=2017,1250,2017,27,244.0,214.17410116654696,177.28571428571428
aycicegi,A,pls,LOYO,year=2018,1250,2018,27,210.0,220.78834175784183,178.9047619047619
aycicegi,A,pls,LOYO,year=2019,1250,2019,27,250.0,181.6924364665013,177.0
aycicegi,A,pls,LOYO,year=2020,1250,2020,27,245.0,187.70877623350452,177.23809523809524
aycicegi,A,pls,LOYO,year=2021,1250,2021,27,220.0,160.65161379670067,178.42857142857142
aycicegi,A,pls,LOYO,year=2022,1250,2022,27,163.0,187.5067111794879,181.14285714285714
aycicegi,A,pls,LOYO,year=2023,1250,2023,27,105.0,191.08665609413305,183.9047619047619
aycicegi,A,pls,LOYO,year=2024,1250,2024,27,140.0,194.84968650773996,182.23809523809524
aycicegi,A,pls,LOYO,year=2025,1250,2025,27,130.0,160.16848753145044,182.71428571428572
aycicegi,A,pls,LOYO,year=2004,1258,2004,25,188.0,187.0874508985096,190.14285714285714
aycicegi,A,pls,LOYO,year=2005,1258,2005,25,186.0,176.07396277861136,190.23809523809524
aycicegi,A,pls,LOYO,year=2006,1258,2006,25,203.0,217.61461375391076,189.42857142857142
aycicegi,A,pls,LOYO,year=2007,1258,2007,25,93.0,200.1192138389862,194.66666666666666
