crop,tier,model,cv,n,model_rmse,baseline_rmse_matched,model_mae,model_r2,baseline_r2_matched,skill_score,ss_ci_low_iid,ss_ci_high_iid,ss_ci_low_clustered,ss_ci_high_clustered,n_clusters
aycicegi,A,elastic_net,LOILO,576,47.459,50.002,37.563,0.129,0.0332,0.0509,0.012,0.0884,-0.0488,0.1156,28
aycicegi,A,elastic_net,LOYO,576,50.802,50.002,40.686,0.002,0.0332,-0.016,-0.0522,0.0183,-0.0897,0.0487,22
aycicegi,A,elastic_net,Spatiotemporal,576,48.852,50.002,39.036,0.0772,0.0332,0.023,-0.0143,0.0582,-0.0285,0.0712,25
aycicegi,A,gpr,LOILO,576,36.218,50.002,27.724,0.4928,0.0332,0.2757,0.2292,0.322,0.193,0.3499,28
aycicegi,A,gpr,LOYO,576,53.63,50.002,42.857,-0.1122,0.0332,-0.0726,-0.1163,-0.028,-0.2046,0.0556,22
aycicegi,A,gpr,Spatiotemporal,576,39.818,50.002,30.706,0.3869,0.0332,0.2037,0.1588,0.2474,0.1485,0.2519,25
aycicegi,A,pls,LOILO,576,46.239,50.002,36.129,0.1733,0.0332,0.0753,0.0258,0.122,-0.0376,0.1503,28
aycicegi,A,pls,LOYO,576,52.665,50.002,41.938,-0.0725,0.0332,-0.0533,-0.1014,-0.0073,-0.1871,0.0607,22
aycicegi,A,pls,Spatiotemporal,576,48.271,50.002,38.28,0.099,0.0332,0.0346,-0.014,0.0796,-0.0301,0.0985,25
aycicegi,A,random_forest,LOILO,576,38.103,50.002,29.397,0.4386,0.0332,0.238,0.1933,0.2824,0.1638,0.2998,28
aycicegi,A,random_forest,LOYO,576,49.542,50.002,39.843,0.0509,0.0332,0.0092,-0.0312,0.0484,-0.0849,0.1026,22
aycicegi,A,random_forest,Spatiotemporal,576,41.935,50.002,32.38,0.32,0.0332,0.1613,0.1182,0.2051,0.1143,0.2053,25
aycicegi,A,xgboost,LOILO,576,35.816,50.002,27.086,0.504,0.0332,0.2837,0.2328,0.334,0.2053,0.3553,28
aycicegi,A,xgboost,LOYO,576,52.75,50.002,42.259,-0.076,0.0332,-0.055,-0.1015,-0.009,-0.1891,0.0682,22
aycicegi,A,xgboost,Spatiotemporal,576,39.877,50.002,30.899,0.3851,0.0332,0.2025,0.1551,0.249,0.1509,0.2487,25
aycicegi,B,elastic_net,LOILO,209,46.774,54.571,36.958,0.2489,-0.0175,0.1429,0.0468,0.2234,-0.031,0.2769,27
aycicegi,B,elastic_net,LOYO,209,54.68,54.571,44.71,-0.0265,-0.0175,-0.002,-0.0827,0.0633,-0.2282,0.1057,8
aycicegi,B,elastic_net,Spatiotemporal,209,46.077,54.571,36.642,0.2711,-0.0175,0.1557,0.0761,0.2229,0.0366,0.2487,25
aycicegi,B,gpr,LOILO,209,40.039,54.571,30.636,0.4496,-0.0175,0.2663,0.1738,0.3475,0.099,0.401,27
aycicegi,B,gpr,LOYO,209,47.851,54.571,38.507,0.2139,-0.0175,0.1231,0.0519,0.1839,-0.0783,0.2444,8
aycicegi,B,gpr,Spatiotemporal,209,40.619,54.571,31.743,0.4336,-0.0175,0.2557,0.1785,0.324,0.1393,0.3493,25
aycicegi,B,pls,LOILO,209,48.968,54.571,38.015,0.1767,-0.0175,0.1027,-0.0148,0.2032,-0.1154,0.2794,27
aycicegi,B,pls,LOYO,209,57.175,54.571,47.77,-0.1223,-0.0175,-0.0477,-0.1454,0.0311,-0.3739,0.1032,8
aycicegi,B,pls,Spatiotemporal,209,46.568,54.571,36.727,0.2555,-0.0175,0.1466,0.0548,0.2248,0.0128,0.2529,25
aycicegi,B,random_forest,LOILO,209,41.611,54.571,31.16,0.4055,-0.0175,0.2375,0.1364,0.3279,0.0699,0.3793,27
aycicegi,B,random_forest,LOYO,209,47.131,54.571,36.478,0.2374,-0.0175,0.1363,0.0551,0.2064,-0.0102,0.2128,8
aycicegi,B,random_forest,Spatiotemporal,209,43.919,54.571,33.125,0.3378,-0.0175,0.1952,0.1062,0.2777,0.0717,0.3006,25
aycicegi,B,xgboost,LOILO,209,44.204,54.571,33.73,0.3291,-0.0175,0.19,0.0756,0.286,0.0077,0.3426,27
aycicegi,B,xgboost,LOYO,209,56.909,54.571,45.478,-0.1119,-0.0175,-0.0428,-0.1307,0.0272,-0.1825,0.0241,8
aycicegi,B,xgboost,Spatiotemporal,209,46.971,54.571,36.151,0.2425,-0.0175,0.1393,0.0406,0.2285,0.0,0.2568,25
aycicegi,C,elastic_net,LOILO,209,42.093,54.571,32.996,0.3917,-0.0175,0.2287,0.1419,0.3027,0.1023,0.3378,27
aycicegi,C,elastic_net,LOYO,209,48.694,54.571,40.439,0.1859,-0.0175,0.1077,0.0401,0.162,-0.1044,0.2124,8
aycicegi,C,elastic_net,Spatiotemporal,209,41.534,54.571,32.966,0.4078,-0.0175,0.2389,0.1692,0.2982,0.1336,0.3188,25
aycicegi,C,gpr,LOILO,209,34.892,54.571,26.942,0.582,-0.0175,0.3606,0.282,0.4307,0.2644,0.4451,27
aycicegi,C,gpr,LOYO,209,42.273,54.571,33.68,0.3865,-0.0175,0.2253,0.1671,0.2759,0.0213,0.3527,8
