season,actuals_source,stage,n_dates,model_mae,persistence_mae,model_rmse,persistence_rmse,model_median_abs_err,persistence_median_abs_err,model_r2,persistence_r2
2025,raw_s2,pre_season,26,0.1459,0.0592,0.1601,0.0817,0.132,0.0503,-3.9936,-0.302
2025,raw_s2,emergence,23,0.0948,0.0163,0.0996,0.0273,0.0954,0.0096,-14.5767,-0.168
2025,raw_s2,vegetative,32,0.0762,0.1115,0.1006,0.1158,0.0559,0.1116,0.5426,0.3938
2025,raw_s2,flowering,30,0.0574,0.0672,0.0686,0.0726,0.0486,0.0688,-0.4612,-0.6347
2025,raw_s2,grain_fill,36,0.0433,0.0515,0.051,0.0601,0.0497,0.0423,0.643,0.5042
2025,raw_s2,maturity,26,0.0447,0.0161,0.0465,0.0185,0.0469,0.0157,-9.3652,-0.6435
2025,raw_s2,post_harvest,37,0.1316,0.0462,0.1514,0.0627,0.1224,0.0306,0.7955,0.9649
2026,raw_s2,pre_season,35,0.1367,0.0648,0.1654,0.0738,0.1068,0.069,-1.0303,0.5955
2026,raw_s2,emergence,14,0.2345,0.0129,0.2346,0.0151,0.2368,0.0136,-893.9392,-2.6864
2026,raw_s2,vegetative,30,0.1917,0.1162,0.2099,0.1738,0.2463,0.0602,0.025,0.3311
2026,raw_s2,flowering,2,0.2057,0.2333,0.207,0.2347,0.2057,0.2333,,
