crop,tier,model,feature,imp_mean,imp_ci_low,imp_ci_high,metric,n_folds
aycicegi,A,random_forest,gdd_cum_season,3.0247,2.1385,3.9423,increase in RMSE (kg/da),22
aycicegi,A,random_forest,tdiff_mean,0.6749,0.1776,1.2524,increase in RMSE (kg/da),22
aycicegi,A,random_forest,heat_stress_days,0.5625,0.0712,1.1366,increase in RMSE (kg/da),22
aycicegi,A,random_forest,tp_grain_fill,0.1425,-0.0957,0.4045,increase in RMSE (kg/da),22
aycicegi,A,random_forest,tp_flowering,0.1405,-0.0515,0.3328,increase in RMSE (kg/da),22
aycicegi,A,random_forest,tp_season_sum,0.1338,-0.7806,1.1003,increase in RMSE (kg/da),22
aycicegi,A,random_forest,ssr_season_sum,0.0207,-0.2381,0.289,increase in RMSE (kg/da),22
aycicegi,A,random_forest,vernalization_days,0.0,-0.0,0.0,increase in RMSE (kg/da),22
aycicegi,A,random_forest,tp_winter_sum,0.0,-0.0,0.0,increase in RMSE (kg/da),22
aycicegi,A,random_forest,ssr_flowering_sum,-0.0145,-0.08,0.0492,increase in RMSE (kg/da),22
aycicegi,A,random_forest,t2m_flowering_max,-0.1035,-0.2252,0.0298,increase in RMSE (kg/da),22
aycicegi,A,random_forest,aridity_index,-0.1271,-0.308,0.0401,increase in RMSE (kg/da),22
aycicegi,A,random_forest,gdd_flowering,-0.2189,-0.8326,0.2803,increase in RMSE (kg/da),22
aycicegi,A,random_forest,t2m_flowering_mean,-0.6164,-1.1454,-0.1786,increase in RMSE (kg/da),22
aycicegi,C,random_forest,ndvi_flowering,5.5165,2.4261,9.1127,increase in RMSE (kg/da),8
aycicegi,C,random_forest,soc_0-5cm,2.1203,1.608,2.7219,increase in RMSE (kg/da),8
aycicegi,C,random_forest,phh2o_0-5cm,0.5308,0.283,0.8086,increase in RMSE (kg/da),8
aycicegi,C,random_forest,sand_0-5cm,0.3879,-0.2364,0.9215,increase in RMSE (kg/da),8
aycicegi,C,random_forest,clay_0-5cm,0.3268,0.0213,0.6269,increase in RMSE (kg/da),8
aycicegi,C,random_forest,ssr_season_sum,0.2596,0.0123,0.5876,increase in RMSE (kg/da),8
aycicegi,C,random_forest,aridity_index,0.1782,0.0098,0.385,increase in RMSE (kg/da),8
aycicegi,C,random_forest,gdd_cum_season,0.0503,-0.1605,0.2837,increase in RMSE (kg/da),8
aycicegi,C,random_forest,silt_0-5cm,0.0141,-0.1056,0.1258,increase in RMSE (kg/da),8
aycicegi,C,random_forest,greenness_days,0.0094,-0.0842,0.0924,increase in RMSE (kg/da),8
aycicegi,C,random_forest,vernalization_days,0.0,-0.0,0.0,increase in RMSE (kg/da),8
aycicegi,C,random_forest,tp_winter_sum,0.0,-0.0,0.0,increase in RMSE (kg/da),8
aycicegi,C,random_forest,heat_stress_days,-0.0038,-0.1089,0.1033,increase in RMSE (kg/da),8
aycicegi,C,random_forest,awc_0-5cm,-0.0173,-0.2928,0.2363,increase in RMSE (kg/da),8
aycicegi,C,random_forest,ndvi_grain_fill,-0.034,-0.1404,0.0508,increase in RMSE (kg/da),8
aycicegi,C,random_forest,ssr_flowering_sum,-0.054,-0.1034,-0.0101,increase in RMSE (kg/da),8
aycicegi,C,random_forest,ndvi_max,-0.059,-0.2873,0.1486,increase in RMSE (kg/da),8
aycicegi,C,random_forest,t2m_flowering_mean,-0.0797,-0.3684,0.2359,increase in RMSE (kg/da),8
aycicegi,C,random_forest,tdiff_mean,-0.0886,-0.2147,0.008,increase in RMSE (kg/da),8
aycicegi,C,random_forest,tp_season_sum,-0.1179,-0.509,0.2566,increase in RMSE (kg/da),8
aycicegi,C,random_forest,gdd_flowering,-0.1352,-0.5064,0.2385,increase in RMSE (kg/da),8
aycicegi,C,random_forest,tp_flowering,-0.1361,-0.3185,-0.0221,increase in RMSE (kg/da),8
aycicegi,C,random_forest,tp_grain_fill,-0.1468,-0.466,0.0717,increase in RMSE (kg/da),8
aycicegi,C,random_forest,t2m_flowering_max,-0.181,-0.453,0.053,increase in RMSE (kg/da),8
aycicegi,C,random_forest,ndvi_spring_slope,-0.2292,-0.5384,0.0356,increase in RMSE (kg/da),8
aycicegi,C,random_forest,ndvi_mean_season,-0.2768,-0.4326,-0.1027,increase in RMSE (kg/da),8
aycicegi,C,random_forest,ndvi_integral,-0.3142,-0.8403,0.0496,increase in RMSE (kg/da),8
bugday,A,random_forest,gdd_cum_season,3.1088,1.946,4.222,increase in RMSE (kg/da),22
bugday,A,random_forest,tdiff_mean,0.6651,0.0406,1.3156,increase in RMSE (kg/da),22
bugday,A,random_forest,vernalization_days,0.5397,-0.2622,1.4587,increase in RMSE (kg/da),22
