crop,tier,model,n_test_years,mean_model_rmse,mean_clim_rmse,mean_pers_rmse,mean_skill_vs_clim,median_skill_vs_clim,frac_years_skill_pos
aycicegi,A,elastic_net,15,54.0461,51.6025,42.4287,-0.05,-0.0787,0.2667
aycicegi,A,gpr,15,55.4275,51.6025,42.4287,-0.1069,-0.1657,0.2667
aycicegi,A,pls,15,56.2177,51.6025,42.4287,-0.0944,-0.1277,0.2
aycicegi,A,random_forest,15,54.4174,51.6025,42.4287,-0.058,-0.0456,0.3333
aycicegi,A,xgboost,15,56.4947,51.6025,42.4287,-0.1227,-0.1653,0.2667
aycicegi,B,elastic_net,4,66.1245,64.5722,56.0212,-0.0251,-0.0489,0.5
aycicegi,B,gpr,4,60.7358,64.5722,56.0212,0.033,-0.029,0.25
aycicegi,B,pls,4,72.3442,64.5722,56.0212,-0.142,-0.2174,0.25
aycicegi,B,random_forest,4,59.372,64.5722,56.0212,0.0722,0.0641,0.5
aycicegi,B,xgboost,4,67.1885,64.5722,56.0212,-0.0405,-0.0126,0.5
aycicegi,C,elastic_net,4,58.848,64.5722,56.0212,0.0814,0.0398,0.5
aycicegi,C,gpr,4,54.3488,64.5722,56.0212,0.1336,0.0179,0.75
aycicegi,C,pls,4,60.846,64.5722,56.0212,0.0445,-0.0425,0.25
aycicegi,C,random_forest,4,55.174,64.5722,56.0212,0.1282,0.0772,0.75
aycicegi,C,xgboost,4,57.607,64.5722,56.0212,0.0896,0.0452,0.75
bugday,A,elastic_net,15,66.4252,58.3109,78.4143,-0.1811,-0.2504,0.4
bugday,A,gpr,15,67.1287,58.3109,78.4143,-0.1949,-0.1878,0.2667
bugday,A,pls,15,70.8897,58.3109,78.4143,-0.2429,-0.2216,0.1333
bugday,A,random_forest,15,69.9335,58.3109,78.4143,-0.2976,-0.2419,0.2
bugday,A,xgboost,15,72.2095,58.3109,78.4143,-0.3289,-0.1763,0.2667
bugday,B,elastic_net,4,98.1245,71.0212,101.0668,-0.6565,-0.6204,0.0
bugday,B,gpr,4,91.0638,71.0212,101.0668,-0.5468,-0.3998,0.0
bugday,B,pls,4,127.9,71.0212,101.0668,-1.2703,-1.1092,0.0
bugday,B,random_forest,4,82.5857,71.0212,101.0668,-0.311,-0.2076,0.25
bugday,B,xgboost,4,86.0465,71.0212,101.0668,-0.4067,-0.2512,0.0
bugday,C,elastic_net,4,90.41,71.0212,101.0668,-0.4846,-0.4724,0.25
bugday,C,gpr,4,88.026,71.0212,101.0668,-0.4575,-0.3805,0.0
bugday,C,pls,4,105.6605,71.0212,101.0668,-0.7943,-0.7508,0.0
bugday,C,random_forest,4,75.7822,71.0212,101.0668,-0.1474,-0.0305,0.5
bugday,C,xgboost,4,78.1337,71.0212,101.0668,-0.2482,-0.0102,0.5
