crop,cv,layer,model,n,r2,rmse_kg_da,mae_kg_da,mape_pct,bias_kg_da,ss_vs_b0,source
aycicegi,LOYO,baseline,B0_Climatology,576,0.033,50.002,40.41,22.851,-0.0,0.0,reports/cp25/02_baselines.csv
aycicegi,LOYO,baseline,B1_YearTrend,576,0.001,50.838,39.528,22.695,1.401,-0.017,reports/cp25/02_baselines.csv
aycicegi,LOYO,baseline,B2_Persistence,576,0.21,45.209,33.393,18.836,3.689,0.096,reports/cp25/02_baselines.csv
aycicegi,LOYO,baseline,B3_ClimateProxy,576,0.087,48.582,37.389,21.113,1.595,0.028,reports/cp25/02_baselines.csv
aycicegi,LOYO,A,elastic_net,576,0.002,50.802,40.686,23.278,0.498,-0.016,recomputed (cp25 layers)
aycicegi,LOYO,A,gpr,576,-0.112,53.63,42.857,23.966,0.651,-0.073,recomputed (cp25 layers)
aycicegi,LOYO,A,pls,576,-0.073,52.665,41.938,23.587,0.319,-0.053,recomputed (cp25 layers)
aycicegi,LOYO,A,random_forest,576,0.051,49.542,39.843,22.357,-0.633,0.009,recomputed (cp25 layers)
aycicegi,LOYO,A,xgboost,576,-0.076,52.75,42.259,23.166,-3.028,-0.055,recomputed (cp25 layers)
aycicegi,LOYO,B,elastic_net,209,-0.027,54.68,44.71,24.116,4.271,-0.002,recomputed (cp25 layers)
aycicegi,LOYO,B,gpr,209,0.214,47.851,38.507,20.651,2.091,0.123,recomputed (cp25 layers)
aycicegi,LOYO,B,pls,209,-0.122,57.175,47.77,25.241,3.821,-0.048,recomputed (cp25 layers)
aycicegi,LOYO,B,random_forest,209,0.237,47.131,36.478,19.695,3.249,0.136,recomputed (cp25 layers)
aycicegi,LOYO,B,xgboost,209,-0.112,56.909,45.478,24.925,7.498,-0.043,recomputed (cp25 layers)
aycicegi,LOYO,C,elastic_net,209,0.186,48.694,40.439,21.564,4.056,0.108,recomputed (cp25 layers)
aycicegi,LOYO,C,gpr,209,0.386,42.273,33.68,17.755,2.162,0.225,recomputed (cp25 layers)
aycicegi,LOYO,C,pls,209,0.151,49.717,40.964,21.402,4.584,0.089,recomputed (cp25 layers)
aycicegi,LOYO,C,random_forest,209,0.358,43.259,33.425,17.982,3.606,0.207,recomputed (cp25 layers)
aycicegi,LOYO,C,stacking,209,0.343,43.733,34.814,18.311,0.731,0.199,recomputed (cp25 layers)
aycicegi,LOYO,C,xgboost,209,0.194,48.466,38.132,20.511,5.241,0.112,recomputed (cp25 layers)
aycicegi,LOILO,A,elastic_net,576,0.129,47.459,37.563,21.457,0.017,0.051,recomputed (cp25 layers)
aycicegi,LOILO,A,gpr,576,0.493,36.218,27.724,15.181,-0.247,0.276,recomputed (cp25 layers)
aycicegi,LOILO,A,pls,576,0.173,46.239,36.129,20.305,0.165,0.075,recomputed (cp25 layers)
aycicegi,LOILO,A,random_forest,576,0.439,38.103,29.397,16.344,0.15,0.238,recomputed (cp25 layers)
aycicegi,LOILO,A,xgboost,576,0.504,35.816,27.086,14.909,0.6,0.284,recomputed (cp25 layers)
aycicegi,LOILO,B,elastic_net,209,0.249,46.774,36.958,19.208,1.302,0.143,recomputed (cp25 layers)
aycicegi,LOILO,B,gpr,209,0.45,40.039,30.636,15.608,0.399,0.266,recomputed (cp25 layers)
aycicegi,LOILO,B,pls,209,0.177,48.968,38.015,19.316,1.589,0.103,recomputed (cp25 layers)
aycicegi,LOILO,B,random_forest,209,0.406,41.611,31.16,15.84,0.859,0.237,recomputed (cp25 layers)
aycicegi,LOILO,B,xgboost,209,0.329,44.204,33.73,16.762,-0.2,0.19,recomputed (cp25 layers)
aycicegi,LOILO,C,elastic_net,209,0.392,42.093,32.996,16.965,1.072,0.229,recomputed (cp25 layers)
aycicegi,LOILO,C,gpr,209,0.582,34.892,26.942,13.488,0.524,0.361,recomputed (cp25 layers)
aycicegi,LOILO,C,pls,209,0.337,43.936,33.863,16.966,1.898,0.195,recomputed (cp25 layers)
aycicegi,LOILO,C,random_forest,209,0.49,38.543,29.411,14.842,0.54,0.294,recomputed (cp25 layers)
aycicegi,LOILO,C,xgboost,209,0.521,37.342,28.995,14.207,0.482,0.316,recomputed (cp25 layers)
aycicegi,Spatiotemporal,A,elastic_net,576,0.077,48.852,39.036,22.336,0.655,0.023,recomputed (cp25 layers)
aycicegi,Spatiotemporal,A,gpr,576,0.387,39.818,30.706,16.98,0.586,0.204,recomputed (cp25 layers)
aycicegi,Spatiotemporal,A,pls,576,0.099,48.271,38.28,21.598,1.381,0.035,recomputed (cp25 layers)
aycicegi,Spatiotemporal,A,random_forest,576,0.32,41.935,32.38,18.183,0.643,0.161,recomputed (cp25 layers)
aycicegi,Spatiotemporal,A,xgboost,576,0.385,39.877,30.899,17.118,0.539,0.202,recomputed (cp25 layers)
aycicegi,Spatiotemporal,B,elastic_net,209,0.271,46.077,36.642,19.39,0.872,0.156,recomputed (cp25 layers)
aycicegi,Spatiotemporal,B,gpr,209,0.434,40.619,31.743,16.725,1.39,0.256,recomputed (cp25 layers)
aycicegi,Spatiotemporal,B,pls,209,0.255,46.568,36.727,19.127,0.777,0.147,recomputed (cp25 layers)
aycicegi,Spatiotemporal,B,random_forest,209,0.338,43.919,33.125,17.639,2.203,0.195,recomputed (cp25 layers)
aycicegi,Spatiotemporal,B,xgboost,209,0.243,46.971,36.151,18.824,3.034,0.139,recomputed (cp25 layers)
aycicegi,Spatiotemporal,C,elastic_net,209,0.408,41.534,32.966,17.241,0.637,0.239,recomputed (cp25 layers)
aycicegi,Spatiotemporal,C,gpr,209,0.556,35.947,28.046,14.391,0.502,0.341,recomputed (cp25 layers)
aycicegi,Spatiotemporal,C,pls,209,0.413,41.361,32.474,16.542,0.651,0.242,recomputed (cp25 layers)
aycicegi,Spatiotemporal,C,random_forest,209,0.44,40.393,30.251,16.035,2.001,0.26,recomputed (cp25 layers)
aycicegi,Spatiotemporal,C,xgboost,209,0.355,43.333,33.007,17.065,1.211,0.206,recomputed (cp25 layers)
bugday,LOYO,baseline,B0_Climatology,589,0.213,61.743,48.656,13.446,-0.0,0.0,reports/cp25/02_baselines.csv
bugday,LOYO,baseline,B1_YearTrend,589,0.208,61.921,48.972,13.423,0.433,-0.003,reports/cp25/02_baselines.csv
bugday,LOYO,baseline,B2_Persistence,589,-0.269,78.398,62.615,16.706,2.212,-0.27,reports/cp25/02_baselines.csv
bugday,LOYO,baseline,B3_ClimateProxy,589,0.126,65.064,49.973,13.653,-0.314,-0.054,reports/cp25/02_baselines.csv
bugday,LOYO,A,elastic_net,589,-0.092,72.706,57.008,16.045,-1.898,-0.178,recomputed (cp25 layers)
bugday,LOYO,A,gpr,589,-0.198,76.155,59.75,16.63,-1.585,-0.233,recomputed (cp25 layers)
bugday,LOYO,A,pls,589,-0.248,77.719,61.039,16.989,-6.421,-0.259,recomputed (cp25 layers)
bugday,LOYO,A,random_forest,589,-0.169,75.227,59.651,16.432,-8.315,-0.218,recomputed (cp25 layers)
bugday,LOYO,A,xgboost,589,-0.234,77.292,61.58,17.076,-3.353,-0.252,recomputed (cp25 layers)
bugday,LOYO,B,elastic_net,213,-0.966,98.79,78.271,20.136,3.381,-0.432,recomputed (cp25 layers)
bugday,LOYO,B,gpr,213,-0.536,87.307,68.205,17.358,0.419,-0.266,recomputed (cp25 layers)
bugday,LOYO,B,pls,213,-2.044,122.921,99.487,25.682,9.908,-0.782,recomputed (cp25 layers)
bugday,LOYO,B,random_forest,213,-0.739,92.923,73.78,19.124,6.635,-0.347,recomputed (cp25 layers)
bugday,LOYO,B,xgboost,213,-0.637,90.138,71.357,18.466,5.427,-0.307,recomputed (cp25 layers)
bugday,LOYO,C,elastic_net,213,-0.724,92.514,72.092,18.452,3.45,-0.341,recomputed (cp25 layers)
bugday,LOYO,C,gpr,213,-0.541,87.461,67.897,17.205,3.854,-0.268,recomputed (cp25 layers)
bugday,LOYO,C,pls,213,-1.134,102.934,81.268,20.773,6.803,-0.492,recomputed (cp25 layers)
bugday,LOYO,C,random_forest,213,-0.554,87.837,69.145,17.875,9.617,-0.273,recomputed (cp25 layers)
bugday,LOYO,C,stacking,213,-0.658,90.726,69.632,17.597,-2.373,-0.315,recomputed (cp25 layers)
bugday,LOYO,C,xgboost,213,-0.311,80.684,63.431,16.364,8.017,-0.17,recomputed (cp25 layers)
bugday,LOILO,A,elastic_net,589,0.048,67.888,53.333,15.157,0.619,-0.1,recomputed (cp25 layers)
bugday,LOILO,A,gpr,589,0.441,52.009,39.973,11.362,0.968,0.158,recomputed (cp25 layers)
bugday,LOILO,A,pls,589,0.013,69.132,54.376,15.398,1.258,-0.12,recomputed (cp25 layers)
bugday,LOILO,A,random_forest,589,0.362,55.598,43.248,12.334,0.523,0.1,recomputed (cp25 layers)
bugday,LOILO,A,xgboost,589,0.371,55.203,41.895,11.861,-0.223,0.106,recomputed (cp25 layers)
bugday,LOILO,B,elastic_net,213,0.066,68.106,52.835,13.75,0.941,0.013,recomputed (cp25 layers)
bugday,LOILO,B,gpr,213,0.429,53.226,40.666,10.77,1.927,0.228,recomputed (cp25 layers)
bugday,LOILO,B,pls,213,0.076,67.722,51.215,13.279,1.448,0.018,recomputed (cp25 layers)
bugday,LOILO,B,random_forest,213,0.416,53.822,40.966,10.876,0.995,0.22,recomputed (cp25 layers)
bugday,LOILO,B,xgboost,213,0.395,54.8,40.536,10.791,0.098,0.206,recomputed (cp25 layers)
bugday,LOILO,C,elastic_net,213,0.18,63.785,49.899,12.941,1.228,0.075,recomputed (cp25 layers)
bugday,LOILO,C,gpr,213,0.342,57.169,44.183,11.753,4.034,0.171,recomputed (cp25 layers)
bugday,LOILO,C,pls,213,0.21,62.633,48.265,12.415,1.201,0.092,recomputed (cp25 layers)
bugday,LOILO,C,random_forest,213,0.392,54.929,43.225,11.458,2.204,0.204,recomputed (cp25 layers)
bugday,LOILO,C,xgboost,213,0.427,53.342,39.698,10.561,3.217,0.227,recomputed (cp25 layers)
bugday,Spatiotemporal,A,elastic_net,589,0.038,68.242,53.654,15.202,-0.153,-0.105,recomputed (cp25 layers)
bugday,Spatiotemporal,A,gpr,589,0.321,57.355,43.874,12.387,0.093,0.071,recomputed (cp25 layers)
bugday,Spatiotemporal,A,pls,589,-0.013,70.029,55.386,15.597,-0.502,-0.134,recomputed (cp25 layers)
bugday,Spatiotemporal,A,random_forest,589,0.225,61.238,47.665,13.433,-1.361,0.008,recomputed (cp25 layers)
bugday,Spatiotemporal,A,xgboost,589,0.275,59.243,45.934,12.914,-1.536,0.04,recomputed (cp25 layers)
bugday,Spatiotemporal,B,elastic_net,213,-0.058,72.459,56.022,14.487,1.0,-0.051,recomputed (cp25 layers)
bugday,Spatiotemporal,B,gpr,213,0.25,61.005,46.421,12.084,0.321,0.116,recomputed (cp25 layers)
bugday,Spatiotemporal,B,pls,213,-0.048,72.137,53.974,13.891,1.342,-0.046,recomputed (cp25 layers)
bugday,Spatiotemporal,B,random_forest,213,0.273,60.084,46.494,12.155,0.769,0.129,recomputed (cp25 layers)
bugday,Spatiotemporal,B,xgboost,213,0.314,58.369,46.225,12.059,-0.963,0.154,recomputed (cp25 layers)
bugday,Spatiotemporal,C,elastic_net,213,0.059,68.341,52.609,13.517,1.488,0.009,recomputed (cp25 layers)
bugday,Spatiotemporal,C,gpr,213,0.264,60.455,46.331,11.934,2.855,0.124,recomputed (cp25 layers)
bugday,Spatiotemporal,C,pls,213,0.079,67.624,50.909,13.002,1.772,0.02,recomputed (cp25 layers)
bugday,Spatiotemporal,C,random_forest,213,0.372,55.829,44.322,11.453,2.465,0.191,recomputed (cp25 layers)
bugday,Spatiotemporal,C,xgboost,213,0.48,50.829,39.941,10.295,1.127,0.263,recomputed (cp25 layers)
