crop,tier,model,r2_LOYO,r2_LOILO,gap_dR2,gap_ci_low,gap_ci_high,year_signrank_p
bugday,A,pls,-1.7576,0.0065,1.7641,1.4702,2.1398,0.0391
bugday,A,elastic_net,-0.7595,0.0211,0.7806,0.6376,0.9551,0.1094
bugday,A,random_forest,-0.7911,0.3589,1.1499,0.9398,1.4168,0.0234
bugday,A,xgboost,-0.8758,0.3251,1.2008,0.9397,1.5059,0.0391
bugday,A,gpr,-0.517,0.4287,0.9457,0.78,1.1169,0.0156
bugday,B,pls,-0.4976,0.3856,0.8832,0.6982,1.0938,0.0234
bugday,B,elastic_net,-0.3396,0.3251,0.6647,0.5291,0.8146,0.0391
bugday,B,random_forest,-0.2662,0.4899,0.7561,0.5959,0.9598,0.0391
bugday,B,xgboost,-0.4435,0.4765,0.9199,0.719,1.1693,0.0078
bugday,B,gpr,-0.312,0.5338,0.8458,0.6909,1.0156,0.0234
bugday,C,pls,-0.4172,0.4415,0.8587,0.6721,1.0694,0.0078
bugday,C,elastic_net,-0.2168,0.3769,0.5937,0.4693,0.7308,0.0234
bugday,C,random_forest,-0.3424,0.5445,0.8868,0.7048,1.112,0.0078
bugday,C,xgboost,-0.3477,0.5357,0.8835,0.6817,1.1247,0.0078
bugday,C,gpr,-0.0909,0.6178,0.7087,0.5696,0.8558,0.0078
bugday,D,pls,-0.2273,0.4097,0.637,0.4616,0.8242,0.1484
bugday,D,elastic_net,-0.0693,0.3863,0.4556,0.3434,0.5748,0.1094
bugday,D,random_forest,-0.1122,0.5432,0.6554,0.5152,0.8216,0.0781
bugday,D,xgboost,-0.0415,0.5593,0.6007,0.4513,0.77,0.0781
bugday,D,gpr,0.0184,0.5907,0.5723,0.4289,0.7182,0.0547
aycicegi,A,pls,-0.6496,0.1202,0.7697,0.6183,0.9433,0.0078
aycicegi,A,elastic_net,-0.3395,0.1297,0.4692,0.3737,0.573,0.0156
aycicegi,A,random_forest,-0.199,0.4668,0.6657,0.5171,0.8167,0.0078
aycicegi,A,xgboost,-0.4383,0.439,0.8773,0.6721,1.0856,0.0078
aycicegi,A,gpr,-0.3206,0.4281,0.7487,0.5851,0.9135,0.0156
aycicegi,B,pls,-0.6151,0.1641,0.7793,0.6194,0.9633,0.0078
aycicegi,B,elastic_net,-0.3163,0.1813,0.4975,0.3985,0.6072,0.0078
aycicegi,B,random_forest,-0.2528,0.4257,0.6785,0.5342,0.8364,0.0078
aycicegi,B,xgboost,-0.4756,0.4174,0.8929,0.691,1.1278,0.0078
aycicegi,B,gpr,-0.2908,0.4003,0.6911,0.5366,0.8586,0.0234
aycicegi,C,pls,-0.41,0.1985,0.6085,0.4646,0.782,0.0078
aycicegi,C,elastic_net,-0.1339,0.231,0.3649,0.2767,0.463,0.0078
aycicegi,C,random_forest,-0.0936,0.5063,0.5999,0.4477,0.7701,0.0078
aycicegi,C,xgboost,-0.1817,0.4423,0.624,0.4151,0.8351,0.0156
aycicegi,C,gpr,-0.0568,0.4381,0.4949,0.3518,0.6473,0.0078
aycicegi,D,pls,-0.4094,0.3431,0.7524,0.589,0.9459,0.0078
aycicegi,D,elastic_net,-0.1043,0.3274,0.4318,0.3409,0.5384,0.0156
aycicegi,D,random_forest,-0.0267,0.5496,0.5762,0.4331,0.7365,0.0156
aycicegi,D,xgboost,-0.0785,0.5435,0.622,0.4581,0.7977,0.0078
aycicegi,D,gpr,-0.1025,0.4971,0.5996,0.4819,0.7298,0.0078
