crop,tier,model,cv,n,r2,rmse,baseline_rmse_matched,skill_score,ss_ci_low_clustered,ss_ci_high_clustered
bugday,A,pls,LOYO,213,-1.7576,117.0,68.813,-0.7003,-1.1737,-0.4388
bugday,A,pls,LOILO,213,0.0065,70.226,,,,
bugday,A,pls,Spatiotemporal,213,-0.1446,75.376,,,,
bugday,A,elastic_net,LOYO,213,-0.7595,93.456,68.813,-0.3581,-0.6329,-0.1844
bugday,A,elastic_net,LOILO,213,0.0211,69.707,,,,
bugday,A,elastic_net,Spatiotemporal,213,-0.0825,73.304,,,,
bugday,A,random_forest,LOYO,213,-0.7911,94.292,68.813,-0.3703,-0.7237,-0.138
bugday,A,random_forest,LOILO,213,0.3589,56.415,,,,
bugday,A,random_forest,Spatiotemporal,213,0.2253,62.012,,,,
bugday,A,xgboost,LOYO,213,-0.8758,96.495,68.813,-0.4023,-0.7779,-0.1893
bugday,A,xgboost,LOILO,213,0.3251,57.883,,,,
bugday,A,xgboost,Spatiotemporal,213,0.1213,66.045,,,,
bugday,A,gpr,LOYO,213,-0.517,86.777,68.813,-0.261,-0.5429,-0.1275
bugday,A,gpr,LOILO,213,0.4287,53.254,,,,
bugday,A,gpr,Spatiotemporal,213,0.2519,60.937,,,,
bugday,B,pls,LOYO,213,-0.4976,86.222,68.813,-0.253,-0.3976,-0.1125
bugday,B,pls,LOILO,213,0.3856,55.225,,,,
bugday,B,pls,Spatiotemporal,213,0.2727,60.086,,,,
bugday,B,elastic_net,LOYO,213,-0.3396,81.546,68.813,-0.185,-0.3044,-0.0667
bugday,B,elastic_net,LOILO,213,0.3251,57.881,,,,
bugday,B,elastic_net,Spatiotemporal,213,0.2202,62.216,,,,
bugday,B,random_forest,LOYO,213,-0.2662,79.28,68.813,-0.1521,-0.3709,-0.035
bugday,B,random_forest,LOILO,213,0.4899,50.321,,,,
bugday,B,random_forest,Spatiotemporal,213,0.3793,55.509,,,,
bugday,B,xgboost,LOYO,213,-0.4435,84.649,68.813,-0.2301,-0.5609,-0.0818
bugday,B,xgboost,LOILO,213,0.4765,50.979,,,,
bugday,B,xgboost,Spatiotemporal,213,0.3383,57.312,,,,
bugday,B,gpr,LOYO,213,-0.312,80.701,68.813,-0.1728,-0.4752,-0.045
bugday,B,gpr,LOILO,213,0.5338,48.104,,,,
bugday,B,gpr,Spatiotemporal,213,0.3718,55.843,,,,
bugday,C,pls,LOYO,213,-0.4172,83.874,68.813,-0.2189,-0.3531,-0.0607
bugday,C,pls,LOILO,213,0.4415,52.652,,,,
bugday,C,pls,Spatiotemporal,213,0.2473,61.126,,,,
bugday,C,elastic_net,LOYO,213,-0.2168,77.718,68.813,-0.1294,-0.219,-0.028
bugday,C,elastic_net,LOILO,213,0.3769,55.616,,,,
bugday,C,elastic_net,Spatiotemporal,213,0.2359,61.589,,,,
bugday,C,random_forest,LOYO,213,-0.3424,81.63,68.813,-0.1863,-0.397,-0.0438
bugday,C,random_forest,LOILO,213,0.5445,47.552,,,,
bugday,C,random_forest,Spatiotemporal,213,0.3779,55.571,,,,
bugday,C,xgboost,LOYO,213,-0.3477,81.794,68.813,-0.1886,-0.4099,-0.0542
bugday,C,xgboost,LOILO,213,0.5357,48.007,,,,
bugday,C,xgboost,Spatiotemporal,213,0.3533,56.657,,,,
bugday,C,gpr,LOYO,213,-0.0909,73.589,68.813,-0.0694,-0.1691,-0.0203
bugday,C,gpr,LOILO,213,0.6178,43.558,,,,
bugday,C,gpr,Spatiotemporal,213,0.3197,58.112,,,,
bugday,D,pls,LOYO,213,-0.2273,78.052,68.813,-0.1343,-0.2678,-0.0033
bugday,D,pls,LOILO,213,0.4097,54.131,,,,
bugday,D,pls,Spatiotemporal,213,0.2879,59.455,,,,
bugday,D,elastic_net,LOYO,213,-0.0693,72.856,68.813,-0.0587,-0.1357,0.0266
bugday,D,elastic_net,LOILO,213,0.3863,55.192,,,,
bugday,D,elastic_net,Spatiotemporal,213,0.2866,59.511,,,,
bugday,D,random_forest,LOYO,213,-0.1122,74.304,68.813,-0.0798,-0.2433,0.0609
bugday,D,random_forest,LOILO,213,0.5432,47.621,,,,
bugday,D,random_forest,Spatiotemporal,213,0.3959,54.762,,,,
bugday,D,xgboost,LOYO,213,-0.0415,71.901,68.813,-0.0449,-0.1857,0.0538
bugday,D,xgboost,LOILO,213,0.5593,46.774,,,,
bugday,D,xgboost,Spatiotemporal,213,0.443,52.581,,,,
bugday,D,gpr,LOYO,213,0.0184,69.805,68.813,-0.0144,-0.0872,0.07
bugday,D,gpr,LOILO,213,0.5907,45.076,,,,
bugday,D,gpr,Spatiotemporal,213,0.444,52.536,,,,
aycicegi,A,pls,LOYO,209,-0.6496,69.316,54.44,-0.2733,-0.5567,-0.1221
aycicegi,A,pls,LOILO,209,0.1202,50.623,,,,
aycicegi,A,pls,Spatiotemporal,209,0.0659,52.161,,,,
aycicegi,A,elastic_net,LOYO,209,-0.3395,62.463,54.44,-0.1474,-0.3565,-0.0403
aycicegi,A,elastic_net,LOILO,209,0.1297,50.349,,,,
aycicegi,A,elastic_net,Spatiotemporal,209,0.0709,52.021,,,,
aycicegi,A,random_forest,LOYO,209,-0.199,59.095,54.44,-0.0855,-0.2545,0.0068
aycicegi,A,random_forest,LOILO,209,0.4668,39.411,,,,
aycicegi,A,random_forest,Spatiotemporal,209,0.2803,45.785,,,,
aycicegi,A,xgboost,LOYO,209,-0.4383,64.725,54.44,-0.1889,-0.3624,-0.0987
aycicegi,A,xgboost,LOILO,209,0.439,40.423,,,,
aycicegi,A,xgboost,Spatiotemporal,209,0.242,46.988,,,,
aycicegi,A,gpr,LOYO,209,-0.3206,62.021,54.44,-0.1393,-0.3069,0.0095
aycicegi,A,gpr,LOILO,209,0.4281,40.813,,,,
