crop,tier,model,r2_LOYO,r2_LOILO,gap_dR2,gap_ci_low,gap_ci_high,year_signrank_p
bugday,A,pls,-1.7576,0.0065,1.7641,1.4702,2.1398,0.0391
bugday,A,elastic_net,-0.7595,0.0211,0.7806,0.6376,0.9551,0.1094
bugday,A,random_forest,-0.7911,0.3589,1.1499,0.9398,1.4168,0.0234
bugday,A,xgboost,-0.8758,0.3251,1.2008,0.9397,1.5059,0.0391
bugday,A,gpr,-0.517,0.4287,0.9457,0.78,1.1169,0.0156
bugday,B,pls,-0.4486,0.3365,0.7851,0.6206,0.9712,0.0391
bugday,B,elastic_net,-0.2283,0.2873,0.5156,0.4081,0.6315,0.0781
bugday,B,random_forest,-0.2361,0.4384,0.6744,0.5429,0.8355,0.0234
bugday,B,xgboost,-0.1013,0.4708,0.5722,0.4315,0.7297,0.0078
bugday,B,gpr,-0.0461,0.5749,0.621,0.4873,0.7691,0.0234
bugday,C,pls,-0.583,0.3243,0.9073,0.7416,1.0975,0.0078
bugday,C,elastic_net,-0.218,0.3028,0.5208,0.4155,0.6351,0.0391
bugday,C,random_forest,-0.2563,0.4726,0.7289,0.5721,0.9238,0.1094
bugday,C,xgboost,-0.0037,0.5327,0.5364,0.4029,0.6879,0.0078
bugday,C,gpr,-0.0667,0.5918,0.6585,0.5134,0.8178,0.0234
bugday,D,pls,-0.6102,-0.029,0.5812,0.1856,1.4359,0.1094
bugday,D,elastic_net,-0.0296,0.2593,0.2889,0.1347,0.5865,0.25
bugday,D,random_forest,0.0831,0.5881,0.505,0.3843,0.6402,0.25
bugday,D,xgboost,0.1519,0.6019,0.45,0.3036,0.6106,0.1484
bugday,D,gpr,0.1369,0.6067,0.4698,0.336,0.6123,0.0234
aycicegi,A,pls,-0.6496,0.1202,0.7697,0.6183,0.9433,0.0078
aycicegi,A,elastic_net,-0.3395,0.1297,0.4692,0.3737,0.573,0.0156
aycicegi,A,random_forest,-0.199,0.4668,0.6657,0.5171,0.8167,0.0078
aycicegi,A,xgboost,-0.4383,0.439,0.8773,0.6721,1.0856,0.0078
aycicegi,A,gpr,-0.3206,0.4281,0.7487,0.5851,0.9135,0.0156
aycicegi,B,pls,-0.5426,0.2081,0.7508,0.5873,0.951,0.0078
aycicegi,B,elastic_net,-0.177,0.2374,0.4144,0.3316,0.5065,0.0078
aycicegi,B,random_forest,-0.0173,0.4811,0.4984,0.3759,0.6311,0.0156
aycicegi,B,xgboost,-0.0819,0.4419,0.5238,0.3667,0.6806,0.0156
aycicegi,B,gpr,0.0775,0.4758,0.3983,0.26,0.5323,0.0156
aycicegi,C,pls,-0.4568,0.1511,0.6078,0.4399,0.8043,0.0078
aycicegi,C,elastic_net,-0.145,0.2376,0.3826,0.2915,0.4823,0.0078
aycicegi,C,random_forest,0.0553,0.4717,0.4164,0.2705,0.5642,0.0781
aycicegi,C,xgboost,-0.1266,0.4018,0.5284,0.342,0.7159,0.1094
aycicegi,C,gpr,0.0758,0.4777,0.4019,0.2491,0.5419,0.0078
aycicegi,D,pls,-0.4248,0.2981,0.7228,0.564,0.9061,0.0078
aycicegi,D,elastic_net,-0.0855,0.3193,0.4047,0.3173,0.4996,0.0078
aycicegi,D,random_forest,0.1911,0.5403,0.3492,0.2285,0.4732,0.0547
aycicegi,D,xgboost,0.1655,0.5469,0.3814,0.2427,0.5152,0.0234
aycicegi,D,gpr,0.1917,0.5761,0.3844,0.281,0.4898,0.0547
