crop,tier,model,cv,n,r2,rmse,mae,baseline_rmse_matched,skill_score,ss_ci_low_clustered,ss_ci_high_clustered
bugday,A,pls,LOYO,213,-1.7576,117.0,94.734,68.813,-0.7002,-1.1737,-0.4388
bugday,A,pls,LOILO,213,0.0065,70.226,53.728,,,,
bugday,A,pls,Spatiotemporal,213,-0.1446,75.376,58.27,,,,
bugday,A,elastic_net,LOYO,213,-0.7595,93.456,74.232,68.813,-0.3581,-0.6329,-0.1844
bugday,A,elastic_net,LOILO,213,0.0211,69.707,54.78,,,,
bugday,A,elastic_net,Spatiotemporal,213,-0.0825,73.304,57.939,,,,
bugday,A,random_forest,LOYO,213,-0.7911,94.292,76.429,68.813,-0.3703,-0.7237,-0.138
bugday,A,random_forest,LOILO,213,0.3589,56.415,43.25,,,,
bugday,A,random_forest,Spatiotemporal,213,0.2253,62.012,47.856,,,,
bugday,A,xgboost,LOYO,213,-0.8758,96.495,77.078,68.813,-0.4023,-0.7779,-0.1893
bugday,A,xgboost,LOILO,213,0.3251,57.883,44.412,,,,
bugday,A,xgboost,Spatiotemporal,213,0.1213,66.045,50.818,,,,
bugday,A,gpr,LOYO,213,-0.517,86.777,69.673,68.813,-0.261,-0.5429,-0.1275
bugday,A,gpr,LOILO,213,0.4287,53.254,41.367,,,,
bugday,A,gpr,Spatiotemporal,213,0.2519,60.937,47.398,,,,
bugday,B,pls,LOYO,213,-0.4486,84.8,64.422,68.813,-0.2323,-0.3693,-0.1007
bugday,B,pls,LOILO,213,0.3365,57.39,42.202,,,,
bugday,B,pls,Spatiotemporal,213,0.2056,62.797,45.911,,,,
bugday,B,elastic_net,LOYO,213,-0.2283,78.085,59.601,68.813,-0.1347,-0.2128,-0.0867
bugday,B,elastic_net,LOILO,213,0.2873,59.481,45.353,,,,
bugday,B,elastic_net,Spatiotemporal,213,0.178,63.879,48.473,,,,
bugday,B,random_forest,LOYO,213,-0.2361,78.332,62.658,68.813,-0.1383,-0.3691,-0.0092
bugday,B,random_forest,LOILO,213,0.4384,52.801,39.156,,,,
bugday,B,random_forest,Spatiotemporal,213,0.2718,60.125,45.098,,,,
bugday,B,xgboost,LOYO,213,-0.1013,73.939,57.191,68.813,-0.0745,-0.2723,0.0288
bugday,B,xgboost,LOILO,213,0.4708,51.253,38.251,,,,
bugday,B,xgboost,Spatiotemporal,213,0.3246,57.902,43.813,,,,
bugday,B,gpr,LOYO,213,-0.0461,72.061,55.327,68.813,-0.0472,-0.2102,0.0376
bugday,B,gpr,LOILO,213,0.5749,45.937,35.499,,,,
bugday,B,gpr,Spatiotemporal,213,0.3794,55.502,41.658,,,,
bugday,C,pls,LOYO,213,-0.583,88.646,66.616,68.813,-0.2882,-0.4291,-0.1278
bugday,C,pls,LOILO,213,0.3243,57.914,42.085,,,,
bugday,C,pls,Spatiotemporal,213,0.1406,65.316,46.652,,,,
bugday,C,elastic_net,LOYO,213,-0.218,77.757,58.872,68.813,-0.13,-0.1926,-0.071
bugday,C,elastic_net,LOILO,213,0.3028,58.83,44.535,,,,
bugday,C,elastic_net,Spatiotemporal,213,0.1779,63.884,48.277,,,,
bugday,C,random_forest,LOYO,213,-0.2563,78.97,63.161,68.813,-0.1476,-0.4102,0.0093
bugday,C,random_forest,LOILO,213,0.4726,51.168,39.143,,,,
bugday,C,random_forest,Spatiotemporal,213,0.3173,58.214,44.515,,,,
bugday,C,xgboost,LOYO,213,-0.0037,70.586,55.593,68.813,-0.0258,-0.1749,0.057
bugday,C,xgboost,LOILO,213,0.5327,48.163,34.896,,,,
bugday,C,xgboost,Spatiotemporal,213,0.337,57.368,42.676,,,,
bugday,C,gpr,LOYO,213,-0.0667,72.768,55.391,68.813,-0.0575,-0.2192,0.0326
