crop,tier,feature,group,importance,status,note
bugday,A,gdd_cum_season,climate,0.08575,selected,
bugday,A,gdd_flowering,climate,0.0502,dropped_collinear,collinear(|r|=1.00) with t2m_flowering_mean
bugday,A,vernalization_days,climate,0.03063,selected,
bugday,A,tp_season_sum,climate,0.17052,selected,
bugday,A,tp_winter_sum,climate,0.03381,dropped_collinear,collinear(|r|=0.93) with tp_season_sum
bugday,A,tp_flowering,climate,0.06229,selected,
bugday,A,tp_grain_fill,climate,0.20995,selected,
bugday,A,aridity_index,climate,0.07732,dropped_collinear,collinear(|r|=0.90) with tp_season_sum
bugday,A,heat_stress_days,climate,0.01148,selected,
bugday,A,t2m_flowering_mean,climate,0.0862,selected,
bugday,A,t2m_flowering_max,climate,0.02699,selected,
bugday,A,tdiff_mean,climate,0.02048,selected,
bugday,A,ssr_flowering_sum,climate,0.10613,selected,
bugday,A,ssr_season_sum,climate,0.02825,selected,
bugday,B,gdd_cum_season,climate,0.03883,selected,
bugday,B,gdd_flowering,climate,0.0125,dropped_collinear,collinear(|r|=1.00) with t2m_flowering_mean
bugday,B,vernalization_days,climate,0.01574,selected,
bugday,B,tp_season_sum,climate,0.08467,selected,
bugday,B,tp_winter_sum,climate,0.02819,dropped_collinear,collinear(|r|=0.93) with tp_season_sum
bugday,B,tp_flowering,climate,0.02787,selected,
bugday,B,tp_grain_fill,climate,0.05327,selected,
bugday,B,aridity_index,climate,0.05976,dropped_collinear,collinear(|r|=0.90) with tp_season_sum
bugday,B,heat_stress_days,climate,0.00763,dropped_lowrank,
bugday,B,t2m_flowering_mean,climate,0.02258,selected,
bugday,B,t2m_flowering_max,climate,0.01165,dropped_lowrank,
bugday,B,tdiff_mean,climate,0.00813,dropped_lowrank,
bugday,B,ssr_flowering_sum,climate,0.04871,selected,
bugday,B,ssr_season_sum,climate,0.01242,dropped_lowrank,
bugday,B,NDVI_greenup_mean,index_mean,0.00384,dropped_collinear,collinear(|r|=0.96) with EVI_greenup_mean
bugday,B,EVI_greenup_mean,index_mean,0.01012,dropped_collinear,collinear(|r|=1.00) with EVI2_greenup_mean
bugday,B,EVI2_greenup_mean,index_mean,0.01062,dropped_lowrank,
bugday,B,NDRE_greenup_mean,index_mean,0.00649,dropped_collinear,collinear(|r|=0.94) with EVI2_greenup_mean
bugday,B,CIre_greenup_mean,index_mean,0.00565,dropped_collinear,collinear(|r|=0.91) with EVI2_greenup_mean
bugday,B,NDWI_greenup_mean,index_mean,0.02385,selected,
bugday,B,GNDVI_greenup_mean,index_mean,0.00761,dropped_collinear,collinear(|r|=0.92) with EVI2_greenup_mean
bugday,B,OSAVI_greenup_mean,index_mean,0.00394,dropped_collinear,collinear(|r|=0.99) with EVI2_greenup_mean
bugday,B,NDVI_peak_mean,index_mean,0.00445,dropped_collinear,collinear(|r|=0.96) with EVI_peak_mean
bugday,B,EVI_peak_mean,index_mean,0.00755,dropped_collinear,collinear(|r|=0.95) with NDRE_peak_mean
bugday,B,EVI2_peak_mean,index_mean,0.00649,dropped_collinear,collinear(|r|=1.00) with EVI_peak_mean
bugday,B,NDRE_peak_mean,index_mean,0.01056,dropped_collinear,collinear(|r|=0.91) with CIre_peak_mean
bugday,B,CIre_peak_mean,index_mean,0.10769,selected,
bugday,B,NDWI_peak_mean,index_mean,0.01567,selected,
bugday,B,GNDVI_peak_mean,index_mean,0.01066,dropped_lowrank,
bugday,B,OSAVI_peak_mean,index_mean,0.00457,dropped_collinear,collinear(|r|=0.98) with GNDVI_peak_mean
bugday,B,NDVI_grainfill_mean,index_mean,0.01387,dropped_collinear,collinear(|r|=0.96) with EVI_grainfill_mean
bugday,B,EVI_grainfill_mean,index_mean,0.01868,selected,
bugday,B,EVI2_grainfill_mean,index_mean,0.0146,dropped_collinear,collinear(|r|=0.99) with EVI_grainfill_mean
bugday,B,NDRE_grainfill_mean,index_mean,0.01317,dropped_collinear,collinear(|r|=0.97) with EVI_grainfill_mean
bugday,B,CIre_grainfill_mean,index_mean,0.05308,selected,
bugday,B,NDWI_grainfill_mean,index_mean,0.18857,selected,
bugday,B,GNDVI_grainfill_mean,index_mean,0.01726,selected,
bugday,B,OSAVI_grainfill_mean,index_mean,0.00905,dropped_collinear,collinear(|r|=0.99) with EVI_grainfill_mean
bugday,C,gdd_cum_season,climate,0.0151,selected,
bugday,C,gdd_flowering,climate,0.00597,dropped_collinear,collinear(|r|=1.00) with t2m_flowering_mean
bugday,C,vernalization_days,climate,0.0129,selected,
bugday,C,tp_season_sum,climate,0.08412,selected,
bugday,C,tp_winter_sum,climate,0.01987,dropped_collinear,collinear(|r|=0.93) with tp_season_sum
bugday,C,tp_flowering,climate,0.02142,selected,
bugday,C,tp_grain_fill,climate,0.05744,selected,
bugday,C,aridity_index,climate,0.04928,dropped_collinear,collinear(|r|=0.90) with tp_season_sum
bugday,C,heat_stress_days,climate,0.00814,dropped_lowrank,
bugday,C,t2m_flowering_mean,climate,0.01148,dropped_lowrank,
bugday,C,t2m_flowering_max,climate,0.00912,dropped_lowrank,
bugday,C,tdiff_mean,climate,0.00564,dropped_lowrank,
bugday,C,ssr_flowering_sum,climate,0.04736,selected,
bugday,C,ssr_season_sum,climate,0.00982,dropped_lowrank,
bugday,C,NDVI_greenup_mean,index_mean,0.00348,dropped_collinear,collinear(|r|=0.96) with EVI_greenup_mean
bugday,C,EVI_greenup_mean,index_mean,0.00881,dropped_collinear,collinear(|r|=1.00) with EVI2_greenup_mean
bugday,C,EVI2_greenup_mean,index_mean,0.00888,dropped_lowrank,
bugday,C,NDRE_greenup_mean,index_mean,0.0048,dropped_collinear,collinear(|r|=0.94) with EVI2_greenup_mean
bugday,C,CIre_greenup_mean,index_mean,0.00438,dropped_collinear,collinear(|r|=0.91) with EVI2_greenup_mean
bugday,C,NDWI_greenup_mean,index_mean,0.01973,selected,
bugday,C,GNDVI_greenup_mean,index_mean,0.00469,dropped_collinear,collinear(|r|=0.92) with EVI2_greenup_mean
bugday,C,OSAVI_greenup_mean,index_mean,0.0035,dropped_collinear,collinear(|r|=0.99) with EVI2_greenup_mean
bugday,C,NDVI_peak_mean,index_mean,0.00327,dropped_collinear,collinear(|r|=0.96) with EVI_peak_mean
bugday,C,EVI_peak_mean,index_mean,0.00757,dropped_collinear,collinear(|r|=0.95) with NDRE_peak_mean
bugday,C,EVI2_peak_mean,index_mean,0.00395,dropped_collinear,collinear(|r|=1.00) with EVI_peak_mean
