2026-05-22 01:02:06.163 | DEBUG    | prospective_validation.logging_setup:configure_logging:56 | Loguru configured: file=C:\Users\Melih Kalkan\Desktop\Trak-AI_KDS\logs\flov.log, rotation=100 MB
2026-05-22 01:02:31.315 | DEBUG    | prospective_validation.logging_setup:configure_logging:56 | Loguru configured: file=C:\Users\Melih Kalkan\Desktop\Trak-AI_KDS\logs\flov.log, rotation=100 MB
2026-05-22 01:02:31.354 | INFO     | prospective_validation.integrity:ensure_unchanged:111 | [integrity] First-sight recorded for lstm_champion_sunflower → 43ef61b5a70f
2026-05-22 01:02:31.416 | INFO     | prospective_validation.integrity:ensure_unchanged:111 | [integrity] First-sight recorded for xgb_yield_sunflower → 9cc638a6a951
2026-05-22 01:02:31.435 | INFO     | prospective_validation.integrity:ensure_unchanged:111 | [integrity] First-sight recorded for scaler_sunflower → 1212fc508136
2026-05-22 01:02:31.447 | INFO     | prospective_validation.integrity:ensure_unchanged:111 | [integrity] First-sight recorded for feature_names → 8d1948d9824f
2026-05-22 01:02:31.479 | INFO     | prospective_validation.integrity:ensure_unchanged:111 | [integrity] First-sight recorded for yield_xgb_sunflower → 1b8f2a14404f
2026-05-22 01:02:31.501 | INFO     | prospective_validation.integrity:ensure_unchanged:111 | [integrity] First-sight recorded for yield_scaler_sunflower → 53e405f78848
2026-05-22 01:02:31.522 | INFO     | prospective_validation.integrity:ensure_unchanged:111 | [integrity] First-sight recorded for xgb_feature_names_sunf → 62724be6ab8f
2026-05-22 01:02:31.535 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] lstm_champion_sunflower unchanged (43ef61b5a70f)
2026-05-22 01:02:31.547 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_yield_sunflower unchanged (9cc638a6a951)
2026-05-22 01:02:31.560 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] scaler_sunflower unchanged (1212fc508136)
2026-05-22 01:02:31.571 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] feature_names unchanged (8d1948d9824f)
2026-05-22 01:02:31.586 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_xgb_sunflower unchanged (1b8f2a14404f)
2026-05-22 01:02:31.599 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_scaler_sunflower unchanged (53e405f78848)
2026-05-22 01:02:31.611 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_feature_names_sunf unchanged (62724be6ab8f)
2026-05-22 01:02:31.612 | INFO     | prospective_validation.model_loader:load_frozen_champion:176 | Registering CP2 custom layers (SelfAttention, ExtractLastNDVI, ScaleDelta) …
2026-05-22 01:02:58.449 | INFO     | prospective_validation.model_loader:load_frozen_champion:180 | Loading frozen LSTM champion: model_lstm_sunflower.keras
2026-05-22 01:02:59.303 | INFO     | prospective_validation.model_loader:load_frozen_champion:217 | Frozen champion loaded. LSTM sha256=43ef61b5a70f16cd (truncated)
2026-05-22 01:02:59.778 | INFO     | prospective_validation.integrity:ensure_unchanged:111 | [integrity] First-sight recorded for sunflower_doy_climatology → 3cd26360ff41
