ilce_id,ilce,il,year,wheat_classified_ha,sun_classified_ha
1163,Babaeski,Kırklareli,2017,26734.9,11801.7
1163,Babaeski,Kırklareli,2018,22705.5,11545.2
1163,Babaeski,Kırklareli,2019,27882.8,7770.6
1163,Babaeski,Kırklareli,2020,30667.5,3944.8
1163,Babaeski,Kırklareli,2021,29993.1,8550.3
1163,Babaeski,Kırklareli,2022,28052.5,8566.9
1163,Babaeski,Kırklareli,2023,30681.2,6052.0
1163,Babaeski,Kırklareli,2024,29215.7,2528.2
1250,Çerkezköy,Tekirdağ,2017,1697.6,587.3
1250,Çerkezköy,Tekirdağ,2018,1592.9,609.9
1250,Çerkezköy,Tekirdağ,2019,1975.8,330.8
1250,Çerkezköy,Tekirdağ,2020,1799.7,234.5
1250,Çerkezköy,Tekirdağ,2021,2284.0,174.0
1250,Çerkezköy,Tekirdağ,2022,1843.5,391.5
1250,Çerkezköy,Tekirdağ,2023,2346.3,55.9
1250,Çerkezköy,Tekirdağ,2024,2080.7,12.8
1258,Çorlu,Tekirdağ,2017,22391.9,9447.6
1258,Çorlu,Tekirdağ,2018,22595.7,6808.9
1258,Çorlu,Tekirdağ,2019,26585.9,2214.5
1258,Çorlu,Tekirdağ,2020,24248.3,2850.2
1258,Çorlu,Tekirdağ,2021,24565.9,5613.1
1258,Çorlu,Tekirdağ,2022,21873.9,7175.7
1258,Çorlu,Tekirdağ,2023,23941.4,1075.2
1258,Çorlu,Tekirdağ,2024,24387.5,530.5
1270,Demirköy,Kırklareli,2017,264.6,97.5
1270,Demirköy,Kırklareli,2018,158.3,61.1
1270,Demirköy,Kırklareli,2019,367.4,73.3
1270,Demirköy,Kırklareli,2020,350.3,65.3
1270,Demirköy,Kırklareli,2021,431.5,61.4
1270,Demirköy,Kırklareli,2022,363.4,36.6
1270,Demirköy,Kırklareli,2023,419.3,28.5
1270,Demirköy,Kırklareli,2024,466.3,49.6
1295,Merkez,Edirne,2017,33025.5,9586.4
1295,Merkez,Edirne,2018,25935.9,18239.4
1295,Merkez,Edirne,2019,31986.3,12865.0
1295,Merkez,Edirne,2020,36658.1,9000.0
1295,Merkez,Edirne,2021,34295.3,13008.8
1295,Merkez,Edirne,2022,32952.8,11061.3
1295,Merkez,Edirne,2023,34836.0,11225.0
1295,Merkez,Edirne,2024,36725.8,8441.3
1307,Enez,Edirne,2017,7933.6,4303.2
1307,Enez,Edirne,2018,8086.5,4173.0
1307,Enez,Edirne,2019,8847.2,4728.1
1307,Enez,Edirne,2020,8900.6,3632.2
1307,Enez,Edirne,2021,8810.5,4351.6
1307,Enez,Edirne,2022,7492.4,5157.4
1307,Enez,Edirne,2023,9004.5,3568.0
