ilce_id,ilce,il,year,crop,urun_tr,ekilen_alan_da,hasat_alan_da,verim_kg_da,uretim_ton
1307,Enez,Edirne,2004,aycicegi_yaglik,Ayçiçeği (Yağlık),37810.0,37810.0,171.0,6457.0
1307,Enez,Edirne,2004,bugday,Buğday,67890.0,67890.0,363.0,24644.0
1307,Enez,Edirne,2005,aycicegi_yaglik,Ayçiçeği (Yağlık),44150.0,44150.0,149.0,6577.0
1307,Enez,Edirne,2005,bugday,Buğday,72840.0,72840.0,312.0,22690.0
1307,Enez,Edirne,2006,aycicegi_yaglik,Ayçiçeği (Yağlık),44314.0,44314.0,170.0,7513.0
1307,Enez,Edirne,2006,bugday,Buğday,69619.0,69619.0,317.0,22041.0
1307,Enez,Edirne,2007,aycicegi_yaglik,Ayçiçeği (Yağlık),41179.0,41179.0,170.0,6987.0
1307,Enez,Edirne,2007,bugday,Buğday,65348.0,65348.0,363.0,23732.0
1307,Enez,Edirne,2008,aycicegi_yaglik,Ayçiçeği (Yağlık),42497.0,42497.0,149.0,6337.0
1307,Enez,Edirne,2008,bugday,Buğday,67793.0,67793.0,358.0,24256.0
1307,Enez,Edirne,2009,aycicegi_yaglik,Ayçiçeği (Yağlık),42934.0,42934.0,150.0,6429.0
1307,Enez,Edirne,2009,bugday,Buğday,61978.0,61978.0,315.0,19500.0
1307,Enez,Edirne,2010,aycicegi_yaglik,Ayçiçeği (Yağlık),45700.0,45700.0,248.0,11354.0
1307,Enez,Edirne,2010,bugday,Buğday,72000.0,72000.0,360.0,25920.0
1307,Enez,Edirne,2011,aycicegi_yaglik,Ayçiçeği (Yağlık),42118.0,42118.0,206.0,8663.0
1307,Enez,Edirne,2011,bugday,Buğday,66618.0,66618.0,247.0,16477.0
1307,Enez,Edirne,2012,aycicegi_yaglik,Ayçiçeği (Yağlık),38123.0,38123.0,196.0,7480.0
1307,Enez,Edirne,2012,bugday,Buğday,59540.0,59540.0,453.0,26944.0
1307,Enez,Edirne,2013,aycicegi_yaglik,Ayçiçeği (Yağlık),25756.0,25756.0,215.0,5541.0
1307,Enez,Edirne,2013,bugday,Buğday,59215.0,59215.0,355.0,20998.0
1307,Enez,Edirne,2014,aycicegi_yaglik,Ayçiçeği (Yağlık),30098.0,30098.0,270.0,8118.0
1307,Enez,Edirne,2014,bugday,Buğday,59396.0,59396.0,378.0,22479.0
1307,Enez,Edirne,2014,bugday_hasil,Buğday (Hasıl/Yeşilot),650.0,650.0,400.0,260.0
1307,Enez,Edirne,2015,aycicegi_yaglik,Ayçiçeği (Yağlık),26585.0,26585.0,227.0,6023.0
1307,Enez,Edirne,2015,bugday,Buğday,58637.0,58637.0,335.0,19625.0
1307,Enez,Edirne,2015,bugday_hasil,Buğday (Hasıl/Yeşilot),600.0,600.0,400.0,240.0
1307,Enez,Edirne,2016,aycicegi_yaglik,Ayçiçeği (Yağlık),29859.0,29859.0,266.0,7957.0
1307,Enez,Edirne,2016,bugday,Buğday,58702.0,58702.0,330.0,19358.0
1307,Enez,Edirne,2016,bugday_hasil,Buğday (Hasıl/Yeşilot),750.0,750.0,451.0,338.0
1307,Enez,Edirne,2017,aycicegi_yaglik,Ayçiçeği (Yağlık),27700.0,27700.0,256.0,7096.0
1307,Enez,Edirne,2017,bugday,Buğday,57560.0,57560.0,335.0,19275.0
1307,Enez,Edirne,2017,bugday_hasil,Buğday (Hasıl/Yeşilot),750.0,750.0,453.0,340.0
1307,Enez,Edirne,2018,aycicegi_yaglik,Ayçiçeği (Yağlık),27936.0,27936.0,276.0,7705.0
1307,Enez,Edirne,2018,bugday,Buğday,57202.0,57202.0,334.0,19084.0
1307,Enez,Edirne,2018,bugday_hasil,Buğday (Hasıl/Yeşilot),780.0,780.0,455.0,355.0
1307,Enez,Edirne,2019,aycicegi_yaglik,Ayçiçeği (Yağlık),24011.0,24011.0,282.0,6782.0
1307,Enez,Edirne,2019,bugday,Buğday,59000.0,59000.0,321.0,18933.0
1307,Enez,Edirne,2019,bugday_hasil,Buğday (Hasıl/Yeşilot),770.0,770.0,455.0,350.0
1307,Enez,Edirne,2020,aycicegi_yaglik,Ayçiçeği (Yağlık),28769.0,28769.0,292.0,8398.0
1307,Enez,Edirne,2020,bugday,Buğday,57670.0,57670.0,309.0,17833.0
1307,Enez,Edirne,2020,bugday_hasil,Buğday (Hasıl/Yeşilot),2200.0,2200.0,1000.0,2200.0
1307,Enez,Edirne,2021,aycicegi_yaglik,Ayçiçeği (Yağlık),31700.0,31700.0,202.0,6411.0
1307,Enez,Edirne,2021,bugday,Buğday,54000.0,54000.0,448.0,24174.0
1307,Enez,Edirne,2021,bugday_hasil,Buğday (Hasıl/Yeşilot),200.0,200.0,1000.0,200.0
1307,Enez,Edirne,2022,aycicegi_yaglik,Ayçiçeği (Yağlık),38610.0,38610.0,195.0,7526.0
1307,Enez,Edirne,2022,bugday,Buğday,44800.0,44800.0,398.0,17852.0
1307,Enez,Edirne,2022,bugday_hasil,Buğday (Hasıl/Yeşilot),350.0,350.0,1000.0,350.0
1307,Enez,Edirne,2023,aycicegi_yaglik,Ayçiçeği (Yağlık),43150.0,43150.0,157.0,6792.0
1307,Enez,Edirne,2023,bugday,Buğday,56500.0,56500.0,506.0,28585.0
1307,Enez,Edirne,2023,bugday_hasil,Buğday (Hasıl/Yeşilot),1300.0,1300.0,1000.0,1300.0
1307,Enez,Edirne,2024,aycicegi_yaglik,Ayçiçeği (Yağlık),41780.0,41780.0,130.0,5445.0
1307,Enez,Edirne,2024,bugday,Buğday,57015.0,57015.0,386.0,22020.0
1307,Enez,Edirne,2024,bugday_hasil,Buğday (Hasıl/Yeşilot),350.0,350.0,1000.0,350.0
1307,Enez,Edirne,2025,aycicegi_yaglik,Ayçiçeği (Yağlık),36380.0,36380.0,121.0,4404.0
1307,Enez,Edirne,2025,bugday,Buğday,57000.0,57000.0,301.0,17156.0
1307,Enez,Edirne,2025,bugday_hasil,Buğday (Hasıl/Yeşilot),272.0,272.0,2000.0,544.0
1385,Havsa,Edirne,2004,aycicegi_yaglik,Ayçiçeği (Yağlık),109990.0,109990.0,172.0,18951.0
1385,Havsa,Edirne,2004,bugday,Buğday,271550.0,271550.0,323.0,87621.0
1385,Havsa,Edirne,2005,aycicegi_yaglik,Ayçiçeği (Yağlık),111140.0,111140.0,186.0,20696.0
1385,Havsa,Edirne,2005,bugday,Buğday,291380.0,291380.0,350.0,102104.0
1385,Havsa,Edirne,2006,aycicegi_yaglik,Ayçiçeği (Yağlık),118168.0,118168.0,170.0,20034.0
1385,Havsa,Edirne,2006,bugday,Buğday,278477.0,278477.0,237.0,66124.0
1385,Havsa,Edirne,2007,aycicegi_yaglik,Ayçiçeği (Yağlık),118961.0,118961.0,178.0,21194.0
1385,Havsa,Edirne,2007,bugday,Buğday,252429.0,252429.0,444.0,112045.0
1385,Havsa,Edirne,2008,aycicegi_yaglik,Ayçiçeği (Yağlık),106550.0,106550.0,171.0,18271.0
1385,Havsa,Edirne,2008,bugday,Buğday,266468.0,266468.0,398.0,105933.0
1385,Havsa,Edirne,2009,aycicegi_yaglik,Ayçiçeği (Yağlık),103123.0,103123.0,172.0,17757.0
1385,Havsa,Edirne,2009,bugday,Buğday,236289.0,236289.0,350.0,82603.0
1385,Havsa,Edirne,2010,aycicegi_yaglik,Ayçiçeği (Yağlık),127105.0,127105.0,227.0,28871.0
1385,Havsa,Edirne,2010,bugday,Buğday,290000.0,290000.0,400.0,116000.0
1385,Havsa,Edirne,2011,aycicegi_yaglik,Ayçiçeği (Yağlık),140774.0,140774.0,192.0,27057.0
1385,Havsa,Edirne,2011,bugday,Buğday,231312.0,231312.0,283.0,65386.0
1385,Havsa,Edirne,2012,aycicegi_yaglik,Ayçiçeği (Yağlık),139245.0,139245.0,205.0,28540.0
1385,Havsa,Edirne,2012,bugday,Buğday,191357.0,191357.0,448.0,85669.0
1385,Havsa,Edirne,2013,aycicegi_yaglik,Ayçiçeği (Yağlık),119940.0,119940.0,244.0,29206.0
1385,Havsa,Edirne,2013,bugday,Buğday,189325.0,189325.0,381.0,72146.0
1385,Havsa,Edirne,2014,aycicegi_yaglik,Ayçiçeği (Yağlık),135989.0,135989.0,308.0,41837.0
1385,Havsa,Edirne,2014,bugday,Buğday,202662.0,202662.0,455.0,92211.0
1385,Havsa,Edirne,2015,aycicegi_yaglik,Ayçiçeği (Yağlık),165798.0,165798.0,251.0,41601.0
1385,Havsa,Edirne,2015,bugday,Buğday,172475.0,172475.0,375.0,64632.0
1385,Havsa,Edirne,2016,aycicegi_yaglik,Ayçiçeği (Yağlık),161845.0,161845.0,228.0,36960.0
1385,Havsa,Edirne,2016,bugday,Buğday,189006.0,189006.0,386.0,72864.0
1385,Havsa,Edirne,2017,aycicegi_yaglik,Ayçiçeği (Yağlık),167400.0,167400.0,259.0,43369.0
1385,Havsa,Edirne,2017,bugday,Buğday,193080.0,193080.0,390.0,75251.0
1385,Havsa,Edirne,2017,bugday_hasil,Buğday (Hasıl/Yeşilot),1970.0,1970.0,660.0,1300.0
1385,Havsa,Edirne,2018,aycicegi_yaglik,Ayçiçeği (Yağlık),155831.0,155831.0,233.0,36336.0
1385,Havsa,Edirne,2018,bugday,Buğday,195093.0,195093.0,368.0,71780.0
1385,Havsa,Edirne,2018,bugday_hasil,Buğday (Hasıl/Yeşilot),1750.0,1750.0,660.0,1155.0
1385,Havsa,Edirne,2019,aycicegi_yaglik,Ayçiçeği (Yağlık),128579.0,128579.0,212.0,27253.0
1385,Havsa,Edirne,2019,bugday,Buğday,192150.0,192150.0,411.0,78957.0
1385,Havsa,Edirne,2019,bugday_hasil,Buğday (Hasıl/Yeşilot),1500.0,1500.0,600.0,900.0
1385,Havsa,Edirne,2020,aycicegi_yaglik,Ayçiçeği (Yağlık),110340.0,110340.0,224.0,24706.0
1385,Havsa,Edirne,2020,bugday,Buğday,198770.0,198770.0,343.0,68253.0
1385,Havsa,Edirne,2020,bugday_hasil,Buğday (Hasıl/Yeşilot),1500.0,1500.0,600.0,900.0
1385,Havsa,Edirne,2020,durum_bugdayi,Durum Buğdayı,201.0,201.0,373.0,75.0
1385,Havsa,Edirne,2021,aycicegi_yaglik,Ayçiçeği (Yağlık),140194.0,140194.0,250.0,35046.0
1385,Havsa,Edirne,2021,bugday,Buğday,201435.0,201435.0,431.0,86784.0
1385,Havsa,Edirne,2021,bugday_hasil,Buğday (Hasıl/Yeşilot),610.0,610.0,800.0,488.0
1385,Havsa,Edirne,2021,durum_bugdayi,Durum Buğdayı,180.0,180.0,439.0,79.0
1385,Havsa,Edirne,2022,aycicegi_yaglik,Ayçiçeği (Yağlık),140475.0,140475.0,241.0,33904.0
1385,Havsa,Edirne,2022,bugday,Buğday,188353.0,188353.0,388.0,73159.0
1385,Havsa,Edirne,2022,bugday_hasil,Buğday (Hasıl/Yeşilot),267.0,267.0,801.0,214.0
1385,Havsa,Edirne,2023,aycicegi_yaglik,Ayçiçeği (Yağlık),157525.0,157525.0,231.0,36452.0
1385,Havsa,Edirne,2023,bugday,Buğday,196146.0,196146.0,533.0,104598.0
1385,Havsa,Edirne,2023,bugday_hasil,Buğday (Hasıl/Yeşilot),337.0,337.0,1000.0,337.0
1385,Havsa,Edirne,2024,aycicegi_yaglik,Ayçiçeği (Yağlık),150500.0,150500.0,132.0,19827.0
1385,Havsa,Edirne,2024,bugday,Buğday,180000.0,180000.0,396.0,71299.0
1385,Havsa,Edirne,2024,bugday_hasil,Buğday (Hasıl/Yeşilot),150.0,150.0,1000.0,150.0
1385,Havsa,Edirne,2025,aycicegi_yaglik,Ayçiçeği (Yağlık),148029.0,148029.0,141.0,20844.0
1385,Havsa,Edirne,2025,bugday,Buğday,196500.0,196500.0,324.0,63697.0
1385,Havsa,Edirne,2025,bugday_hasil,Buğday (Hasıl/Yeşilot),255.0,255.0,2502.0,638.0
1464,Keşan,Edirne,2004,aycicegi_yaglik,Ayçiçeği (Yağlık),186590.0,186590.0,171.0,31864.0
1464,Keşan,Edirne,2004,bugday,Buğday,237610.0,237610.0,323.0,76669.0
1464,Keşan,Edirne,2005,aycicegi_yaglik,Ayçiçeği (Yağlık),196230.0,196230.0,186.0,36540.0
1464,Keşan,Edirne,2005,bugday,Buğday,237960.0,237960.0,311.0,74120.0
1464,Keşan,Edirne,2006,aycicegi_yaglik,Ayçiçeği (Yağlık),187103.0,187103.0,212.0,39651.0
1464,Keşan,Edirne,2006,bugday,Buğday,227423.0,227423.0,317.0,72001.0
1464,Keşan,Edirne,2007,aycicegi_yaglik,Ayçiçeği (Yağlık),167866.0,167866.0,233.0,39166.0
1464,Keşan,Edirne,2007,bugday,Buğday,221429.0,221429.0,468.0,103646.0
1464,Keşan,Edirne,2008,aycicegi_yaglik,Ayçiçeği (Yağlık),172058.0,172058.0,224.0,38483.0
1464,Keşan,Edirne,2008,bugday,Buğday,229714.0,229714.0,493.0,113239.0
1464,Keşan,Edirne,2009,aycicegi_yaglik,Ayçiçeği (Yağlık),195811.0,195811.0,225.0,43979.0
1464,Keşan,Edirne,2009,bugday,Buğday,212494.0,212494.0,367.0,77999.0
1464,Keşan,Edirne,2010,aycicegi_yaglik,Ayçiçeği (Yağlık),195880.0,195880.0,245.0,47970.0
1464,Keşan,Edirne,2010,bugday,Buğday,250000.0,250000.0,384.0,96000.0
