file,column,dtype,non_null_pct,value_range_or_example,description
01_main_panel/calibration_features_layerA.csv,ilce_id,int64,100.0,1163..2096,TÜİK district (ilçe) numeric code
01_main_panel/calibration_features_layerA.csv,ilce,str,100.0,Babaeski,District name
01_main_panel/calibration_features_layerA.csv,il,str,100.0,Kırklareli,Province (Edirne/Kırklareli/Tekirdağ[/İstanbul])
01_main_panel/calibration_features_layerA.csv,year,int64,100.0,2004..2025,Calendar year
01_main_panel/calibration_features_layerA.csv,crop,str,100.0,aycicegi_yaglik,"Crop (bugday=winter wheat, aycicegi[_yaglik]=oilseed sunflower)"
01_main_panel/calibration_features_layerA.csv,verim_kg_da,float64,100.0,52..589,"District yield, kg per decare (TÜİK)"
01_main_panel/calibration_features_layerA.csv,gdd_cum_season,float64,100.0,1938..4716,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerA.csv,gdd_flowering,float64,100.0,437.6..677.9,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerA.csv,vernalization_days,int64,100.0,0..80,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerA.csv,tp_season_sum,float64,100.0,85.52..879.5,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerA.csv,tp_winter_sum,float64,50.6,74.24..613,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerA.csv,tp_flowering,float64,100.0,0.01..121.2,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerA.csv,tp_grain_fill,float64,100.0,0..129.3,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerA.csv,aridity_index,float64,100.0,0.06952..1.136,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerA.csv,heat_stress_days,int64,100.0,0..59,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerA.csv,t2m_flowering_mean,float64,100.0,13.85..29.76,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerA.csv,t2m_flowering_max,float64,100.0,18.5..37.97,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerA.csv,tdiff_mean,float64,100.0,4.996..14.96,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerA.csv,ssr_flowering_sum,float64,100.0,566.1..890.9,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerA.csv,ssr_season_sum,float64,100.0,3078..4453,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,ilce_id,int64,100.0,1163..2096,TÜİK district (ilçe) numeric code
01_main_panel/calibration_features_layerB.csv,ilce,str,100.0,Babaeski,District name
01_main_panel/calibration_features_layerB.csv,il,str,100.0,Kırklareli,Province (Edirne/Kırklareli/Tekirdağ[/İstanbul])
01_main_panel/calibration_features_layerB.csv,year,int64,100.0,2017..2024,Calendar year
01_main_panel/calibration_features_layerB.csv,crop,str,100.0,aycicegi_yaglik,"Crop (bugday=winter wheat, aycicegi[_yaglik]=oilseed sunflower)"
01_main_panel/calibration_features_layerB.csv,verim_kg_da,float64,100.0,78..589,"District yield, kg per decare (TÜİK)"
01_main_panel/calibration_features_layerB.csv,gdd_cum_season,float64,100.0,2137..4716,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,gdd_flowering,float64,100.0,439.6..671.5,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,vernalization_days,int64,100.0,0..70,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,tp_season_sum,float64,100.0,118.4..858.5,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,tp_winter_sum,float64,50.5,140.9..602.4,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,tp_flowering,float64,100.0,0.69..89.39,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,tp_grain_fill,float64,100.0,0.13..111.5,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,aridity_index,float64,100.0,0.0964..1.065,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,heat_stress_days,int64,100.0,0..59,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,t2m_flowering_mean,float64,100.0,13.85..29.59,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,t2m_flowering_max,float64,100.0,18.5..36.82,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,tdiff_mean,float64,100.0,4.996..14.37,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,ssr_flowering_sum,float64,100.0,566.1..878.3,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,ssr_season_sum,float64,100.0,3629..4312,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,ndvi_max,float64,100.0,0.4311..0.72,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,ndvi_mean_season,float64,100.0,0.2671..0.5133,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,ndvi_integral,float64,100.0,2.938..9.204,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,ndvi_flowering,float64,100.0,0.1719..0.6624,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,ndvi_grain_fill,float64,100.0,0.07788..0.5433,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,ndvi_spring_slope,float64,100.0,-0.005603..0.00251,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerB.csv,greenness_days,int64,100.0,0..80,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,ilce_id,int64,100.0,1163..2096,TÜİK district (ilçe) numeric code
01_main_panel/calibration_features_layerC.csv,ilce,str,100.0,Babaeski,District name
01_main_panel/calibration_features_layerC.csv,il,str,100.0,Kırklareli,Province (Edirne/Kırklareli/Tekirdağ[/İstanbul])
01_main_panel/calibration_features_layerC.csv,year,int64,100.0,2017..2024,Calendar year
01_main_panel/calibration_features_layerC.csv,crop,str,100.0,aycicegi_yaglik,"Crop (bugday=winter wheat, aycicegi[_yaglik]=oilseed sunflower)"
01_main_panel/calibration_features_layerC.csv,verim_kg_da,float64,100.0,78..589,"District yield, kg per decare (TÜİK)"
01_main_panel/calibration_features_layerC.csv,gdd_cum_season,float64,100.0,2137..4716,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,gdd_flowering,float64,100.0,439.6..671.5,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,vernalization_days,int64,100.0,0..70,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,tp_season_sum,float64,100.0,118.4..858.5,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,tp_winter_sum,float64,50.5,140.9..602.4,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,tp_flowering,float64,100.0,0.69..89.39,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,tp_grain_fill,float64,100.0,0.13..111.5,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,aridity_index,float64,100.0,0.0964..1.065,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,heat_stress_days,int64,100.0,0..59,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,t2m_flowering_mean,float64,100.0,13.85..29.59,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,t2m_flowering_max,float64,100.0,18.5..36.82,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,tdiff_mean,float64,100.0,4.996..14.37,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,ssr_flowering_sum,float64,100.0,566.1..878.3,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,ssr_season_sum,float64,100.0,3629..4312,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,ndvi_max,float64,100.0,0.4311..0.72,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,ndvi_mean_season,float64,100.0,0.2671..0.5133,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,ndvi_integral,float64,100.0,2.938..9.204,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,ndvi_flowering,float64,100.0,0.1719..0.6624,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,ndvi_grain_fill,float64,100.0,0.07788..0.5433,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,ndvi_spring_slope,float64,100.0,-0.005603..0.00251,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,greenness_days,int64,100.0,0..80,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,clay_0-5cm,float64,100.0,26.16..35.55,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,clay_5-15cm,float64,100.0,27.09..37.32,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,clay_15-30cm,float64,100.0,30.75..39.83,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,sand_0-5cm,float64,100.0,27..39.66,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,sand_5-15cm,float64,100.0,26.18..38.59,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,sand_15-30cm,float64,100.0,23.88..33.96,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,silt_0-5cm,float64,100.0,33.24..42.58,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,silt_5-15cm,float64,100.0,32.29..42.86,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,silt_15-30cm,float64,100.0,31.01..40.52,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,phh2o_0-5cm,float64,100.0,6.343..7.143,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,phh2o_5-15cm,float64,100.0,6.392..7.303,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,phh2o_15-30cm,float64,100.0,6.387..7.306,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,soc_0-5cm,float64,100.0,3.301..6.615,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,soc_5-15cm,float64,100.0,1.297..2.906,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,soc_15-30cm,float64,100.0,1.074..3.015,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,awc_0-5cm,float64,100.0,0.228..0.2658,see README / derived spectral or climate feature
01_main_panel/calibration_features_layerC.csv,awc_5-15cm,float64,100.0,0.2327..0.2685,see README / derived spectral or climate feature
