crop,cv,tier,model,r2,rmse,n
bugday,LOYO,A_full,pls,-0.2476,77.719,589
bugday,LOYO,A_full,elastic_net,-0.0918,72.706,589
bugday,LOYO,A_full,random_forest,-0.1688,75.227,589
bugday,LOYO,A_full,xgboost,-0.2339,77.292,589
bugday,LOYO,A_full,gpr,-0.1979,76.155,589
bugday,LOYO,A_matched,pls,-1.7716,117.296,213
bugday,LOYO,A_matched,elastic_net,-0.8591,96.065,213
bugday,LOYO,A_matched,random_forest,-0.8124,94.851,213
bugday,LOYO,A_matched,xgboost,-0.8978,97.061,213
bugday,LOYO,A_matched,gpr,-0.5747,88.414,213
bugday,LOYO,B,pls,-2.0438,122.921,213
bugday,LOYO,B,elastic_net,-0.966,98.79,213
bugday,LOYO,B,random_forest,-0.7394,92.923,213
bugday,LOYO,B,xgboost,-0.6368,90.138,213
bugday,LOYO,B,gpr,-0.5355,87.307,213
bugday,LOYO,C,pls,-1.1345,102.934,213
bugday,LOYO,C,elastic_net,-0.7242,92.514,213
bugday,LOYO,C,random_forest,-0.5543,87.837,213
bugday,LOYO,C,xgboost,-0.3114,80.684,213
bugday,LOYO,C,gpr,-0.541,87.461,213
bugday,LOILO,A_full,pls,0.0129,69.132,589
bugday,LOILO,A_full,elastic_net,0.0481,67.888,589
bugday,LOILO,A_full,random_forest,0.3616,55.598,589
bugday,LOILO,A_full,xgboost,0.3706,55.203,589
bugday,LOILO,A_full,gpr,0.4413,52.009,589
bugday,LOILO,A_matched,pls,0.0049,70.282,213
bugday,LOILO,A_matched,elastic_net,0.0248,69.578,213
bugday,LOILO,A_matched,random_forest,0.3571,56.49,213
bugday,LOILO,A_matched,xgboost,0.3261,57.839,213
bugday,LOILO,A_matched,gpr,0.4476,52.366,213
bugday,LOILO,B,pls,0.0761,67.722,213
bugday,LOILO,B,elastic_net,0.0656,68.106,213
bugday,LOILO,B,random_forest,0.4164,53.822,213
bugday,LOILO,B,xgboost,0.395,54.8,213
bugday,LOILO,B,gpr,0.4293,53.226,213
bugday,LOILO,C,pls,0.2097,62.633,213
bugday,LOILO,C,elastic_net,0.1804,63.785,213
bugday,LOILO,C,random_forest,0.3922,54.929,213
bugday,LOILO,C,xgboost,0.4268,53.342,213
bugday,LOILO,C,gpr,0.3416,57.169,213
aycicegi,LOYO,A_full,pls,-0.0725,52.665,576
aycicegi,LOYO,A_full,elastic_net,0.002,50.802,576
aycicegi,LOYO,A_full,random_forest,0.0509,49.542,576
aycicegi,LOYO,A_full,xgboost,-0.076,52.75,576
aycicegi,LOYO,A_full,gpr,-0.1122,53.63,576
aycicegi,LOYO,A_matched,pls,-0.6204,68.701,209
aycicegi,LOYO,A_matched,elastic_net,-0.3142,61.87,209
aycicegi,LOYO,A_matched,random_forest,-0.1936,58.962,209
aycicegi,LOYO,A_matched,xgboost,-0.3242,62.104,209
aycicegi,LOYO,A_matched,gpr,-0.2652,60.705,209
aycicegi,LOYO,B,pls,-0.1223,57.175,209
aycicegi,LOYO,B,elastic_net,-0.0265,54.68,209
aycicegi,LOYO,B,random_forest,0.2374,47.131,209
aycicegi,LOYO,B,xgboost,-0.1119,56.909,209
aycicegi,LOYO,B,gpr,0.2139,47.851,209
aycicegi,LOYO,C,pls,0.1514,49.717,209
aycicegi,LOYO,C,elastic_net,0.1859,48.694,209
aycicegi,LOYO,C,random_forest,0.3575,43.259,209
aycicegi,LOYO,C,xgboost,0.1935,48.466,209
aycicegi,LOYO,C,gpr,0.3865,42.273,209
aycicegi,LOILO,A_full,pls,0.1733,46.239,576
aycicegi,LOILO,A_full,elastic_net,0.129,47.459,576
aycicegi,LOILO,A_full,random_forest,0.4386,38.103,576
aycicegi,LOILO,A_full,xgboost,0.504,35.816,576
aycicegi,LOILO,A_full,gpr,0.4928,36.218,576
aycicegi,LOILO,A_matched,pls,0.1363,50.158,209
aycicegi,LOILO,A_matched,elastic_net,0.1431,49.959,209
aycicegi,LOILO,A_matched,random_forest,0.4672,39.395,209
aycicegi,LOILO,A_matched,xgboost,0.4315,40.692,209
aycicegi,LOILO,A_matched,gpr,0.4378,40.467,209
aycicegi,LOILO,B,pls,0.1767,48.968,209
aycicegi,LOILO,B,elastic_net,0.2489,46.774,209
aycicegi,LOILO,B,random_forest,0.4055,41.611,209
aycicegi,LOILO,B,xgboost,0.3291,44.204,209
aycicegi,LOILO,B,gpr,0.4496,40.039,209
aycicegi,LOILO,C,pls,0.3372,43.936,209
aycicegi,LOILO,C,elastic_net,0.3917,42.093,209
aycicegi,LOILO,C,random_forest,0.49,38.543,209
aycicegi,LOILO,C,xgboost,0.5213,37.342,209
aycicegi,LOILO,C,gpr,0.582,34.892,209
