layer,crop,cv,model,metric,point,ci_lo,ci_hi,boot_mean,boot_sd,method,n,n_boot,seed
A,aycicegi,LOILO,elastic_net,r2,0.129,0.0871,0.1662,0.1274,0.0204,iid,576,5000,12345
A,aycicegi,LOILO,elastic_net,rmse_kg_da,47.4591,44.5458,50.4202,47.4421,1.4982,iid,576,5000,12345
A,aycicegi,LOILO,elastic_net,mae_kg_da,37.5625,35.2749,39.9521,37.5748,1.1894,iid,576,5000,12345
A,aycicegi,LOILO,elastic_net,mape_pct,21.4568,19.4424,23.6964,21.4651,1.0933,iid,576,5000,12345
A,aycicegi,LOILO,elastic_net,bias_kg_da,0.0165,-3.7538,3.9646,0.075,1.9667,iid,576,5000,12345
A,aycicegi,LOILO,elastic_net,r2,0.129,0.0382,0.1877,0.1265,0.0381,cluster,576,5000,12345
A,aycicegi,LOILO,elastic_net,rmse_kg_da,47.4591,42.6989,52.5803,47.3769,2.5119,cluster,576,5000,12345
A,aycicegi,LOILO,elastic_net,mae_kg_da,37.5625,34.0947,41.5199,37.5386,1.8927,cluster,576,5000,12345
A,aycicegi,LOILO,elastic_net,mape_pct,21.4568,18.3548,26.1072,21.4547,2.0378,cluster,576,5000,12345
A,aycicegi,LOILO,elastic_net,bias_kg_da,0.0165,-6.7928,8.2543,0.0661,3.8266,cluster,576,5000,12345
A,aycicegi,LOILO,gpr,r2,0.4928,0.4289,0.5495,0.4915,0.0306,iid,576,5000,12345
A,aycicegi,LOILO,gpr,rmse_kg_da,36.2182,33.7062,38.7553,36.194,1.2789,iid,576,5000,12345
A,aycicegi,LOILO,gpr,mae_kg_da,27.7244,25.8572,29.6589,27.7322,0.9732,iid,576,5000,12345
A,aycicegi,LOILO,gpr,mape_pct,15.1815,13.791,16.6954,15.1842,0.7342,iid,576,5000,12345
A,aycicegi,LOILO,gpr,bias_kg_da,-0.2473,-3.161,2.6867,-0.2043,1.4893,iid,576,5000,12345
A,aycicegi,LOILO,gpr,r2,0.4928,0.4006,0.568,0.4894,0.0427,cluster,576,5000,12345
A,aycicegi,LOILO,gpr,rmse_kg_da,36.2182,32.1687,40.5012,36.1872,2.1104,cluster,576,5000,12345
A,aycicegi,LOILO,gpr,mae_kg_da,27.7244,24.718,31.0871,27.7413,1.6306,cluster,576,5000,12345
A,aycicegi,LOILO,gpr,mape_pct,15.1815,12.9539,18.1238,15.1967,1.3525,cluster,576,5000,12345
A,aycicegi,LOILO,gpr,bias_kg_da,-0.2473,-5.9907,6.31,-0.19,3.0992,cluster,576,5000,12345
A,aycicegi,LOILO,pls,r2,0.1733,0.1022,0.2366,0.1715,0.0343,iid,576,5000,12345
A,aycicegi,LOILO,pls,rmse_kg_da,46.2385,43.2631,49.2019,46.2169,1.5247,iid,576,5000,12345
A,aycicegi,LOILO,pls,mae_kg_da,36.1294,33.8647,38.4764,36.1389,1.1834,iid,576,5000,12345
A,aycicegi,LOILO,pls,mape_pct,20.3049,18.4326,22.4165,20.3119,1.0163,iid,576,5000,12345
A,aycicegi,LOILO,pls,bias_kg_da,0.1645,-3.4643,4.0036,0.2274,1.9029,iid,576,5000,12345
A,aycicegi,LOILO,pls,r2,0.1733,0.0569,0.254,0.1706,0.0505,cluster,576,5000,12345
A,aycicegi,LOILO,pls,rmse_kg_da,46.2385,41.3088,51.8604,46.1586,2.6934,cluster,576,5000,12345
A,aycicegi,LOILO,pls,mae_kg_da,36.1294,32.75,40.2041,36.1259,1.9218,cluster,576,5000,12345
A,aycicegi,LOILO,pls,mape_pct,20.3049,17.2563,25.036,20.3092,2.0527,cluster,576,5000,12345
A,aycicegi,LOILO,pls,bias_kg_da,0.1645,-6.9259,8.5611,0.2052,3.9242,cluster,576,5000,12345
A,aycicegi,LOILO,random_forest,r2,0.4386,0.3816,0.4921,0.4375,0.028,iid,576,5000,12345
A,aycicegi,LOILO,random_forest,rmse_kg_da,38.1025,35.4175,40.8614,38.0802,1.3829,iid,576,5000,12345
A,aycicegi,LOILO,random_forest,mae_kg_da,29.397,27.416,31.445,29.4121,1.0209,iid,576,5000,12345
A,aycicegi,LOILO,random_forest,mape_pct,16.3437,14.7964,18.024,16.3503,0.8289,iid,576,5000,12345
A,aycicegi,LOILO,random_forest,bias_kg_da,0.1502,-2.9,3.2276,0.1974,1.5842,iid,576,5000,12345
A,aycicegi,LOILO,random_forest,r2,0.4386,0.372,0.4946,0.4364,0.0313,cluster,576,5000,12345
A,aycicegi,LOILO,random_forest,rmse_kg_da,38.1025,34.0152,42.2649,38.0513,2.1223,cluster,576,5000,12345
A,aycicegi,LOILO,random_forest,mae_kg_da,29.397,26.3776,32.6871,29.3954,1.6323,cluster,576,5000,12345
A,aycicegi,LOILO,random_forest,mape_pct,16.3437,13.9973,19.659,16.3511,1.477,cluster,576,5000,12345
A,aycicegi,LOILO,random_forest,bias_kg_da,0.1502,-5.1922,6.3494,0.1965,2.9597,cluster,576,5000,12345
A,aycicegi,LOILO,xgboost,r2,0.504,0.4343,0.567,0.5026,0.0337,iid,576,5000,12345
A,aycicegi,LOILO,xgboost,rmse_kg_da,35.8162,33.2346,38.5007,35.7906,1.3347,iid,576,5000,12345
A,aycicegi,LOILO,xgboost,mae_kg_da,27.0863,25.1794,29.0439,27.0911,0.9805,iid,576,5000,12345
A,aycicegi,LOILO,xgboost,mape_pct,14.9088,13.4808,16.4281,14.9101,0.7391,iid,576,5000,12345
