layer,crop,cv,model,n_pub,n_rec,d_r2,d_rmse_kg_da,d_mae_kg_da,d_mape_pct,d_bias_kg_da,d_ss_vs_b0,max_abs_diff,status
A,bugday,LOYO,pls,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,LOYO,elastic_net,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,LOYO,random_forest,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,LOYO,xgboost,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,LOYO,gpr,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,LOILO,pls,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,LOILO,elastic_net,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,LOILO,random_forest,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,LOILO,xgboost,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,LOILO,gpr,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,Spatiotemporal,pls,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,Spatiotemporal,elastic_net,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,Spatiotemporal,random_forest,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,Spatiotemporal,xgboost,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,bugday,Spatiotemporal,gpr,589,589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,LOYO,pls,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,LOYO,elastic_net,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,LOYO,random_forest,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,LOYO,xgboost,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,LOYO,gpr,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,LOILO,pls,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,LOILO,elastic_net,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,LOILO,random_forest,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,LOILO,xgboost,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,LOILO,gpr,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,Spatiotemporal,pls,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,Spatiotemporal,elastic_net,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,Spatiotemporal,random_forest,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,Spatiotemporal,xgboost,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
A,aycicegi,Spatiotemporal,gpr,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
B,bugday,LOYO,pls,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
B,bugday,LOYO,elastic_net,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
B,bugday,LOYO,random_forest,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
B,bugday,LOYO,xgboost,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
B,bugday,LOYO,gpr,213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
