crop,tier,model,test_year,n,model_rmse,persistence_rmse,climatology_rmse,model_r2,skill_score_vs_clim
bugday,A,pls,2011,26,50.725,68.33,52.53,0.0556,0.0344
bugday,A,elastic_net,2011,26,51.946,68.33,52.53,0.0095,0.0111
bugday,A,random_forest,2011,26,49.406,68.33,52.53,0.104,0.0595
bugday,A,xgboost,2011,26,51.555,68.33,52.53,0.0244,0.0186
bugday,A,gpr,2011,26,48.526,68.33,52.53,0.1356,0.0762
bugday,A,pls,2012,25,107.225,131.065,94.903,-5.0359,-0.1298
bugday,A,elastic_net,2012,25,93.567,131.065,94.903,-3.5962,0.0141
bugday,A,random_forest,2012,25,76.545,131.065,94.903,-2.076,0.1934
bugday,A,xgboost,2012,25,94.256,131.065,94.903,-3.6642,0.0068
bugday,A,gpr,2012,25,86.43,131.065,94.903,-2.9217,0.0893
bugday,A,pls,2013,27,37.258,87.573,33.256,-1.0654,-0.1203
bugday,A,elastic_net,2013,27,27.5,87.573,33.256,-0.1252,0.1731
bugday,A,random_forest,2013,27,35.934,87.573,33.256,-0.9212,-0.0805
bugday,A,xgboost,2013,27,39.118,87.573,33.256,-1.2768,-0.1763
bugday,A,gpr,2013,27,32.788,87.573,33.256,-0.5996,0.0141
bugday,A,pls,2014,27,53.685,52.071,56.128,-2.063,0.0435
bugday,A,elastic_net,2014,27,53.068,52.071,56.128,-1.993,0.0545
bugday,A,random_forest,2014,27,69.705,52.071,56.128,-4.1637,-0.2419
bugday,A,xgboost,2014,27,54.1,52.071,56.128,-2.1106,0.0361
bugday,A,gpr,2014,27,59.007,52.071,56.128,-2.7004,-0.0513
bugday,A,pls,2015,27,45.931,56.813,38.627,0.0246,-0.1891
bugday,A,elastic_net,2015,27,48.876,56.813,38.627,-0.1045,-0.2653
bugday,A,random_forest,2015,27,58.237,56.813,38.627,-0.5682,-0.5077
bugday,A,xgboost,2015,27,58.83,56.813,38.627,-0.6003,-0.523
bugday,A,gpr,2015,27,59.431,56.813,38.627,-0.6331,-0.5386
bugday,A,pls,2016,27,59.892,32.482,36.426,-0.1725,-0.6442
bugday,A,elastic_net,2016,27,56.728,32.482,36.426,-0.0519,-0.5574
bugday,A,random_forest,2016,27,76.483,32.482,36.426,-0.9121,-1.0997
bugday,A,xgboost,2016,27,83.908,32.482,36.426,-1.3014,-1.3035
bugday,A,gpr,2016,27,49.265,32.482,36.426,0.2066,-0.3525
bugday,A,pls,2017,27,87.644,39.53,63.147,-0.806,-0.3879
bugday,A,elastic_net,2017,27,82.819,39.53,63.147,-0.6126,-0.3115
bugday,A,random_forest,2017,27,92.08,39.53,63.147,-0.9935,-0.4582
bugday,A,xgboost,2017,27,84.52,39.53,63.147,-0.6796,-0.3385
bugday,A,gpr,2017,27,89.357,39.53,63.147,-0.8773,-0.4151
bugday,A,pls,2018,27,60.943,88.542,56.36,-1.3308,-0.0813
bugday,A,elastic_net,2018,27,50.381,88.542,56.36,-0.5929,0.1061
bugday,A,random_forest,2018,27,61.825,88.542,56.36,-1.3987,-0.097
bugday,A,xgboost,2018,27,64.638,88.542,56.36,-1.6219,-0.1469
bugday,A,gpr,2018,27,55.096,88.542,56.36,-0.905,0.0224
bugday,A,pls,2019,27,59.985,82.169,44.869,-0.011,-0.3369
bugday,A,elastic_net,2019,27,60.959,82.169,44.869,-0.0441,-0.3586
bugday,A,random_forest,2019,27,52.952,82.169,44.869,0.2121,-0.1802
bugday,A,xgboost,2019,27,51.258,82.169,44.869,0.2617,-0.1424
bugday,A,gpr,2019,27,53.297,82.169,44.869,0.2019,-0.1878
bugday,A,pls,2020,27,46.669,59.187,36.682,-0.0061,-0.2723
bugday,A,elastic_net,2020,27,46.689,59.187,36.682,-0.0069,-0.2728
bugday,A,random_forest,2020,27,47.103,59.187,36.682,-0.0249,-0.2841
bugday,A,xgboost,2020,27,53.582,59.187,36.682,-0.3262,-0.4607
bugday,A,gpr,2020,27,47.77,59.187,36.682,-0.0541,-0.3023
bugday,A,pls,2021,28,144.092,123.739,117.933,-4.8781,-0.2218
bugday,A,elastic_net,2021,28,138.895,123.739,117.933,-4.4617,-0.1777
bugday,A,random_forest,2021,28,124.776,123.739,117.933,-3.4078,-0.058
bugday,A,xgboost,2021,28,128.298,123.739,117.933,-3.6601,-0.0879
bugday,A,gpr,2021,28,140.699,123.739,117.933,-4.6045,-0.193
bugday,A,pls,2022,28,52.14,91.258,33.69,-0.4024,-0.5476
bugday,A,elastic_net,2022,28,52.604,91.258,33.69,-0.4275,-0.5614
bugday,A,random_forest,2022,28,66.561,91.258,33.69,-1.2855,-0.9757
bugday,A,xgboost,2022,28,69.62,91.258,33.69,-1.5003,-1.0665
bugday,A,gpr,2022,28,52.015,91.258,33.69,-0.3957,-0.5439
bugday,A,pls,2023,28,123.616,90.408,105.2,-0.9051,-0.1751
bugday,A,elastic_net,2023,28,96.293,90.408,105.2,-0.156,0.0847
bugday,A,random_forest,2023,28,91.511,90.408,105.2,-0.0441,0.1301
bugday,A,xgboost,2023,28,103.065,90.408,105.2,-0.3243,0.0203
bugday,A,gpr,2023,28,107.248,90.408,105.2,-0.434,-0.0195
bugday,A,pls,2024,28,43.695,94.098,31.366,0.1154,-0.3931
bugday,A,elastic_net,2024,28,44.091,94.098,31.366,0.0993,-0.4057
bugday,A,random_forest,2024,28,48.155,94.098,31.366,-0.0744,-0.5353
bugday,A,xgboost,2024,28,42.603,94.098,31.366,0.1591,-0.3582
bugday,A,gpr,2024,28,44.202,94.098,31.366,0.0948,-0.4092
bugday,A,pls,2025,28,89.846,78.95,73.546,-1.6398,-0.2216
bugday,A,elastic_net,2025,28,91.962,78.95,73.546,-1.7656,-0.2504
bugday,A,random_forest,2025,28,97.73,78.95,73.546,-2.1234,-0.3288
bugday,A,xgboost,2025,28,103.791,78.95,73.546,-2.5227,-0.4112
bugday,A,gpr,2025,28,81.799,78.95,73.546,-1.1881,-0.1122
aycicegi,A,pls,2011,25,30.419,54.339,29.011,-1.069,-0.0485
aycicegi,A,elastic_net,2011,25,28.79,54.339,29.011,-0.8534,0.0076
aycicegi,A,random_forest,2011,25,29.868,54.339,29.011,-0.9947,-0.0295
aycicegi,A,xgboost,2011,25,34.471,54.339,29.011,-1.657,-0.1882
aycicegi,A,gpr,2011,25,38.364,54.339,29.011,-2.2909,-0.3224
aycicegi,A,pls,2012,25,32.419,35.812,35.877,-0.4745,0.0964
aycicegi,A,elastic_net,2012,25,31.899,35.812,35.877,-0.4276,0.1109
aycicegi,A,random_forest,2012,25,33.902,35.812,35.877,-0.6124,0.0551
aycicegi,A,xgboost,2012,25,48.083,35.812,35.877,-2.2435,-0.3402
aycicegi,A,gpr,2012,25,34.555,35.812,35.877,-0.6752,0.0368
aycicegi,A,pls,2013,27,61.251,41.477,54.315,-11.4623,-0.1277
aycicegi,A,elastic_net,2013,27,58.748,41.477,54.315,-10.4647,-0.0816
aycicegi,A,random_forest,2013,27,64.607,41.477,54.315,-12.8654,-0.1895
aycicegi,A,xgboost,2013,27,63.806,41.477,54.315,-12.5238,-0.1747
aycicegi,A,gpr,2013,27,58.811,41.477,54.315,-10.4893,-0.0828
aycicegi,A,pls,2014,27,95.302,41.683,66.089,-6.0488,-0.442
aycicegi,A,elastic_net,2014,27,82.129,41.683,66.089,-4.2349,-0.2427
aycicegi,A,random_forest,2014,27,87.133,41.683,66.089,-4.8922,-0.3184
aycicegi,A,xgboost,2014,27,83.616,41.683,66.089,-4.4261,-0.2652
aycicegi,A,gpr,2014,27,65.17,41.683,66.089,-2.2962,0.0139
aycicegi,A,pls,2015,27,44.148,40.903,38.866,-1.5225,-0.1359
aycicegi,A,elastic_net,2015,27,41.926,40.903,38.866,-1.275,-0.0787
aycicegi,A,random_forest,2015,27,47.491,40.903,38.866,-1.919,-0.2219
aycicegi,A,xgboost,2015,27,54.01,40.903,38.866,-2.7753,-0.3896
aycicegi,A,gpr,2015,27,52.791,40.903,38.866,-2.6069,-0.3583
aycicegi,A,pls,2016,27,30.409,30.174,26.759,-0.3422,-0.1364
aycicegi,A,elastic_net,2016,27,31.16,30.174,26.759,-0.4093,-0.1644
aycicegi,A,random_forest,2016,27,25.142,30.174,26.759,0.0824,0.0604
aycicegi,A,xgboost,2016,27,26.759,30.174,26.759,-0.0393,0.0
aycicegi,A,gpr,2016,27,32.352,30.174,26.759,-0.5192,-0.209
aycicegi,A,pls,2017,27,47.412,36.235,44.266,-2.3533,-0.0711
aycicegi,A,elastic_net,2017,27,45.948,36.235,44.266,-2.1495,-0.038
aycicegi,A,random_forest,2017,27,49.38,36.235,44.266,-2.6375,-0.1155
aycicegi,A,xgboost,2017,27,48.179,36.235,44.266,-2.4627,-0.0884
aycicegi,A,gpr,2017,27,56.897,36.235,44.266,-3.8292,-0.2853
aycicegi,A,pls,2018,27,31.5,26.579,48.151,-0.0855,0.3458
aycicegi,A,elastic_net,2018,27,37.973,26.579,48.151,-0.5775,0.2114
aycicegi,A,random_forest,2018,27,43.217,26.579,48.151,-1.0433,0.1025
aycicegi,A,xgboost,2018,27,41.723,26.579,48.151,-0.9045,0.1335
aycicegi,A,gpr,2018,27,27.795,26.579,48.151,0.1548,0.4228
aycicegi,A,pls,2019,27,61.947,33.389,56.312,-2.4291,-0.1001
aycicegi,A,elastic_net,2019,27,60.645,33.389,56.312,-2.2865,-0.0769
aycicegi,A,random_forest,2019,27,74.001,33.389,56.312,-3.8936,-0.3141
aycicegi,A,xgboost,2019,27,72.358,33.389,56.312,-3.6787,-0.2849
aycicegi,A,gpr,2019,27,65.642,33.389,56.312,-2.8505,-0.1657
aycicegi,A,pls,2020,27,74.34,27.975,64.019,-2.8967,-0.1612
aycicegi,A,elastic_net,2020,27,72.413,27.975,64.019,-2.6973,-0.1311
aycicegi,A,random_forest,2020,27,66.939,27.975,64.019,-2.1595,-0.0456
aycicegi,A,xgboost,2020,27,64.795,27.975,64.019,-1.9603,-0.0121
aycicegi,A,gpr,2020,27,64.722,27.975,64.019,-1.9537,-0.011
aycicegi,A,pls,2021,27,60.114,43.759,47.152,-1.8885,-0.2749
aycicegi,A,elastic_net,2021,27,53.452,43.759,47.152,-1.2837,-0.1336
aycicegi,A,random_forest,2021,27,53.688,43.759,47.152,-1.3039,-0.1386
aycicegi,A,xgboost,2021,27,67.84,43.759,47.152,-2.6787,-0.4388
aycicegi,A,gpr,2021,27,66.786,43.759,47.152,-2.5653,-0.4164
aycicegi,A,pls,2022,27,58.056,37.95,44.172,-0.4279,-0.3143
aycicegi,A,elastic_net,2022,27,50.077,37.95,44.172,-0.0624,-0.1337
aycicegi,A,random_forest,2022,27,40.219,37.95,44.172,0.3147,0.0895
aycicegi,A,xgboost,2022,27,43.651,37.95,44.172,0.1928,0.0118
aycicegi,A,gpr,2022,27,54.516,37.95,44.172,-0.2591,-0.2342
aycicegi,A,pls,2023,27,81.344,78.742,76.599,-1.1458,-0.0619
aycicegi,A,elastic_net,2023,27,77.75,78.742,76.599,-0.9604,-0.015
aycicegi,A,random_forest,2023,27,82.877,78.742,76.599,-1.2275,-0.0819
aycicegi,A,xgboost,2023,27,76.203,78.742,76.599,-0.8832,0.0052
aycicegi,A,gpr,2023,27,90.026,78.742,76.599,-1.6283,-0.1753
aycicegi,A,pls,2024,27,72.258,61.02,58.032,-4.6115,-0.2451
aycicegi,A,elastic_net,2024,27,65.394,61.02,58.032,-3.5961,-0.1269
aycicegi,A,random_forest,2024,27,60.597,61.02,58.032,-2.9465,-0.0442
aycicegi,A,xgboost,2024,27,67.627,61.02,58.032,-3.9152,-0.1653
aycicegi,A,gpr,2024,27,66.799,61.02,58.032,-3.7956,-0.1511
aycicegi,A,pls,2025,27,62.347,46.394,84.418,-4.027,0.2615
aycicegi,A,elastic_net,2025,27,72.387,46.394,84.418,-5.7764,0.1425
aycicegi,A,random_forest,2025,27,57.2,46.394,84.418,-3.2312,0.3224
aycicegi,A,xgboost,2025,27,54.3,46.394,84.418,-2.813,0.3568
aycicegi,A,gpr,2025,27,56.186,46.394,84.418,-3.0826,0.3344
bugday,B,pls,2021,27,127.324,125.699,113.982,-3.426,-0.1171
bugday,B,elastic_net,2021,27,118.621,125.699,113.982,-2.8416,-0.0407
bugday,B,random_forest,2021,27,128.444,125.699,113.982,-3.5042,-0.1269
bugday,B,xgboost,2021,27,125.862,125.699,113.982,-3.3249,-0.1042
bugday,B,gpr,2021,27,121.345,125.699,113.982,-3.0201,-0.0646
bugday,B,pls,2022,27,75.06,91.482,29.575,-1.8033,-1.5379
bugday,B,elastic_net,2022,27,58.643,91.482,29.575,-0.7111,-0.9828
bugday,B,random_forest,2022,27,55.231,91.482,29.575,-0.5178,-0.8675
bugday,B,xgboost,2022,27,62.477,91.482,29.575,-0.9422,-1.1125
bugday,B,gpr,2022,27,51.313,91.482,29.575,-0.3101,-0.735
bugday,B,pls,2023,28,176.68,91.745,105.145,-2.8918,-0.6804
bugday,B,elastic_net,2023,28,132.28,91.745,105.145,-1.1816,-0.2581
bugday,B,random_forest,2023,28,101.085,91.745,105.145,-0.2739,0.0386
bugday,B,xgboost,2023,28,106.371,91.745,105.145,-0.4107,-0.0117
bugday,B,gpr,2023,28,108.12,91.745,105.145,-0.4574,-0.0283
bugday,B,pls,2024,27,132.536,95.341,35.383,-6.8947,-2.7458
bugday,B,elastic_net,2024,27,82.954,95.341,35.383,-2.0927,-1.3445
bugday,B,random_forest,2024,27,45.583,95.341,35.383,0.0662,-0.2883
bugday,B,xgboost,2024,27,49.476,95.341,35.383,-0.1002,-0.3983
bugday,B,gpr,2024,27,83.477,95.341,35.383,-2.1318,-1.3592
aycicegi,B,pls,2021,26,41.952,43.629,35.698,-0.3676,-0.1752
aycicegi,B,elastic_net,2021,26,34.502,43.629,35.698,0.075,0.0335
aycicegi,B,random_forest,2021,26,30.871,43.629,35.698,0.2594,0.1352
aycicegi,B,xgboost,2021,26,33.628,43.629,35.698,0.1213,0.058
