crop,issuance_stage,n_features,model,cv,n,model_rmse,climatology_rmse,model_r2,skill_score_vs_clim
bugday,pre_season,6,pls,LOYO,213,70.787,68.813,-0.0094,-0.0287
bugday,pre_season,6,elastic_net,LOYO,213,70.94,68.813,-0.0138,-0.0309
bugday,pre_season,6,random_forest,LOYO,213,68.689,68.813,0.0495,0.0018
bugday,pre_season,6,xgboost,LOYO,213,69.01,68.813,0.0406,-0.0029
bugday,pre_season,6,gpr,LOYO,213,69.917,68.813,0.0152,-0.016
bugday,vegetative,9,pls,LOYO,213,77.897,68.813,-0.2224,-0.132
bugday,vegetative,9,elastic_net,LOYO,213,74.521,68.813,-0.1187,-0.0829
bugday,vegetative,9,random_forest,LOYO,213,78.237,68.813,-0.2331,-0.1369
bugday,vegetative,9,xgboost,LOYO,213,83.703,68.813,-0.4114,-0.2164
bugday,vegetative,9,gpr,LOYO,213,78.388,68.813,-0.2378,-0.1391
bugday,flowering,15,pls,LOYO,213,93.665,68.813,-0.7673,-0.3611
bugday,flowering,15,elastic_net,LOYO,213,82.845,68.813,-0.3826,-0.2039
bugday,flowering,15,random_forest,LOYO,213,86.38,68.813,-0.5031,-0.2553
bugday,flowering,15,xgboost,LOYO,213,85.021,68.813,-0.4562,-0.2355
bugday,flowering,15,gpr,LOYO,213,79.31,68.813,-0.2671,-0.1525
bugday,grain_fill,18,pls,LOYO,213,101.083,68.813,-1.0584,-0.4689
bugday,grain_fill,18,elastic_net,LOYO,213,86.788,68.813,-0.5174,-0.2612
bugday,grain_fill,18,random_forest,LOYO,213,84.928,68.813,-0.453,-0.2342
bugday,grain_fill,18,xgboost,LOYO,213,79.502,68.813,-0.2733,-0.1553
bugday,grain_fill,18,gpr,LOYO,213,79.997,68.813,-0.2892,-0.1625
bugday,end_of_season,27,pls,LOYO,213,102.934,68.813,-1.1345,-0.4958
bugday,end_of_season,27,elastic_net,LOYO,213,92.513,68.813,-0.7242,-0.3444
bugday,end_of_season,27,random_forest,LOYO,213,88.364,68.813,-0.573,-0.2841
bugday,end_of_season,27,xgboost,LOYO,213,80.364,68.813,-0.301,-0.1679
bugday,end_of_season,27,gpr,LOYO,213,87.461,68.813,-0.541,-0.271
aycicegi,pre_season,6,pls,LOYO,209,55.996,54.44,-0.0765,-0.0286
aycicegi,pre_season,6,elastic_net,LOYO,209,55.853,54.44,-0.071,-0.026
aycicegi,pre_season,6,random_forest,LOYO,209,54.558,54.44,-0.0219,-0.0022
aycicegi,pre_season,6,xgboost,LOYO,209,54.514,54.44,-0.0203,-0.0014
aycicegi,pre_season,6,gpr,LOYO,209,55.263,54.44,-0.0485,-0.0151
aycicegi,vegetative,9,pls,LOYO,209,54.323,54.44,-0.0131,0.0021
aycicegi,vegetative,9,elastic_net,LOYO,209,54.503,54.44,-0.0199,-0.0012
aycicegi,vegetative,9,random_forest,LOYO,209,50.959,54.44,0.1085,0.0639
aycicegi,vegetative,9,xgboost,LOYO,209,56.617,54.44,-0.1005,-0.04
aycicegi,vegetative,9,gpr,LOYO,209,52.011,54.44,0.0713,0.0446
aycicegi,flowering,15,pls,LOYO,209,45.509,54.44,0.2889,0.164
aycicegi,flowering,15,elastic_net,LOYO,209,45.696,54.44,0.2831,0.1606
aycicegi,flowering,15,random_forest,LOYO,209,41.524,54.44,0.408,0.2372
aycicegi,flowering,15,xgboost,LOYO,209,46.332,54.44,0.263,0.1489
aycicegi,flowering,15,gpr,LOYO,209,42.432,54.44,0.3819,0.2206
aycicegi,grain_fill,18,pls,LOYO,209,46.798,54.44,0.2481,0.1404
aycicegi,grain_fill,18,elastic_net,LOYO,209,46.408,54.44,0.2606,0.1475
aycicegi,grain_fill,18,random_forest,LOYO,209,42.453,54.44,0.3812,0.2202
aycicegi,grain_fill,18,xgboost,LOYO,209,45.063,54.44,0.3028,0.1723
aycicegi,grain_fill,18,gpr,LOYO,209,41.578,54.44,0.4065,0.2363
aycicegi,end_of_season,27,pls,LOYO,209,49.717,54.44,0.1514,0.0868
aycicegi,end_of_season,27,elastic_net,LOYO,209,48.694,54.44,0.1859,0.1055
aycicegi,end_of_season,27,random_forest,LOYO,209,43.06,54.44,0.3634,0.209
aycicegi,end_of_season,27,xgboost,LOYO,209,48.002,54.44,0.2089,0.1182
aycicegi,end_of_season,27,gpr,LOYO,209,42.273,54.44,0.3865,0.2235
