crop,algorithm,cv,n,r2_climate_matched,r2_climate_ndvi,r2_climate_ndvi_soil,delta_r2_ndvi,delta_r2_soil
bugday,pls,LOYO,213,-1.7716,-2.0438,-1.1345,-0.2722,0.9093
bugday,elastic_net,LOYO,213,-0.8591,-0.966,-0.7242,-0.1069,0.2418
bugday,random_forest,LOYO,213,-0.8124,-0.7394,-0.5543,0.073,0.1851
bugday,xgboost,LOYO,213,-0.8978,-0.6368,-0.3114,0.261,0.3254
bugday,gpr,LOYO,213,-0.5747,-0.5355,-0.541,0.0392,-0.0055
aycicegi,pls,LOYO,209,-0.6204,-0.1223,0.1514,0.4981,0.2737
aycicegi,elastic_net,LOYO,209,-0.3142,-0.0265,0.1859,0.2877,0.2124
aycicegi,random_forest,LOYO,209,-0.1936,0.2374,0.3575,0.431,0.1201
aycicegi,xgboost,LOYO,209,-0.3242,-0.1119,0.1935,0.2123,0.3054
aycicegi,gpr,LOYO,209,-0.2652,0.2139,0.3865,0.4791,0.1726
