crop,tier,model,feature,imp_mean,imp_ci_low,imp_ci_high,metric,n_folds
aycicegi,A,random_forest,gdd_cum_season,3.0247,2.1385,3.9423,increase in RMSE (kg/da),22
aycicegi,A,random_forest,tdiff_mean,0.6749,0.1776,1.2524,increase in RMSE (kg/da),22
aycicegi,A,random_forest,heat_stress_days,0.5625,0.0712,1.1366,increase in RMSE (kg/da),22
aycicegi,A,random_forest,tp_grain_fill,0.1425,-0.0957,0.4045,increase in RMSE (kg/da),22
aycicegi,A,random_forest,tp_flowering,0.1405,-0.0515,0.3328,increase in RMSE (kg/da),22
aycicegi,A,random_forest,tp_season_sum,0.1338,-0.7806,1.1003,increase in RMSE (kg/da),22
aycicegi,A,random_forest,ssr_season_sum,0.0207,-0.2381,0.289,increase in RMSE (kg/da),22
aycicegi,A,random_forest,vernalization_days,0.0,-0.0,0.0,increase in RMSE (kg/da),22
aycicegi,C,random_forest,ndvi_flowering,5.5165,2.4261,9.1127,increase in RMSE (kg/da),8
aycicegi,C,random_forest,soc_0-5cm,2.1203,1.608,2.7219,increase in RMSE (kg/da),8
aycicegi,C,random_forest,phh2o_0-5cm,0.5308,0.283,0.8086,increase in RMSE (kg/da),8
aycicegi,C,random_forest,sand_0-5cm,0.3879,-0.2364,0.9215,increase in RMSE (kg/da),8
aycicegi,C,random_forest,clay_0-5cm,0.3268,0.0213,0.6269,increase in RMSE (kg/da),8
aycicegi,C,random_forest,ssr_season_sum,0.2596,0.0123,0.5876,increase in RMSE (kg/da),8
aycicegi,C,random_forest,aridity_index,0.1782,0.0098,0.385,increase in RMSE (kg/da),8
aycicegi,C,random_forest,gdd_cum_season,0.0503,-0.1605,0.2837,increase in RMSE (kg/da),8
bugday,A,random_forest,gdd_cum_season,3.1088,1.946,4.222,increase in RMSE (kg/da),22
bugday,A,random_forest,tdiff_mean,0.6651,0.0406,1.3156,increase in RMSE (kg/da),22
bugday,A,random_forest,vernalization_days,0.5397,-0.2622,1.4587,increase in RMSE (kg/da),22
bugday,A,random_forest,tp_flowering,0.2307,-0.2935,0.9224,increase in RMSE (kg/da),22
bugday,A,random_forest,ssr_season_sum,0.1911,-0.0005,0.4165,increase in RMSE (kg/da),22
bugday,A,random_forest,t2m_flowering_mean,0.1879,-0.0406,0.4201,increase in RMSE (kg/da),22
bugday,A,random_forest,t2m_flowering_max,0.1692,-0.1544,0.5547,increase in RMSE (kg/da),22
bugday,A,random_forest,tp_season_sum,0.0672,-0.1082,0.2503,increase in RMSE (kg/da),22
bugday,C,random_forest,soc_0-5cm,6.0844,3.2128,8.8418,increase in RMSE (kg/da),8
bugday,C,random_forest,tp_season_sum,0.4794,-0.1034,1.3335,increase in RMSE (kg/da),8
bugday,C,random_forest,t2m_flowering_mean,0.3503,0.0461,0.7479,increase in RMSE (kg/da),8
bugday,C,random_forest,phh2o_0-5cm,0.3277,0.1487,0.5231,increase in RMSE (kg/da),8
bugday,C,random_forest,aridity_index,0.233,-0.0196,0.5341,increase in RMSE (kg/da),8
bugday,C,random_forest,gdd_cum_season,0.1863,0.0659,0.3242,increase in RMSE (kg/da),8
bugday,C,random_forest,tp_flowering,0.1114,-0.2147,0.541,increase in RMSE (kg/da),8
bugday,C,random_forest,tp_winter_sum,0.1031,0.0371,0.1837,increase in RMSE (kg/da),8
