layer,crop,rank,feature,imp_mean,imp_std
A,bugday,1,gdd_cum_season,0.2744410898653605,0.0186999955836635
A,bugday,2,vernalization_days,0.1420423193949785,0.0112918378980657
A,bugday,3,tp_flowering,0.1116752037792614,0.0129370736063271
A,bugday,4,ssr_season_sum,0.1100598571537469,0.0088952903860337
A,bugday,5,tp_season_sum,0.1080298286555129,0.0111446083294696
A,bugday,6,tp_winter_sum,0.1037511318737926,0.0081336294383957
A,bugday,7,ssr_flowering_sum,0.0976238545306416,0.005434993213094
A,bugday,8,tdiff_mean,0.0804373306144699,0.0064817552936637
A,bugday,9,tp_grain_fill,0.0654445486578714,0.0059804552721761
A,bugday,10,gdd_flowering,0.0519876541140916,0.0033208017391221
A,bugday,11,t2m_flowering_mean,0.0431712152832175,0.0033114386541589
A,bugday,12,heat_stress_days,0.0348635612313001,0.0032623690965408
A,bugday,13,aridity_index,0.0270731613792758,0.0026062354716996
A,bugday,14,t2m_flowering_max,0.0104325028889557,0.0018098946013872
A,aycicegi,1,gdd_cum_season,0.2963004004315314,0.011502884847933
A,aycicegi,2,tp_season_sum,0.1955158022564356,0.0176633366669004
A,aycicegi,3,aridity_index,0.1067707471856629,0.0093969807261349
A,aycicegi,4,tp_flowering,0.104979746427693,0.0090620460984304
A,aycicegi,5,gdd_flowering,0.1010177847991061,0.0060311367257559
A,aycicegi,6,ssr_season_sum,0.0891052531824926,0.0070062709992538
A,aycicegi,7,ssr_flowering_sum,0.0776611930129965,0.0070283454712268
A,aycicegi,8,tdiff_mean,0.0764557898561273,0.0064749639527321
A,aycicegi,9,tp_grain_fill,0.0718162371906112,0.0061537372897055
A,aycicegi,10,heat_stress_days,0.0640491740298144,0.0079608093957113
A,aycicegi,11,t2m_flowering_mean,0.0480333323517111,0.0040456039965272
A,aycicegi,12,t2m_flowering_max,0.0109269054301834,0.001299618455298
A,aycicegi,13,tp_winter_sum,0.0,0.0
A,aycicegi,14,vernalization_days,0.0,0.0
B,bugday,1,tp_grain_fill,0.2974761081687992,0.0298867539435862
B,bugday,2,ndvi_flowering,0.2342345173488501,0.0204077457482101
B,bugday,3,ssr_flowering_sum,0.1388563613046823,0.0111647634402922
B,bugday,4,gdd_cum_season,0.1380983981851282,0.0173556465831804
B,bugday,5,tp_season_sum,0.1186471029625986,0.0094268681292443
B,bugday,6,ndvi_max,0.0979106585070876,0.0069169243199393
B,bugday,7,gdd_flowering,0.060820953129951,0.0042345047266194
B,bugday,8,t2m_flowering_mean,0.0536546626183102,0.0049988077581865
B,bugday,9,ndvi_grain_fill,0.0416622446454674,0.0036012507011155
B,bugday,10,ndvi_integral,0.0339873817021155,0.0017465756531882
B,bugday,11,tp_winter_sum,0.0290564034885563,0.0031162091501914
B,bugday,12,tp_flowering,0.0281052447271372,0.0039334970382569
B,bugday,13,ssr_season_sum,0.0237155355143396,0.002360502210243
B,bugday,14,ndvi_spring_slope,0.0203031756314656,0.0021820150685946
B,bugday,15,ndvi_mean_season,0.0179887387992751,0.0034805673455454
B,bugday,16,vernalization_days,0.016270840162376,0.0018160157818285
