feature,imp_mean,imp_std
ndvi_flowering,0.6095280451518248,0.05525813846126903
gdd_flowering,0.17471216829847475,0.019578053733087485
ssr_season_sum,0.08409290873297903,0.009221240479959666
ndvi_max,0.05109791926652475,0.006173495778334642
gdd_cum_season,0.04722729219700158,0.00646659216748131
tp_season_sum,0.0441013071720041,0.005579274357044356
ndvi_spring_slope,0.04273315980151833,0.0038417276498041563
ndvi_mean_season,0.04219902029210006,0.003146274207621227
aridity_index,0.03959405937168111,0.005851174665759787
ndvi_grain_fill,0.037007621076393826,0.003603860071288785
tp_flowering,0.028075504865242608,0.0033601152457964486
tp_grain_fill,0.022816680221563447,0.0017744814542391075
ssr_flowering_sum,0.018323222880766786,0.0026126654206060653
heat_stress_days,0.014352536505851698,0.0014028979591596462
t2m_flowering_max,0.011342578134902647,0.0012682364567379858
tdiff_mean,0.010506538420748857,0.0011493854050684865
ndvi_integral,0.007049249753613396,0.0008479767863251277
t2m_flowering_mean,0.0016017311661234545,0.00045410907289025596
vernalization_days,0.0,0.0
tp_winter_sum,0.0,0.0
greenness_days,0.0,0.0
